"행정구역","2020년12월_전체세대","2020년12월_1인세대","2020년12월_2인세대","2020년12월_3인세대","2020년12월_4인세대","2020년12월_5인세대","2020년12월_6인세대","2020년12월_7인세대","2020년12월_8인세대","2020년12월_9인세대","2020년12월_10인세대"
"전국  (1000000000)","23,093,108","9,063,362","5,404,332","4,011,660","3,510,579","871,114","175,734","39,861","10,393","3,106","2,967"
"서울특별시  (1100000000)","4,417,954","1,858,554","959,907","761,821","649,174","146,491","31,300","7,520","2,038","642","507"
"서울특별시 종로구 (1111000000)","75,003","38,354","14,548","10,611","8,481","2,287","491","160","44","12","15"
"서울특별시 중구 (1114000000)","63,686","32,280","13,634","9,018","6,557","1,627","407","110","24","11","18"
"서울특별시 용산구 (1117000000)","113,093","54,748","23,746","17,072","13,134","3,279","816","192","58","27","21"
"서울특별시 성동구 (1120000000)","135,870","57,370","30,287","24,244","18,694","4,046","913","221","66","15","14"
"서울특별시 광진구 (1121500000)","167,427","78,614","34,549","26,011","22,225","4,658","1,023","246","61","22","18"
"서울특별시 동대문구 (1123000000)","167,598","80,336","34,469","25,907","20,545","4,884","1,098","258","76","16","9"
"서울특별시 중랑구 (1126000000)","185,920","79,802","43,771","31,373","23,935","5,571","1,104","269","63","20","12"
"서울특별시 성북구 (1129000000)","195,396","78,864","42,612","35,029","29,987","6,936","1,463","359","86","23","37"
"서울특별시 강북구 (1130500000)","145,896","62,910","34,980","24,476","18,005","4,329","911","182","66","18","19"
"서울특별시 도봉구 (1132000000)","139,114","47,242","35,051","27,896","22,344","5,159","1,070","250","68","27","7"
"서울특별시 노원구 (1135000000)","218,270","72,693","50,671","43,970","40,642","8,270","1,525","349","96","34","20"
"서울특별시 은평구 (1138000000)","213,914","82,865","51,075","39,149","31,061","7,518","1,708","378","106","27","27"
"서울특별시 서대문구 (1141000000)","144,838","62,836","31,181","24,579","20,158","4,727","1,033","229","60","23","12"
"서울특별시 마포구 (1144000000)","178,482","82,892","37,132","28,300","23,521","5,171","1,069","263","80","34","20"
"서울특별시 양천구 (1147000000)","180,633","54,209","40,097","38,365","38,006","7,848","1,590","359","106","28","25"
"서울특별시 강서구 (1150000000)","266,982","111,673","60,472","45,922","38,018","8,575","1,748","435","91","32","16"
"서울특별시 구로구 (1153000000)","180,531","70,287","42,421","32,715","27,041","6,288","1,346","319","74","29","11"
"서울특별시 금천구 (1154500000)","114,715","54,928","25,257","17,249","13,216","3,174","665","158","44","10","14"
