"행정구역","2010년12월_전체세대","2010년12월_1인세대","2010년12월_2인세대","2010년12월_3인세대","2010년12월_4인세대","2010년12월_5인세대","2010년12월_6인세대","2010년12월_7인세대","2010년12월_8인세대","2010년12월_9인세대","2010년12월_10인세대"
"전국  (1000000000)","19,865,179","6,610,998","3,803,789","3,654,436","4,224,275","1,198,064","281,030","67,108","16,635","4,951","3,893"
"서울특별시  (1100000000)","4,224,181","1,537,711","777,477","774,466","864,711","211,224","45,030","9,893","2,478","700","491"
"서울특별시 종로구 (1111000000)","77,621","35,803","13,514","11,648","12,114","3,444","804","217","48","13","16"
"서울특별시 중구 (1114000000)","61,468","28,683","11,256","9,417","8,916","2,395","609","132","39","6","15"
"서울특별시 용산구 (1117000000)","113,204","51,841","21,155","17,937","16,715","4,288","944","231","60","16","17"
"서울특별시 성동구 (1120000000)","129,644","49,308","24,562","23,092","24,586","6,217","1,415","341","90","20","13"
"서울특별시 광진구 (1121500000)","159,675","63,787","28,279","27,377","30,804","7,404","1,567","349","81","18","9"
"서울특별시 동대문구 (1123000000)","158,485","65,307","28,561","26,890","28,034","7,375","1,765","406","108","26","13"
"서울특별시 중랑구 (1126000000)","176,096","64,030","33,260","32,983","34,660","8,710","1,952","382","92","12","15"
"서울특별시 성북구 (1129000000)","201,489","73,975","37,707","37,321","39,727","9,842","2,214","519","120","35","29"
"서울특별시 강북구 (1130500000)","142,711","50,685","28,669","27,535","26,649","6,983","1,655","401","81","25","28"
"서울특별시 도봉구 (1132000000)","140,603","41,592","26,605","29,286","32,989","7,889","1,755","359","87","30","11"
"서울특별시 노원구 (1135000000)","228,022","63,143","42,769","47,085","58,593","13,242","2,520","494","120","41","15"
"서울특별시 은평구 (1138000000)","196,390","67,288","38,608","38,065","39,299","10,218","2,233","497","119","42","21"
"서울특별시 서대문구 (1141000000)","138,473","54,652","26,301","24,093","25,219","6,292","1,463","349","69","20","15"
"서울특별시 마포구 (1144000000)","170,531","69,682","32,611","29,058","29,757","7,261","1,665","360","97","11","29"
"서울특별시 양천구 (1147000000)","183,718","51,520","30,963","36,738","50,121","11,502","2,195","469","144","44","22"
"서울특별시 강서구 (1150000000)","225,313","71,920","43,015","45,185","49,865","12,163","2,419","551","129","39","27"
"서울특별시 구로구 (1153000000)","170,317","58,419","32,251","32,495","35,873","8,821","1,920","391","114","17","16"
"서울특별시 금천구 (1154500000)","103,412","40,322","18,828","18,270","19,579","4,985","1,103","244","54","16","11"
"서울특별시 영등포구 (1156000000)","171,791","66,709","31,916","30,239","32,590","8,026","1,746","401","101","37","26"
"서울특별시 동작구 (1159000000)","167,887","62,639","32,514","29,971","32,143","8,172","1,871","414","108","36","19"
"서울특별시 관악구 (1162000000)","247,588","116,666","43,808","37,305","37,616","9,478","2,064","478","115","34","24"
"서울특별시 서초구 (1165000000)","170,882","56,724","30,527","32,749","39,280","9,129","1,863","430","121","39","20"
"서울특별시 강남구 (1168000000)","234,345","88,317","40,195","40,736","50,718","11,486","2,198","491","127","49","28"
"서울특별시 송파구 (1171000000)","264,364","84,104","46,082","51,488","63,899","15,112","2,914","560","143","33","29"
"서울특별시 강동구 (1174000000)","190,152","60,595","33,521","37,503","44,965","10,790","2,176","427","111","41","23"
"부산광역시  (2600000000)","1,371,346","410,637","275,049","278,372","302,283","80,727","18,516","4,264","942","321","235"
"부산광역시 중구 (2611000000)","23,266","10,635","4,826","3,701","2,958","813","238","68","9","10","8"
"부산광역시 서구 (2614000000)","53,783","21,053","11,261","9,541","8,448","2,601","648","181","29","8","13"
"부산광역시 동구 (2617000000)","44,018","17,046","9,572","7,991","6,744","1,949","530","138","31","7","10"
"부산광역시 영도구 (2620000000)","59,147","19,299","13,180","11,572","10,822","3,157","824","215","47","19","12"
"부산광역시 부산진구 (2623000000)","158,253","52,456","31,934","30,721","31,850","8,728","1,993","443","88","23","17"
"부산광역시 동래구 (2626000000)","104,637","28,368","20,174","22,060","25,307","6,699","1,523","382","80","26","18"
"부산광역시 남구 (2629000000)","113,426","31,998","23,450","24,006","25,264","6,645","1,575","348","83","39","18"
"부산광역시 북구 (2632000000)","112,634","27,974","21,235","24,057","29,896","7,564","1,516","287","66","23","16"
"부산광역시 해운대구 (2635000000)","157,282","41,741","30,089","33,556","39,177","9,906","2,202","454","102","32","23"
"부산광역시 사하구 (2638000000)","133,694","36,507","26,101","28,346","32,249","8,162","1,778","417","90","28","16"
"부산광역시 금정구 (2641000000)","96,916","28,390","19,372","19,674","21,676","5,972","1,383","302","86","28","33"
"부산광역시 강서구 (2644000000)","26,296","10,227","5,232","4,420","4,404","1,437","409","119","32","10","6"
"부산광역시 연제구 (2647000000)","80,824","23,132","16,347","16,865","18,278","4,744","1,129","241","58","19","11"
"부산광역시 수영구 (2650000000)","69,633","20,930","15,154","14,312","14,115","3,939","898","215","45","18","7"
"부산광역시 사상구 (2653000000)","96,873","27,747","18,314","19,846","23,314","5,980","1,261","315","61","17","18"
"부산광역시 기장군 (2671000000)","40,664","13,134","8,808","7,704","7,781","2,431","609","139","35","14","9"
"대구광역시  (2700000000)","934,598","262,191","177,285","191,409","225,299","60,858","13,637","2,917","688","173","141"
"대구광역시 중구 (2711000000)","35,539","15,740","7,152","5,738","4,991","1,435","361","95","14","7","6"
"대구광역시 동구 (2714000000)","132,857","41,574","28,187","26,654","26,512","7,537","1,862","388","87","28","28"
"대구광역시 서구 (2717000000)","91,134","31,262","18,247","17,679","17,875","4,670","1,100","221","60","13","7"
"대구광역시 남구 (2720000000)","74,527","29,787","15,462","13,161","11,585","3,375","872","207","43","17","18"
"대구광역시 북구 (2723000000)","162,429","41,380","28,923","34,176","43,479","11,432","2,409","478","112","21","19"
"대구광역시 수성구 (2726000000)","160,501","36,362","29,131","34,258","44,458","12,711","2,766","607","145","32","31"
"대구광역시 달서구 (2729000000)","213,725","49,808","38,218","46,546","59,896","15,224","3,145","661","167","41","19"
"대구광역시 달성군 (2771000000)","63,886","16,278","11,965","13,197","16,503","4,474","1,122","260","60","14","13"
"인천광역시  (2800000000)","1,059,664","329,719","192,470","208,901","249,894","61,929","13,062","2,765","618","176","130"
"인천광역시 중구 (2811000000)","42,065","18,692","7,936","6,657","6,414","1,769","438","113","33","3","10"
"인천광역시 동구 (2814000000)","32,474","11,093","6,738","6,326","6,177","1,637","389","84","19","7","4"
"인천광역시 남구 (2817000000)","173,785","61,558","34,111","33,497","33,353","8,596","2,086","438","102","25","19"
"인천광역시 연수구 (2818500000)","100,065","27,356","15,186","19,934","28,847","7,005","1,371","274","52","28","12"
"인천광역시 남동구 (2820000000)","179,592","52,767","33,298","36,629","43,711","10,562","2,079","425","89","26","6"
"인천광역시 부평구 (2823700000)","214,701","63,812","38,819","43,461","52,339","12,829","2,709","547","134","24","27"
"인천광역시 계양구 (2824500000)","128,996","37,223","21,307","26,205","34,472","7,987","1,428","287","63","14","10"
"인천광역시 서구 (2826000000)","149,708","41,867","25,111","30,513","39,994","9,762","1,923","407","81","30","20"
"인천광역시 강화군 (2871000000)","29,055","10,763","7,887","4,565","3,643","1,464","518","154","32","12","17"
"인천광역시 옹진군 (2872000000)","9,223","4,588","2,077","1,114","944","318","121","36","13","7","5"
"광주광역시  (2900000000)","540,875","162,092","97,981","102,150","122,207","43,683","9,736","2,195","558","150","123"
"광주광역시 동구 (2911000000)","46,449","20,607","8,946","7,093","6,315","2,511","698","187","49","20","23"
"광주광역시 서구 (2914000000)","111,381","32,542","19,679","21,107","26,108","9,261","2,047","450","126","32","29"
"광주광역시 남구 (2915500000)","81,316","24,109","16,144","15,957","16,519","6,463","1,609","365","101","28","21"
"광주광역시 북구 (2917000000)","174,151","51,479","32,389","33,607","39,071","13,661","3,016","695","170","38","25"
"광주광역시 광산구 (2920000000)","127,578","33,355","20,823","24,386","34,194","11,787","2,366","498","112","32","25"
"대전광역시  (3000000000)","555,768","161,020","100,152","107,937","133,570","40,694","9,411","2,149","546","161","128"
"대전광역시 동구 (3011000000)","98,977","33,482","19,815","18,440","18,926","6,187","1,621","376","86","24","20"
"대전광역시 중구 (3014000000)","100,983","30,631","19,671","19,836","21,370","7,025","1,835","446","115","23","31"
"대전광역시 서구 (3017000000)","179,550","48,285","31,042","35,523","46,641","14,038","3,085","676","160","60","40"
"대전광역시 유성구 (3020000000)","100,821","27,906","15,864","19,302","27,903","7,767","1,573","363","92","33","18"
"대전광역시 대덕구 (3023000000)","75,437","20,716","13,760","14,836","18,730","5,677","1,297","288","93","21","19"
"울산광역시  (3100000000)","405,501","107,853","68,332","81,224","112,873","27,967","5,651","1,154","303","82","62"
"울산광역시 중구 (3111000000)","86,214","24,294","15,464","17,291","21,994","5,666","1,184","246","51","14","10"
"울산광역시 남구 (3114000000)","124,993","34,278","20,363","24,993","35,198","8,236","1,497","308","82","24","14"
"울산광역시 동구 (3117000000)","60,471","15,162","10,029","12,538","17,277","4,337","896","171","41","14","6"
"울산광역시 북구 (3120000000)","58,673","11,764","8,699","12,071","20,299","4,710","902","149","53","14","12"
"울산광역시 울주군 (3171000000)","75,150","22,355","13,777","14,331","18,105","5,018","1,172","280","76","16","20"
"경기도  (4100000000)","4,527,282","1,446,665","801,591","850,617","1,073,527","276,075","60,243","13,550","3,341","982","691"
"경기도 수원시 (4111000000)","412,253","135,072","66,270","75,191","103,639","25,536","5,116","1,027","266","71","65"
"경기도 성남시 (4113000000)","385,050","127,203","69,594","73,202","88,189","21,432","4,232","867","221","78","32"
"경기도 의정부시 (4115000000)","166,333","51,392","31,324","33,091","38,025","9,681","2,172","492","119","23","14"
"경기도 안양시 (4117000000)","229,848","64,982","39,364","46,236","61,872","14,004","2,638","559","127","36","30"
"경기도 부천시 (4119000000)","328,766","97,958","56,909","65,635","82,312","20,558","4,145","914","232","74","29"
"경기도 광명시 (4121000000)","128,649","35,853","24,518","26,426","32,114","7,724","1,561","318","95","24","16"
"경기도 평택시 (4122000000)","165,745","58,168","29,966","28,373","35,091","10,627","2,626","671","142","52","29"
"경기도 동두천시 (4125000000)","39,915","15,046","8,220","7,025","6,584","2,220","593","155","43","12","17"
"경기도 안산시 (4127000000)","280,919","98,894","43,772","50,102","67,722","16,592","3,041","604","130","36","26"
"경기도 고양시 (4128000000)","360,212","110,585","62,348","68,776","91,743","21,308","4,278","867","221","45","41"
"경기도 과천시 (4129000000)","26,194","7,276","4,306","4,998","7,405","1,733","378","64","22","7","5"
"경기도 구리시 (4131000000)","75,163","23,809","12,720","14,494","18,533","4,465","910","167","43","16","6"
"경기도 남양주시 (4136000000)","211,344","60,850","39,843","42,384","50,525","13,614","3,225","699","142","40","22"
"경기도 오산시 (4137000000)","70,714","23,043","12,488","13,245","16,573","4,201","890","203","49","16","6"
"경기도 시흥시 (4139000000)","158,958","57,382","23,940","27,338","38,174","9,750","1,854","372","100","31","17"
"경기도 군포시 (4141000000)","105,727","28,680","18,804","21,475","28,771","6,450","1,219","233","63","21","11"
"경기도 의왕시 (4143000000)","54,050","14,744","9,493","11,049","14,397","3,526","664","132","27","11","7"
"경기도 하남시 (4145000000)","59,657","20,082","11,100","11,287","12,826","3,410","744","167","28","11","2"
"경기도 용인시 (4146000000)","319,465","86,244","56,925","64,427","85,012","20,864","4,595","1,018","246","78","56"
"경기도 파주시 (4148000000)","145,561","54,496","26,587","25,064","28,554","8,133","2,058","484","125","35","25"
"경기도 이천시 (4150000000)","78,221","26,305","14,057","13,818","16,749","5,246","1,485","397","101","34","29"
"경기도 안성시 (4155000000)","71,739","25,924","14,135","12,178","13,415","4,312","1,273","338","97","35","32"
"경기도 김포시 (4157000000)","91,581","29,160","17,143","16,701","20,917","5,801","1,421","325","76","17","20"
"경기도 화성시 (4159000000)","189,660","58,249","32,597","35,348","46,945","12,643","2,872","703","195","68","40"
"경기도 광주시 (4161000000)","96,584","31,632","17,783","18,054","20,852","6,183","1,542","390","103","18","27"
"경기도 양주시 (4163000000)","75,924","24,079","14,782","14,357","16,144","4,919","1,221","309","71","23","19"
"경기도 포천시 (4165000000)","66,934","26,765","13,044","10,527","11,322","3,733","1,097","325","82","20","19"
"경기도 여주군 (4173000000)","44,283","16,090","9,427","7,276","7,333","2,805","942","309","66","16","19"
"경기도 연천군 (4180000000)","19,848","8,174","4,488","2,952","2,714","1,065","324","93","23","8","7"
"경기도 가평군 (4182000000)","25,556","10,883","5,701","3,640","3,399","1,291","441","146","36","12","7"
"경기도 양평군 (4183000000)","42,429","17,645","9,943","5,948","5,676","2,249","686","202","50","14","16"
"강원도  (4200000000)","639,001","237,947","137,156","107,402","107,244","35,953","9,880","2,545","593","157","124"
"강원도 춘천시 (4211000000)","108,140","37,007","22,052","19,513","20,677","6,700","1,652","406","95","25","13"
"강원도 원주시 (4213000000)","123,983","41,030","24,503","22,985","25,488","7,569","1,806","453","105","21","23"
"강원도 강릉시 (4215000000)","89,984","31,422","19,790","16,333","15,828","4,986","1,252","279","73","14","7"
"강원도 동해시 (4217000000)","38,932","13,584","8,372","6,875","7,156","2,247","536","124","23","5","10"
"강원도 태백시 (4219000000)","22,292","8,949","4,967","3,650","3,179","1,114","321","88","20","1","3"
"강원도 속초시 (4221000000)","36,671","14,545","7,681","6,289","5,917","1,719","414","77","22","4","3"
"강원도 삼척시 (4223000000)","32,482","13,873","7,208","4,841","4,401","1,558","449","112","29","7","4"
"강원도 홍천군 (4272000000)","29,280","10,967","6,856","4,510","4,302","1,798","621","173","28","12","13"
"강원도 횡성군 (4273000000)","18,960","7,402","4,677","2,773","2,506","1,077","350","124","36","4","11"
"강원도 영월군 (4275000000)","18,505","7,975","4,510","2,587","2,123","878","304","100","16","8","4"
"강원도 평창군 (4276000000)","19,392","8,114","4,541","2,781","2,467","985","355","103","25","15","6"
"강원도 정선군 (4277000000)","19,210","8,734","4,451","2,593","2,134","874","308","92","16","6","2"
"강원도 철원군 (4278000000)","20,316","7,888","4,431","3,001","3,068","1,329","422","128","38","6","5"
"강원도 화천군 (4279000000)","11,370","5,522","2,241","1,405","1,362","558","204","56","8","7","7"
"강원도 양구군 (4280000000)","9,407","3,943","2,000","1,309","1,334","550","193","54","12","8","4"
"강원도 인제군 (4281000000)","13,528","5,422","2,796","2,053","2,113","782","265","70","19","5","3"
"강원도 고성군 (4282000000)","13,975","6,322","3,109","1,975","1,617","641","235","56","14","4","2"
"강원도 양양군 (4283000000)","12,574","5,248","2,971","1,929","1,572","588","193","50","14","5","4"
"충청북도  (4300000000)","617,431","211,993","126,725","107,485","117,858","39,633","10,198","2,606","592","181","160"
"충청북도 청주시 (4311000000)","247,916","77,500","42,771","46,661","58,561","17,687","3,690","824","152","48","22"
"충청북도 충주시 (4313000000)","82,295","27,050","17,715","14,582","15,557","5,429","1,450","367","87","36","22"
"충청북도 제천시 (4315000000)","56,504","19,639","13,005","9,877","9,693","3,160","871","197","45","6","11"
"충청북도 청원군 (4371000000)","62,144","22,164","13,104","10,726","10,935","3,708","1,074","307","77","20","29"
"충청북도 보은군 (4372000000)","15,464","6,115","4,185","2,228","1,650","839","304","107","21","9","6"
"충청북도 옥천군 (4373000000)","22,309","7,945","5,641","3,568","3,166","1,381","432","123","28","12","13"
"충청북도 영동군 (4374000000)","21,767","8,461","5,526","3,145","2,620","1,323","488","147","33","12","12"
"충청북도 증평군 (4374500000)","13,762","5,082","2,802","2,318","2,344","886","249","63","13","3","2"
"충청북도 진천군 (4375000000)","26,005","9,872","5,557","4,260","4,161","1,528","446","131","37","4","9"
"충청북도 괴산군 (4376000000)","17,341","7,563","4,629","2,349","1,622","773","280","96","17","6","6"
"충청북도 음성군 (4377000000)","37,887","15,032","8,209","5,699","5,826","2,172","665","181","63","19","21"
"충청북도 단양군 (4380000000)","14,037","5,570","3,581","2,072","1,723","747","249","63","19","6","7"
"충청남도  (4400000000)","854,432","315,582","179,798","139,032","148,988","51,216","14,217","4,044","1,011","284","260"
"충청남도 천안시 (4413000000)","221,744","80,519","36,348","38,014","49,506","13,528","2,883","707","158","45","36"
"충청남도 공주시 (4415000000)","50,789","18,469","11,347","8,150","7,901","3,323","1,137","314","91","28","29"
"충청남도 보령시 (4418000000)","45,299","16,678","10,951","7,418","6,637","2,548","770","216","49","20","12"
"충청남도 아산시 (4420000000)","109,718","42,626","19,714","18,231","20,664","6,354","1,528","412","127","35","27"
"충청남도 서산시 (4421000000)","63,668","20,931","14,008","11,038","12,250","3,970","1,091","285","67","18","10"
"충청남도 논산시 (4423000000)","53,704","20,467","12,608","8,373","7,613","3,243","990","306","55","18","31"
"충청남도 계룡시 (4425000000)","14,417","3,275","2,209","2,721","4,388","1,416","300","78","21","5","4"
"충청남도 금산군 (4471000000)","24,410","9,409","6,193","3,721","3,063","1,367","456","146","35","9","11"
"충청남도 연기군 (4473000000)","34,339","13,558","6,958","5,321","5,449","2,157","637","172","54","17","16"
"충청남도 부여군 (4476000000)","32,223","12,078","8,783","4,625","3,791","1,954","664","242","63","12","11"
"충청남도 서천군 (4477000000)","26,753","10,530","7,388","3,755","3,049","1,338","481","152","32","9","19"
"충청남도 청양군 (4479000000)","14,216","5,425","3,969","2,028","1,547","807","273","129","26","4","8"
"충청남도 홍성군 (4480000000)","36,490","12,869","9,141","5,829","5,333","2,297","723","227","49","16","6"
"충청남도 예산군 (4481000000)","36,454","13,043","9,362","5,864","4,996","2,124","742","230","58","19","16"
"충청남도 태안군 (4482500000)","28,132","11,044","7,427","4,248","3,398","1,347","490","117","42","12","7"
"충청남도 당진군 (4483000000)","62,076","24,661","13,392","9,696","9,403","3,443","1,052","311","84","17","17"
"전라북도  (4500000000)","740,650","251,694","159,960","125,528","130,550","52,365","14,682","4,095","1,101","368","307"
"전라북도 전주시 (4511000000)","234,415","66,729","43,763","44,455","53,046","19,960","4,853","1,175","289","93","52"
"전라북도 군산시 (4513000000)","106,405","34,409","22,290","19,410","20,395","7,223","1,934","515","127","54","48"
"전라북도 익산시 (4514000000)","118,174","37,858","24,391","20,925","23,061","8,763","2,282","629","163","50","52"
"전라북도 정읍시 (4518000000)","51,812","19,892","12,335","7,906","7,043","3,238","998","288","69","17","26"
"전라북도 남원시 (4519000000)","36,425","13,509","8,715","5,552","5,153","2,358","776","260","63","23","16"
"전라북도 김제시 (4521000000)","41,481","16,718","10,297","6,110","4,935","2,278","792","233","72","24","22"
"전라북도 완주군 (4571000000)","35,099","13,146","7,831","5,605","5,081","2,334","739","237","77","25","24"
"전라북도 진안군 (4572000000)","12,463","5,402","3,135","1,587","1,260","653","281","93","30","14","8"
"전라북도 무주군 (4573000000)","11,402","4,627","3,069","1,522","1,232","599","239","76","23","7","8"
"전라북도 장수군 (4574000000)","10,464","4,369","2,757","1,360","1,028","616","225","66","28","8","7"
"전라북도 임실군 (4575000000)","13,876","5,922","3,602","1,853","1,372","703","278","88","34","16","8"
"전라북도 순창군 (4577000000)","13,197","5,259","3,590","1,758","1,317","782","289","127","47","14","14"
"전라북도 고창군 (4579000000)","27,814","12,041","7,194","3,581","2,752","1,457","541","167","50","15","16"
"전라북도 부안군 (4580000000)","27,623","11,813","6,991","3,904","2,875","1,401","455","141","29","8","6"
"전라남도  (4600000000)","799,520","301,047","181,133","122,441","121,762","52,046","14,968","4,296","1,165","348","314"
"전라남도 목포시 (4611000000)","98,181","34,559","19,262","17,302","18,060","6,953","1,555","360","82","29","19"
"전라남도 여수시 (4613000000)","110,613","33,174","23,128","19,990","22,287","8,774","2,332","685","162","46","35"
"전라남도 순천시 (4615000000)","100,273","29,687","18,912","17,682","22,508","8,644","2,108","512","148","35","37"
"전라남도 나주시 (4617000000)","41,284","18,227","9,829","5,689","4,448","2,214","608","178","56","15","20"
"전라남도 광양시 (4623000000)","53,423","16,031","9,357","9,270","12,912","4,401","1,073","268","68","26","17"
"전라남도 담양군 (4671000000)","20,989","8,804","4,929","3,054","2,289","1,177","484","163","55","18","16"
"전라남도 곡성군 (4672000000)","14,449","6,260","3,693","1,802","1,475","781","298","90","38","5","7"
"전라남도 구례군 (4673000000)","11,968","4,783","3,199","1,612","1,232","718","277","94","29","13","11"
"전라남도 고흥군 (4677000000)","35,151","15,146","10,157","4,414","3,102","1,542","553","181","41","7","8"
"전라남도 보성군 (4678000000)","22,833","10,232","5,890","2,883","2,024","1,149","430","155","41","15","14"
"전라남도 화순군 (4679000000)","29,494","11,687","6,505","4,517","4,124","1,830","587","176","42","14","12"
"전라남도 장흥군 (4680000000)","19,878","8,835","5,194","2,443","1,879","1,033","367","86","24","11","6"
"전라남도 강진군 (4681000000)","18,783","8,112","4,700","2,455","1,897","1,028","385","129","46","12","19"
"전라남도 해남군 (4682000000)","35,660","14,909","9,264","4,816","3,768","1,938","640","217","67","20","21"
"전라남도 영암군 (4683000000)","27,248","11,935","6,396","3,569","3,189","1,543","434","123","34","13","12"
"전라남도 무안군 (4684000000)","31,572","12,295","7,557","4,736","4,111","2,010","617","173","45","14","14"
"전라남도 함평군 (4686000000)","17,716","8,319","4,608","2,036","1,464","840","310","103","22","6","8"
"전라남도 영광군 (4687000000)","25,637","10,680","6,439","3,527","2,928","1,399","477","127","33","16","11"
"전라남도 장성군 (4688000000)","20,938","8,884","5,049","2,968","2,409","1,102","358","111","38","11","8"
"전라남도 완도군 (4689000000)","25,274","10,774","6,987","3,154","2,550","1,238","397","131","36","4","3"
"전라남도 진도군 (4690000000)","15,782","6,937","4,229","1,938","1,449","797","311","90","24","5","2"
"전라남도 신안군 (4691000000)","22,374","10,777","5,849","2,584","1,657","935","367","144","34","13","14"
"경상북도  (4700000000)","1,101,486","391,434","238,258","187,921","198,286","62,804","16,871","4,261","1,069","308","274"
"경상북도 포항시 (4711000000)","196,411","57,346","39,518","39,561","44,906","11,816","2,531","557","115","37","24"
"경상북도 경주시 (4713000000)","108,567","38,609","22,478","18,552","20,115","6,443","1,758","442","116","36","18"
"경상북도 김천시 (4715000000)","54,693","18,983","12,142","9,214","9,205","3,642","1,116","277","72","17","25"
"경상북도 안동시 (4717000000)","68,075","23,227","16,088","11,683","11,313","4,187","1,151","308","71","19","28"
"경상북도 구미시 (4719000000)","157,057","55,244","23,113","27,546","38,679","9,837","2,009","442","138","30","19"
"경상북도 영주시 (4721000000)","46,744","16,189","11,243","7,831","7,418","2,857","891","230","58","19","8"
"경상북도 영천시 (4723000000)","44,857","17,687","10,730","7,029","6,232","2,248","667","167","62","11","24"
"경상북도 상주시 (4725000000)","44,981","16,749","11,600","6,863","5,872","2,589","947","264","58","24","15"
"경상북도 문경시 (4728000000)","33,161","12,555","8,324","5,035","4,505","1,871","615","183","48","13","12"
"경상북도 경산시 (4729000000)","94,447","30,644","18,787","18,222","19,390","5,530","1,403","352","78","22","19"
"경상북도 군위군 (4772000000)","11,791","5,038","3,420","1,580","1,057","456","175","46","9","4","6"
"경상북도 의성군 (4773000000)","27,475","11,153","8,251","3,690","2,659","1,159","415","113","20","9","6"
"경상북도 청송군 (4775000000)","12,740","5,394","3,715","1,730","1,153","519","160","50","13","4","2"
"경상북도 영양군 (4776000000)","8,681","3,624","2,528","1,143","861","355","132","29","4","2","3"
"경상북도 영덕군 (4777000000)","20,140","9,066","5,477","2,625","1,880","768","246","56","16","1","5"
"경상북도 청도군 (4782000000)","20,177","8,445","5,257","2,854","2,138","997","340","105","26","6","9"
"경상북도 고령군 (4783000000)","15,417","6,210","3,873","2,353","1,902","747","252","56","15","2","7"
"경상북도 성주군 (4784000000)","20,092","8,193","5,057","2,936","2,277","1,068","387","120","29","15","10"
"경상북도 칠곡군 (4785000000)","49,729","19,838","8,695","8,336","9,199","2,705","692","181","50","16","17"
"경상북도 예천군 (4790000000)","21,490","8,512","6,392","2,901","2,197","994","364","92","22","9","7"
"경상북도 봉화군 (4792000000)","15,843","6,428","4,512","2,166","1,629","738","248","89","22","8","3"
"경상북도 울진군 (4793000000)","23,666","9,649","5,996","3,404","3,136","1,062","304","82","25","3","5"
"경상북도 울릉군 (4794000000)","5,252","2,651","1,062","667","563","216","68","20","2","1","2"
"경상남도  (4800000000)","1,268,731","401,141","250,382","232,583","274,991","82,878","19,882","4,849","1,239","427","359"
