"행정구역","2018년12월_전체세대","2018년12월_1인세대","2018년12월_2인세대","2018년12월_3인세대","2018년12월_4인세대","2018년12월_5인세대","2018년12월_6인세대","2018년12월_7인세대","2018년12월_8인세대","2018년12월_9인세대","2018년12월_10인세대"
"경기도 용인시 (4146000000)","390,137","106,547","80,965","82,491","91,697","21,894","4,857","1,188","310","117","71"
"경기도 파주시 (4148000000)","188,407","67,801","40,327","33,905","34,260","9,293","2,161","480","124","29","27"
"경기도 이천시 (4150000000)","89,596","32,985","19,372","15,499","15,419","4,720","1,132","326","86","34","23"
"경기도 안성시 (4155000000)","79,805","31,308","18,214","13,043","12,111","3,733","980","269","84","27","36"
"경기도 김포시 (4157000000)","166,635","50,489","36,237","34,015","34,850","8,597","1,809","446","129","34","29"
"경기도 화성시 (4159000000)","301,025","100,710","56,782","56,385","66,655","16,327","3,124","752","194","53","43"
"경기도 광주시 (4161000000)","150,055","50,314","34,443","29,442","26,497","7,277","1,532","386","104","32","28"
"경기도 양주시 (4163000000)","89,088","30,007","20,802","16,449","15,624","4,799","1,013","287","67","18","22"
"경기도 포천시 (4165000000)","69,429","29,792","16,300","10,627","8,803","2,850","776","211","50","8","12"
"경기도 여주시 (4167000000)","49,542","19,685","12,393","7,784","6,433","2,291","671","194","60","14","17"
"경기도 연천군 (4180000000)","21,526","9,988","5,290","2,764","2,189","957","237","70","20","4","7"
"경기도 가평군 (4182000000)","30,359","14,257","7,490","4,080","2,974","1,141","293","88","19","3","14"
"경기도 양평군 (4183000000)","54,422","23,421","14,295","7,562","6,040","2,236","610","178","42","19","19"
"강원도  (4200000000)","707,245","292,968","173,295","112,325","91,497","27,823","6,966","1,733","404","123","111"
"강원도 춘천시 (4211000000)","120,190","43,990","28,435","21,367","18,890","5,714","1,352","338","67","20","17"
"강원도 원주시 (4213000000)","149,166","56,269","34,333","26,443","23,775","6,488","1,403","323","79","28","25"
"강원도 강릉시 (4215000000)","96,859","38,569","24,638","16,026","12,741","3,660","926","217","55","18","9"
"강원도 동해시 (4217000000)","40,784","15,735","10,270","6,949","5,647","1,677","400","83","15","5","3"
"강원도 태백시 (4219000000)","21,832","9,909","5,524","3,072","2,339","701","218","50","11","4","4"
"강원도 속초시 (4221000000)","37,993","15,787","9,486","6,207","4,787","1,332","300","70","17","5","2"
"강원도 삼척시 (4223000000)","34,227","16,428","8,244","4,694","3,481","1,045","252","60","16","4","3"
"강원도 홍천군 (4272000000)","32,760","13,698","8,934","4,791","3,565","1,256","368","110","25","4","9"
"강원도 횡성군 (4273000000)","22,411","9,714","6,396","3,081","2,050","820","242","83","14","4","7"
"강원도 영월군 (4275000000)","21,011","10,640","5,475","2,515","1,621","548","153","39","9","7","4"
"강원도 평창군 (4276000000)","21,172","9,820","5,613","2,804","1,944","723","189","50","24","2","3"
"강원도 정선군 (4277000000)","19,761","10,040","4,967","2,433","1,528","550","186","46","5","4","2"
"강원도 철원군 (4278000000)","21,451","9,450","5,024","3,146","2,513","924","283","78","21","5","7"
"강원도 화천군 (4279000000)","12,564","6,438","2,623","1,569","1,307","446","126","43","6","1","5"
"강원도 양구군 (4280000000)","11,058","5,212","2,427","1,548","1,249","443","123","37","9","5","5"
"강원도 인제군 (4281000000)","15,550","7,334","3,568","2,062","1,750","620","158","43","10","1","4"
"강원도 고성군 (4282000000)","14,763","7,588","3,607","1,789","1,159","432","148","33","5","1","1"
"강원도 양양군 (4283000000)","13,693","6,347","3,731","1,829","1,151","444","139","30","16","5","1"
