"행정구역","2008년12월_전체세대","2008년12월_1인세대","2008년12월_2인세대","2008년12월_3인세대","2008년12월_4인세대","2008년12월_5인세대","2008년12월_6인세대","2008년12월_7인세대","2008년12월_8인세대","2008년12월_9인세대","2008년12월_10인세대"
"전국  (1000000000)","19,005,339","6,003,551","3,569,664","3,558,617","4,252,604","1,227,187","295,664","71,091","17,937","5,200","3,824"
"서울특별시  (1100000000)","4,097,562","1,431,529","746,592","766,056","878,364","215,653","45,742","9,933","2,549","694","450"
"서울특별시 종로구 (1111000000)","74,660","31,915","13,417","11,894","12,601","3,666","875","203","63","12","14"
"서울특별시 중구 (1114000000)","58,174","25,410","10,920","9,288","9,252","2,493","615","140","30","12","14"
"서울특별시 용산구 (1117000000)","106,966","46,423","20,367","17,538","17,035","4,297","979","231","60","13","23"
"서울특별시 성동구 (1120000000)","128,658","46,376","24,210","23,853","25,794","6,498","1,494","315","91","17","10"
"서울특별시 광진구 (1121500000)","155,676","59,213","27,373","27,266","32,058","7,729","1,563","360","86","22","6"
"서울특별시 동대문구 (1123000000)","156,267","61,436","28,349","27,138","29,125","7,869","1,806","408","87","37","12"
"서울특별시 중랑구 (1126000000)","171,183","58,717","31,566","33,140","35,971","9,153","2,076","418","100","30","12"
"서울특별시 성북구 (1129000000)","190,713","66,650","35,563","36,229","39,495","9,869","2,226","489","125","37","30"
"서울특별시 강북구 (1130500000)","136,300","44,938","27,122","27,180","27,454","7,269","1,716","453","121","21","26"
"서울특별시 도봉구 (1132000000)","139,733","39,300","25,802","29,254","34,752","8,332","1,788","361","96","31","17"
"서울특별시 노원구 (1135000000)","225,065","58,841","41,499","47,040","60,460","13,857","2,651","522","130","43","22"
"서울특별시 은평구 (1138000000)","182,762","61,841","35,166","35,823","37,587","9,644","2,089","462","108","22","20"
"서울특별시 서대문구 (1141000000)","138,295","52,087","26,255","24,721","26,397","6,790","1,534","375","96","24","16"
"서울특별시 마포구 (1144000000)","165,978","66,578","31,429","28,962","29,664","7,188","1,662","360","88","22","25"
"서울특별시 양천구 (1147000000)","183,002","50,724","29,791","36,740","50,979","11,812","2,297","455","145","35","24"
"서울특별시 강서구 (1150000000)","223,026","68,690","41,946","45,461","51,277","12,449","2,485","526","138","31","23"
"서울특별시 구로구 (1153000000)","165,750","54,648","30,660","32,062","36,772","9,059","1,990","424","104","21","10"
"서울특별시 금천구 (1154500000)","100,138","35,796","18,182","18,388","20,904","5,395","1,150","253","49","16","5"
"서울특별시 영등포구 (1156000000)","168,187","62,008","31,204","30,482","33,786","8,315","1,840","403","97","28","24"
"서울특별시 동작구 (1159000000)","163,742","58,360","31,408","30,260","33,022","8,318","1,814","401","110","31","18"
"서울특별시 관악구 (1162000000)","241,511","108,596","42,219","38,252","39,454","10,116","2,185","513","122","34","20"
"서울특별시 서초구 (1165000000)","159,907","53,329","28,355","30,557","36,921","8,514","1,671","407","100","35","18"
"서울특별시 강남구 (1168000000)","227,533","84,073","39,191","39,933","50,136","11,382","2,156","472","133","35","22"
"서울특별시 송파구 (1171000000)","256,104","80,846","43,820","49,266","63,345","15,079","2,964","555","159","48","22"
"서울특별시 강동구 (1174000000)","178,232","54,734","30,778","35,329","44,123","10,560","2,116","427","111","37","17"
"부산광역시  (2600000000)","1,311,724","349,843","255,658","275,265","318,015","86,652","20,099","4,556","1,073","349","214"
"부산광역시 중구 (2611000000)","21,920","8,915","4,713","3,794","3,186","954","256","64","19","12","7"
"부산광역시 서구 (2614000000)","51,755","17,689","10,833","9,856","9,412","2,927","763","203","43","12","17"
"부산광역시 동구 (2617000000)","42,197","14,555","9,163","8,110","7,448","2,136","588","144","31","17","5"
"부산광역시 영도구 (2620000000)","57,948","16,474","12,553","12,010","12,073","3,535","964","257","52","19","11"
"부산광역시 부산진구 (2623000000)","152,942","45,195","30,437","30,938","34,030","9,510","2,196","483","107","36","10"
"부산광역시 동래구 (2626000000)","100,394","23,979","18,822","21,690","26,660","7,093","1,650","378","80","23","19"
"부산광역시 남구 (2629000000)","109,472","27,997","22,091","23,697","26,454","7,080","1,631","387","89","33","13"
"부산광역시 북구 (2632000000)","110,550","24,362","19,730","24,073","31,995","8,287","1,676","305","85","25","12"
"부산광역시 해운대구 (2635000000)","150,668","35,722","28,035","32,695","40,620","10,625","2,304","493","110","41","23"
"부산광역시 사하구 (2638000000)","130,112","31,246","24,217","28,484","34,522","9,018","2,008","467","106","25","19"
"부산광역시 금정구 (2641000000)","93,127","24,108","18,155","19,574","23,008","6,328","1,494","305","91","33","31"
"부산광역시 강서구 (2644000000)","22,132","8,752","4,557","3,637","3,434","1,230","366","119","22","11","4"
