"행정구역","2018년12월_총인구수","2018년12월_세대수","2018년12월_세대당 인구","2018년12월_남자 인구수","2018년12월_여자 인구수","2018년12월_남여 비율"
"서울특별시  (1100000000)","9,765,623","4,263,868","          2.29","4,773,899","4,991,724","          0.96"
"서울특별시 종로구 (1111000000)","153,065","73,735","          2.08","74,825","78,240","          0.96"
"서울특별시 종로구 청운효자동(1111051500)","13,045","5,413","          2.41","6,122","6,923","          0.88"
"서울특별시 종로구 사직동(1111053000)","9,546","4,528","          2.11","4,295","5,251","          0.82"
"서울특별시 종로구 삼청동(1111054000)","2,836","1,408","          2.01","1,333","1,503","          0.89"
"서울특별시 종로구 부암동(1111055000)","10,149","4,315","          2.35","4,879","5,270","          0.93"
"서울특별시 종로구 평창동(1111056000)","18,951","7,592","          2.50","8,895","10,056","          0.88"
"서울특별시 종로구 무악동(1111057000)","8,215","3,002","          2.74","3,849","4,366","          0.88"
"서울특별시 종로구 교남동(1111058000)","10,701","4,576","          2.34","4,993","5,708","          0.87"
"서울특별시 종로구 가회동(1111060000)","4,429","2,058","          2.15","2,062","2,367","          0.87"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,420","5,291","          1.40","4,407","3,013","          1.46"
"서울특별시 종로구 종로5.6가동(1111063000)","5,225","3,139","          1.66","2,862","2,363","          1.21"
"서울특별시 종로구 이화동(1111064000)","8,083","4,485","          1.80","3,818","4,265","          0.90"
"서울특별시 종로구 혜화동(1111065000)","17,083","9,164","          1.86","8,291","8,792","          0.94"
"서울특별시 종로구 창신제1동(1111067000)","5,364","2,996","          1.79","2,913","2,451","          1.19"
"서울특별시 종로구 창신제2동(1111068000)","8,780","4,167","          2.11","4,485","4,295","          1.04"
"서울특별시 종로구 창신제3동(1111069000)","7,254","2,889","          2.51","3,571","3,683","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","6,376","2,996","          2.13","3,155","3,221","          0.98"
"서울특별시 종로구 숭인제2동(1111071000)","9,608","5,716","          1.68","4,895","4,713","          1.04"
