"행정구역","2021년12월_총인구수","2021년12월_세대수","2021년12월_세대당 인구","2021년12월_남자 인구수","2021년12월_여자 인구수","2021년12월_남여 비율"
"경상북도 문경시 점촌1동(4728057000)","5,742","2,828","          2.03","2,798","2,944","          0.95"
"경상북도 문경시 점촌2동(4728058000)","7,030","3,648","          1.93","3,396","3,634","          0.93"
"경상북도 문경시 점촌3동(4728059000)","9,060","4,346","          2.08","4,499","4,561","          0.99"
"경상북도 문경시 점촌4동(4728060000)","3,164","1,792","          1.77","1,591","1,573","          1.01"
"경상북도 문경시 점촌5동(4728061000)","16,262","6,995","          2.32","7,914","8,348","          0.95"
"경상북도 경산시 (4729000000)","268,369","124,869","          2.15","134,940","133,429","          1.01"
"경상북도 경산시 하양읍(4729025000)","28,053","12,757","          2.20","14,118","13,935","          1.01"
"경상북도 경산시 진량읍(4729025300)","35,568","17,042","          2.09","18,565","17,003","          1.09"
"경상북도 경산시 압량읍(4729025600)","20,797","10,506","          1.98","11,063","9,734","          1.14"
"경상북도 경산시 와촌면(4729031000)","5,732","3,004","          1.91","3,080","2,652","          1.16"
"경상북도 경산시 자인면(4729033000)","5,453","2,936","          1.86","2,786","2,667","          1.04"
"경상북도 경산시 용성면(4729034000)","3,270","1,825","          1.79","1,715","1,555","          1.10"
"경상북도 경산시 남산면(4729035000)","3,711","1,950","          1.90","1,930","1,781","          1.08"
"경상북도 경산시 남천면(4729037000)","2,919","1,541","          1.89","1,502","1,417","          1.06"
"경상북도 경산시 중방동(4729051000)","9,643","4,738","          2.04","4,662","4,981","          0.94"
"경상북도 경산시 중앙동(4729052000)","6,359","3,520","          1.81","3,160","3,199","          0.99"
"경상북도 경산시 남부동(4729053000)","19,968","8,522","          2.34","9,836","10,132","          0.97"
"경상북도 경산시 서부1동(4729054100)","35,561","15,329","          2.32","16,889","18,672","          0.90"
"경상북도 경산시 서부2동(4729054200)","36,165","14,033","          2.58","17,344","18,821","          0.92"
"경상북도 경산시 북부동(4729055000)","16,296","9,766","          1.67","8,894","7,402","          1.20"
"경상북도 경산시 동부동(4729056000)","38,874","17,400","          2.23","19,396","19,478","          1.00"
"경상북도 군위군 (4772000000)","22,945","13,258","          1.73","11,761","11,184","          1.05"
"경상북도 군위군 군위읍(4772025000)","8,161","4,292","          1.90","4,223","3,938","          1.07"
"경상북도 군위군 소보면(4772031000)","2,253","1,410","          1.60","1,175","1,078","          1.09"
"경상북도 군위군 효령면(4772032000)","3,753","2,154","          1.74","1,937","1,816","          1.07"
"경상북도 군위군 부계면(4772033000)","2,011","1,184","          1.70","1,041","970","          1.07"
"경상북도 군위군 우보면(4772034000)","1,933","1,210","          1.60","968","965","          1.00"
"경상북도 군위군 의흥면(4772035000)","2,356","1,416","          1.66","1,143","1,213","          0.94"
"경상북도 군위군 산성면(4772036000)","1,182","748","          1.58","598","584","          1.02"
"경상북도 군위군 삼국유사면(4772038000)","1,296","844","          1.54","676","620","          1.09"
"경상북도 의성군 (4773000000)","50,632","28,798","          1.76","24,796","25,836","          0.96"
"경상북도 의성군 의성읍(4773025000)","12,971","6,673","          1.94","6,342","6,629","          0.96"
"경상북도 의성군 단촌면(4773031000)","1,924","1,163","          1.65","955","969","          0.99"
"경상북도 의성군 점곡면(4773032000)","1,614","988","          1.63","793","821","          0.97"
"경상북도 의성군 옥산면(4773033000)","1,745","999","          1.75","868","877","          0.99"
"경상북도 의성군 사곡면(4773034000)","1,551","956","          1.62","752","799","          0.94"
"경상북도 의성군 춘산면(4773035000)","1,450","806","          1.80","741","709","          1.05"
"경상북도 의성군 가음면(4773036000)","1,456","859","          1.69","728","728","          1.00"
"경상북도 의성군 금성면(4773037000)","4,201","2,491","          1.69","2,053","2,148","          0.96"
"경상북도 의성군 봉양면(4773038000)","3,842","2,259","          1.70","1,872","1,970","          0.95"
"경상북도 의성군 비안면(4773039000)","2,573","1,537","          1.67","1,259","1,314","          0.96"
"경상북도 의성군 구천면(4773040000)","1,756","1,004","          1.75","879","877","          1.00"
"경상북도 의성군 단밀면(4773041000)","1,698","977","          1.74","849","849","          1.00"
"경상북도 의성군 단북면(4773042000)","1,783","1,028","          1.73","857","926","          0.93"
"경상북도 의성군 안계면(4773043000)","4,543","2,525","          1.80","2,165","2,378","          0.91"
"경상북도 의성군 다인면(4773044000)","3,765","2,202","          1.71","1,831","1,934","          0.95"
"경상북도 의성군 신평면(4773045000)","822","514","          1.60","394","428","          0.92"
"경상북도 의성군 안평면(4773046000)","2,126","1,275","          1.67","1,068","1,058","          1.01"
"경상북도 의성군 안사면(4773047000)","812","542","          1.50","390","422","          0.92"
"경상북도 청송군 (4775000000)","24,539","14,029","          1.75","12,261","12,278","          1.00"
"경상북도 청송군 청송읍(4775025000)","5,108","2,665","          1.92","2,516","2,592","          0.97"
"경상북도 청송군 주왕산면(4775031500)","1,808","1,086","          1.66","906","902","          1.00"
"경상북도 청송군 부남면(4775032000)","2,461","1,429","          1.72","1,220","1,241","          0.98"
"경상북도 청송군 현동면(4775033000)","2,091","1,189","          1.76","1,046","1,045","          1.00"
"경상북도 청송군 현서면(4775034000)","2,494","1,435","          1.74","1,238","1,256","          0.99"
"경상북도 청송군 안덕면(4775035000)","2,574","1,576","          1.63","1,246","1,328","          0.94"
"경상북도 청송군 파천면(4775036000)","1,741","1,050","          1.66","878","863","          1.02"
"경상북도 청송군 진보면(4775037000)","6,262","3,599","          1.74","3,211","3,051","          1.05"
"경상북도 영양군 (4776000000)","16,320","9,055","          1.80","8,144","8,176","          1.00"
"경상북도 영양군 영양읍(4776025000)","7,125","3,713","          1.92","3,546","3,579","          0.99"
"경상북도 영양군 입암면(4776031000)","2,085","1,210","          1.72","1,006","1,079","          0.93"
