"행정구역","2009년12월_총인구수","2009년12월_세대수","2009년12월_세대당 인구","2009년12월_남자 인구수","2009년12월_여자 인구수","2009년12월_남여 비율"
"서울특별시  (1100000000)","10,208,302","4,116,660","          2.48","5,059,269","5,149,033","          0.98"
"서울특별시 종로구 (1111000000)","168,603","74,315","          2.27","84,257","84,346","          1.00"
"서울특별시 종로구 청운효자동(1111051500)","15,769","6,105","          2.58","7,739","8,030","          0.96"
"서울특별시 종로구 사직동(1111053000)","10,029","4,476","          2.24","4,732","5,297","          0.89"
"서울특별시 종로구 삼청동(1111054000)","3,548","1,630","          2.18","1,715","1,833","          0.94"
"서울특별시 종로구 부암동(1111055000)","11,330","4,508","          2.51","5,627","5,703","          0.99"
"서울특별시 종로구 평창동(1111056000)","19,384","7,057","          2.75","9,355","10,029","          0.93"
"서울특별시 종로구 무악동(1111057000)","8,615","3,179","          2.71","4,154","4,461","          0.93"
"서울특별시 종로구 교남동(1111058000)","8,936","4,268","          2.09","4,404","4,532","          0.97"
"서울특별시 종로구 가회동(1111060000)","5,749","2,458","          2.34","2,768","2,981","          0.93"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,306","4,576","          1.60","4,215","3,091","          1.36"
"서울특별시 종로구 종로5.6가동(1111063000)","6,287","3,017","          2.08","3,366","2,921","          1.15"
"서울특별시 종로구 이화동(1111064000)","9,296","4,448","          2.09","4,510","4,786","          0.94"
"서울특별시 종로구 혜화동(1111065000)","12,136","5,574","          2.18","5,936","6,200","          0.96"
"서울특별시 종로구 명륜3가동(1111066000)","6,467","3,618","          1.79","3,506","2,961","          1.18"
"서울특별시 종로구 창신제1동(1111067000)","6,915","3,465","          2.00","3,575","3,340","          1.07"
"서울특별시 종로구 창신제2동(1111068000)","11,651","5,051","          2.31","5,926","5,725","          1.04"
"서울특별시 종로구 창신제3동(1111069000)","8,601","3,158","          2.72","4,334","4,267","          1.02"
"서울특별시 종로구 숭인제1동(1111070000)","7,482","3,170","          2.36","3,697","3,785","          0.98"
"서울특별시 종로구 숭인제2동(1111071000)","9,102","4,557","          2.00","4,698","4,404","          1.07"
"서울특별시 중구 (1114000000)","129,465","58,249","          2.22","65,025","64,440","          1.01"
"서울특별시 중구 소공동(1114052000)","1,095","578","          1.89","561","534","          1.05"
"서울특별시 중구 회현동(1114054000)","4,429","2,671","          1.66","2,475","1,954","          1.27"
"서울특별시 중구 명동(1114055000)","2,892","1,409","          2.05","1,302","1,590","          0.82"
"서울특별시 중구 필동(1114057000)","4,551","2,310","          1.97","2,433","2,118","          1.15"
"서울특별시 중구 장충동(1114058000)","5,742","2,945","          1.95","2,917","2,825","          1.03"
"서울특별시 중구 광희동(1114059000)","5,165","2,782","          1.86","2,795","2,370","          1.18"
"서울특별시 중구 을지로동(1114060500)","1,906","1,270","          1.50","1,182","724","          1.63"
"서울특별시 중구 신당제1동(1114061000)","8,408","4,106","          2.05","4,317","4,091","          1.06"
"서울특별시 중구 신당제2동(1114062000)","16,964","7,304","          2.32","8,353","8,611","          0.97"
"서울특별시 중구 신당제3동(1114063000)","19,655","7,960","          2.47","9,506","10,149","          0.94"
"서울특별시 중구 신당제4동(1114064000)","16,418","6,558","          2.50","7,955","8,463","          0.94"
"서울특별시 중구 신당제5동(1114065000)","8,132","3,684","          2.21","4,114","4,018","          1.02"
"서울특별시 중구 신당제6동(1114066000)","9,666","3,653","          2.65","4,748","4,918","          0.97"
"서울특별시 중구 황학동(1114067000)","11,864","5,502","          2.16","6,068","5,796","          1.05"
"서울특별시 중구 중림동(1114068000)","12,578","5,517","          2.28","6,299","6,279","          1.00"
"서울특별시 용산구 (1117000000)","238,708","107,456","          2.22","116,954","121,754","          0.96"
"서울특별시 용산구 후암동(1117051000)","19,934","8,783","          2.27","9,964","9,970","          1.00"
"서울특별시 용산구 용산2가동(1117052000)","13,133","6,018","          2.18","6,464","6,669","          0.97"
"서울특별시 용산구 남영동(1117053000)","7,474","4,619","          1.62","4,393","3,081","          1.43"
"서울특별시 용산구 청파동(1117055500)","23,798","11,539","          2.06","11,627","12,171","          0.96"
"서울특별시 용산구 원효로제1동(1117056000)","10,188","4,638","          2.20","5,111","5,077","          1.01"
"서울특별시 용산구 원효로제2동(1117057000)","16,063","6,150","          2.61","7,730","8,333","          0.93"
"서울특별시 용산구 효창동(1117058000)","10,666","4,195","          2.54","5,227","5,439","          0.96"
"서울특별시 용산구 용문동(1117059000)","12,846","4,803","          2.67","6,300","6,546","          0.96"
"서울특별시 용산구 한강로동(1117062500)","15,536","7,703","          2.02","7,796","7,740","          1.01"
"서울특별시 용산구 이촌제1동(1117063000)","27,209","9,932","          2.74","12,790","14,419","          0.89"
"서울특별시 용산구 이촌제2동(1117064000)","10,442","4,361","          2.39","5,039","5,403","          0.93"
"서울특별시 용산구 이태원제1동(1117065000)","8,184","4,124","          1.98","3,846","4,338","          0.89"
"서울특별시 용산구 이태원제2동(1117066000)","11,080","5,183","          2.14","5,261","5,819","          0.90"
"서울특별시 용산구 한남동(1117068500)","22,398","11,710","          1.91","10,933","11,465","          0.95"
"서울특별시 용산구 서빙고동(1117069000)","11,349","4,829","          2.35","5,496","5,853","          0.94"
"서울특별시 용산구 보광동(1117070000)","18,408","8,869","          2.08","8,977","9,431","          0.95"
"서울특별시 성동구 (1120000000)","308,058","126,670","          2.43","154,333","153,725","          1.00"
"서울특별시 성동구 왕십리제2동(1120052000)","19,152","7,522","          2.55","9,489","9,663","          0.98"
"서울특별시 성동구 왕십리도선동(1120053500)","12,998","5,559","          2.34","6,536","6,462","          1.01"
"서울특별시 성동구 마장동(1120054000)","25,921","10,152","          2.55","13,077","12,844","          1.02"
"서울특별시 성동구 사근동(1120055000)","10,699","5,579","          1.92","5,761","4,938","          1.17"
"서울특별시 성동구 행당제1동(1120056000)","18,084","7,676","          2.36","8,902","9,182","          0.97"
"서울특별시 성동구 행당제2동(1120057000)","24,817","8,728","          2.84","11,983","12,834","          0.93"
"서울특별시 성동구 응봉동(1120058000)","17,662","6,537","          2.70","8,487","9,175","          0.93"
"서울특별시 성동구 금호1가동(1120059000)","16,279","6,318","          2.58","7,945","8,334","          0.95"
"서울특별시 성동구 금호2.3가동(1120061500)","22,533","9,124","          2.47","10,984","11,549","          0.95"
"서울특별시 성동구 금호4가동(1120062000)","15,326","6,428","          2.38","7,558","7,768","          0.97"
"서울특별시 성동구 옥수동(1120064500)","24,423","10,019","          2.44","11,974","12,449","          0.96"
"서울특별시 성동구 성수1가제1동(1120065000)","18,348","7,393","          2.48","9,405","8,943","          1.05"
"서울특별시 성동구 성수1가제2동(1120066000)","18,989","8,166","          2.33","9,648","9,341","          1.03"
"서울특별시 성동구 성수2가제1동(1120067000)","21,186","9,059","          2.34","10,946","10,240","          1.07"
"서울특별시 성동구 성수2가제3동(1120069000)","12,040","5,263","          2.29","6,141","5,899","          1.04"
"서울특별시 성동구 송정동(1120072000)","12,495","5,690","          2.20","6,583","5,912","          1.11"
"서울특별시 성동구 용답동(1120079000)","17,106","7,457","          2.29","8,914","8,192","          1.09"
"서울특별시 광진구 (1121500000)","373,998","156,140","          2.40","185,190","188,808","          0.98"
"서울특별시 광진구 화양동(1121571000)","21,003","12,014","          1.75","10,360","10,643","          0.97"
"서울특별시 광진구 군자동(1121573000)","21,761","10,024","          2.17","10,949","10,812","          1.01"
"서울특별시 광진구 중곡제1동(1121574000)","17,007","7,575","          2.25","8,442","8,565","          0.99"
"서울특별시 광진구 중곡제2동(1121575000)","23,109","9,395","          2.46","11,334","11,775","          0.96"
"서울특별시 광진구 중곡제3동(1121576000)","19,878","8,202","          2.42","9,950","9,928","          1.00"
"서울특별시 광진구 중곡제4동(1121577000)","31,915","12,226","          2.61","15,936","15,979","          1.00"
"서울특별시 광진구 능동(1121578000)","10,768","5,138","          2.10","5,171","5,597","          0.92"
"서울특별시 광진구 광장동(1121581000)","35,654","11,818","          3.02","17,396","18,258","          0.95"
"서울특별시 광진구 자양제1동(1121582000)","24,640","11,025","          2.23","12,194","12,446","          0.98"
"서울특별시 광진구 자양제2동(1121583000)","29,403","11,597","          2.54","14,825","14,578","          1.02"
"서울특별시 광진구 자양제3동(1121584000)","31,986","11,560","          2.77","15,827","16,159","          0.98"
"서울특별시 광진구 자양제4동(1121584700)","27,059","12,802","          2.11","13,769","13,290","          1.04"
"서울특별시 광진구 구의제1동(1121585000)","23,041","10,771","          2.14","11,159","11,882","          0.94"
"서울특별시 광진구 구의제2동(1121586000)","26,579","10,421","          2.55","13,215","13,364","          0.99"
"서울특별시 광진구 구의제3동(1121587000)","30,195","11,572","          2.61","14,663","15,532","          0.94"
"서울특별시 동대문구 (1123000000)","362,146","153,437","          2.36","182,550","179,596","          1.02"
"서울특별시 동대문구 용신동(1123053600)","29,942","14,343","          2.09","15,599","14,343","          1.09"
"서울특별시 동대문구 제기동(1123054500)","28,758","12,953","          2.22","14,758","14,000","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","28,195","12,768","          2.21","14,584","13,611","          1.07"
"서울특별시 동대문구 전농제2동(1123057000)","19,181","6,980","          2.75","9,489","9,692","          0.98"
"서울특별시 동대문구 답십리제1동(1123060000)","19,061","8,085","          2.36","9,642","9,419","          1.02"
"서울특별시 동대문구 답십리제2동(1123061000)","32,771","12,158","          2.70","16,263","16,508","          0.99"
"서울특별시 동대문구 장안제1동(1123065000)","36,501","14,355","          2.54","18,479","18,022","          1.03"
"서울특별시 동대문구 장안제2동(1123066000)","32,871","12,703","          2.59","16,690","16,181","          1.03"
"서울특별시 동대문구 청량리동(1123070500)","25,127","10,793","          2.33","12,583","12,544","          1.00"
"서울특별시 동대문구 회기동(1123071000)","10,933","5,576","          1.96","5,336","5,597","          0.95"
"서울특별시 동대문구 휘경제1동(1123072000)","17,437","8,203","          2.13","8,748","8,689","          1.01"
"서울특별시 동대문구 휘경제2동(1123073000)","24,129","9,518","          2.54","11,860","12,269","          0.97"
"서울특별시 동대문구 이문제1동(1123074000)","33,210","16,078","          2.07","16,594","16,616","          1.00"
"서울특별시 동대문구 이문제2동(1123075000)","24,030","8,924","          2.69","11,925","12,105","          0.99"
"서울특별시 중랑구 (1126000000)","424,761","171,448","          2.48","212,576","212,185","          1.00"
"서울특별시 중랑구 면목제2동(1126052000)","29,033","12,066","          2.41","14,670","14,363","          1.02"
"서울특별시 중랑구 면목제4동(1126054000)","23,663","10,130","          2.34","11,584","12,079","          0.96"
"서울특별시 중랑구 면목제5동(1126055000)","14,762","6,240","          2.37","7,529","7,233","          1.04"
"서울특별시 중랑구 면목본동(1126056500)","37,361","15,867","          2.35","18,628","18,733","          0.99"
"서울특별시 중랑구 면목제7동(1126057000)","26,588","10,665","          2.49","13,257","13,331","          0.99"
"서울특별시 중랑구 면목제3.8동(1126057500)","30,308","12,646","          2.40","15,260","15,048","          1.01"
"서울특별시 중랑구 상봉제1동(1126058000)","26,173","9,359","          2.80","12,979","13,194","          0.98"
"서울특별시 중랑구 상봉제2동(1126059000)","18,989","8,918","          2.13","9,585","9,404","          1.02"
"서울특별시 중랑구 중화제1동(1126060000)","21,913","8,112","          2.70","10,963","10,950","          1.00"
"서울특별시 중랑구 중화제2동(1126061000)","32,014","14,605","          2.19","16,398","15,616","          1.05"
"서울특별시 중랑구 묵제1동(1126062000)","34,602","12,800","          2.70","17,123","17,479","          0.98"
"서울특별시 중랑구 묵제2동(1126063000)","20,512","8,394","          2.44","10,298","10,214","          1.01"
"서울특별시 중랑구 망우본동(1126065500)","34,546","14,162","          2.44","17,397","17,149","          1.01"
