"행정구역","2017년12월_총인구수","2017년12월_세대수","2017년12월_세대당 인구","2017년12월_남자 인구수","2017년12월_여자 인구수","2017년12월_남여 비율"
"서울특별시  (1100000000)","9,857,426","4,220,082","          2.34","4,830,206","5,027,220","          0.96"
"서울특별시 종로구 (1111000000)","154,770","73,594","          2.10","75,967","78,803","          0.96"
"서울특별시 종로구 청운효자동(1111051500)","13,272","5,452","          2.43","6,254","7,018","          0.89"
"서울특별시 종로구 사직동(1111053000)","9,441","4,414","          2.14","4,318","5,123","          0.84"
"서울특별시 종로구 삼청동(1111054000)","2,907","1,414","          2.06","1,360","1,547","          0.88"
"서울특별시 종로구 부암동(1111055000)","10,317","4,325","          2.39","4,984","5,333","          0.93"
"서울특별시 종로구 평창동(1111056000)","18,995","7,510","          2.53","8,951","10,044","          0.89"
"서울특별시 종로구 무악동(1111057000)","8,320","3,024","          2.75","3,897","4,423","          0.88"
"서울특별시 종로구 교남동(1111058000)","10,225","4,379","          2.34","4,780","5,445","          0.88"
"서울특별시 종로구 가회동(1111060000)","4,531","2,085","          2.17","2,127","2,404","          0.88"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,590","5,378","          1.41","4,502","3,088","          1.46"
"서울특별시 종로구 종로5.6가동(1111063000)","5,357","3,174","          1.69","2,943","2,414","          1.22"
"서울특별시 종로구 이화동(1111064000)","8,249","4,462","          1.85","3,878","4,371","          0.89"
"서울특별시 종로구 혜화동(1111065000)","17,306","9,153","          1.89","8,444","8,862","          0.95"
"서울특별시 종로구 창신제1동(1111067000)","5,520","3,050","          1.81","2,989","2,531","          1.18"
"서울특별시 종로구 창신제2동(1111068000)","9,181","4,280","          2.15","4,671","4,510","          1.04"
"서울특별시 종로구 창신제3동(1111069000)","7,350","2,860","          2.57","3,633","3,717","          0.98"
"서울특별시 종로구 숭인제1동(1111070000)","6,566","3,014","          2.18","3,272","3,294","          0.99"
"서울특별시 종로구 숭인제2동(1111071000)","9,643","5,620","          1.72","4,964","4,679","          1.06"
"서울특별시 중구 (1114000000)","125,709","60,412","          2.08","62,253","63,456","          0.98"
"서울특별시 중구 소공동(1114052000)","2,022","1,048","          1.93","1,007","1,015","          0.99"
"서울특별시 중구 회현동(1114054000)","5,331","3,281","          1.62","2,930","2,401","          1.22"
"서울특별시 중구 명동(1114055000)","2,942","1,435","          2.05","1,244","1,698","          0.73"
"서울특별시 중구 필동(1114057000)","4,078","2,249","          1.81","2,113","1,965","          1.08"
"서울특별시 중구 장충동(1114058000)","4,782","2,628","          1.82","2,455","2,327","          1.06"
"서울특별시 중구 광희동(1114059000)","5,001","2,920","          1.71","2,657","2,344","          1.13"
"서울특별시 중구 을지로동(1114060500)","1,623","1,170","          1.39","1,030","593","          1.74"
"서울특별시 중구 신당동(1114061500)","7,878","4,368","          1.80","3,984","3,894","          1.02"
"서울특별시 중구 다산동(1114062500)","14,923","6,863","          2.17","7,242","7,681","          0.94"
"서울특별시 중구 약수동(1114063500)","18,181","7,819","          2.33","8,676","9,505","          0.91"
"서울특별시 중구 청구동(1114064500)","14,807","6,449","          2.30","7,087","7,720","          0.92"
"서울특별시 중구 신당제5동(1114065000)","9,495","4,467","          2.13","4,742","4,753","          1.00"
"서울특별시 중구 동화동(1114066500)","11,197","4,213","          2.66","5,409","5,788","          0.93"
"서울특별시 중구 황학동(1114067000)","12,170","6,205","          1.96","6,009","6,161","          0.98"
"서울특별시 중구 중림동(1114068000)","11,279","5,297","          2.13","5,668","5,611","          1.01"
"서울특별시 용산구 (1117000000)","229,161","107,666","          2.13","110,878","118,283","          0.94"
"서울특별시 용산구 후암동(1117051000)","18,327","8,502","          2.16","8,951","9,376","          0.95"
"서울특별시 용산구 용산2가동(1117052000)","10,981","5,531","          1.99","5,282","5,699","          0.93"
"서울특별시 용산구 남영동(1117053000)","7,974","5,460","          1.46","4,919","3,055","          1.61"
"서울특별시 용산구 청파동(1117055500)","20,415","10,549","          1.94","9,794","10,621","          0.92"
"서울특별시 용산구 원효로제1동(1117056000)","14,630","6,885","          2.12","7,110","7,520","          0.95"
"서울특별시 용산구 원효로제2동(1117057000)","15,077","6,022","          2.50","7,057","8,020","          0.88"
"서울특별시 용산구 효창동(1117058000)","9,467","3,892","          2.43","4,550","4,917","          0.93"
"서울특별시 용산구 용문동(1117059000)","12,635","5,251","          2.41","6,094","6,541","          0.93"
"서울특별시 용산구 한강로동(1117062500)","16,533","8,861","          1.87","8,097","8,436","          0.96"
"서울특별시 용산구 이촌제1동(1117063000)","27,769","10,015","          2.77","12,907","14,862","          0.87"
"서울특별시 용산구 이촌제2동(1117064000)","9,136","3,846","          2.38","4,314","4,822","          0.89"
"서울특별시 용산구 이태원제1동(1117065000)","7,147","3,904","          1.83","3,380","3,767","          0.90"
"서울특별시 용산구 이태원제2동(1117066000)","9,468","4,920","          1.92","4,394","5,074","          0.87"
"서울특별시 용산구 한남동(1117068500)","20,642","10,881","          1.90","9,948","10,694","          0.93"
"서울특별시 용산구 서빙고동(1117069000)","13,595","5,301","          2.56","6,553","7,042","          0.93"
"서울특별시 용산구 보광동(1117070000)","15,365","7,846","          1.96","7,528","7,837","          0.96"
"서울특별시 성동구 (1120000000)","304,808","132,902","          2.29","150,368","154,440","          0.97"
"서울특별시 성동구 왕십리제2동(1120052000)","17,787","7,598","          2.34","8,747","9,040","          0.97"
"서울특별시 성동구 왕십리도선동(1120053500)","27,100","11,302","          2.40","13,030","14,070","          0.93"
"서울특별시 성동구 마장동(1120054000)","23,461","10,249","          2.29","11,606","11,855","          0.98"
"서울특별시 성동구 사근동(1120055000)","11,194","6,578","          1.70","5,813","5,381","          1.08"
"서울특별시 성동구 행당제1동(1120056000)","13,973","6,251","          2.24","6,857","7,116","          0.96"
"서울특별시 성동구 행당제2동(1120057000)","25,327","9,439","          2.68","11,957","13,370","          0.89"
"서울특별시 성동구 응봉동(1120058000)","16,636","6,245","          2.66","7,914","8,722","          0.91"
"서울특별시 성동구 금호1가동(1120059000)","13,108","5,318","          2.46","6,350","6,758","          0.94"
"서울특별시 성동구 금호2.3가동(1120061500)","24,522","10,215","          2.40","11,793","12,729","          0.93"
"서울특별시 성동구 금호4가동(1120062000)","14,311","6,040","          2.37","6,901","7,410","          0.93"
"서울특별시 성동구 옥수동(1120064500)","27,187","10,873","          2.50","12,809","14,378","          0.89"
"서울특별시 성동구 성수1가제1동(1120065000)","17,349","7,564","          2.29","8,722","8,627","          1.01"
"서울특별시 성동구 성수1가제2동(1120066000)","15,991","7,410","          2.16","8,014","7,977","          1.00"
"서울특별시 성동구 성수2가제1동(1120067000)","18,089","8,638","          2.09","9,428","8,661","          1.09"
"서울특별시 성동구 성수2가제3동(1120069000)","11,664","5,590","          2.09","6,034","5,630","          1.07"
"서울특별시 성동구 송정동(1120072000)","11,487","5,491","          2.09","6,117","5,370","          1.14"
"서울특별시 성동구 용답동(1120079000)","15,622","8,101","          1.93","8,276","7,346","          1.13"
"서울특별시 광진구 (1121500000)","357,703","160,798","          2.22","174,414","183,289","          0.95"
"서울특별시 광진구 화양동(1121571000)","21,591","15,031","          1.44","10,337","11,254","          0.92"
"서울특별시 광진구 군자동(1121573000)","20,193","10,279","          1.96","10,010","10,183","          0.98"
"서울특별시 광진구 중곡제1동(1121574000)","15,883","7,661","          2.07","7,848","8,035","          0.98"
"서울특별시 광진구 중곡제2동(1121575000)","22,464","10,111","          2.22","10,941","11,523","          0.95"
"서울특별시 광진구 중곡제3동(1121576000)","17,749","8,326","          2.13","8,838","8,911","          0.99"
"서울특별시 광진구 중곡제4동(1121577000)","31,301","13,115","          2.39","15,455","15,846","          0.98"
"서울특별시 광진구 능동(1121578000)","11,533","6,031","          1.91","5,359","6,174","          0.87"
"서울특별시 광진구 광장동(1121581000)","36,404","11,930","          3.05","17,708","18,696","          0.95"
"서울특별시 광진구 자양제1동(1121582000)","23,285","11,196","          2.08","11,345","11,940","          0.95"
"서울특별시 광진구 자양제2동(1121583000)","27,379","11,215","          2.44","13,455","13,924","          0.97"
"서울특별시 광진구 자양제3동(1121584000)","30,201","11,023","          2.74","14,576","15,625","          0.93"
"서울특별시 광진구 자양제4동(1121584700)","21,320","10,868","          1.96","10,772","10,548","          1.02"
"서울특별시 광진구 구의제1동(1121585000)","22,669","11,394","          1.99","10,874","11,795","          0.92"
"서울특별시 광진구 구의제2동(1121586000)","25,556","10,602","          2.41","12,461","13,095","          0.95"
"서울특별시 광진구 구의제3동(1121587000)","30,175","12,016","          2.51","14,435","15,740","          0.92"
"서울특별시 동대문구 (1123000000)","350,647","159,938","          2.19","175,324","175,323","          1.00"
"서울특별시 동대문구 용신동(1123053600)","31,391","16,488","          1.90","16,243","15,148","          1.07"
"서울특별시 동대문구 제기동(1123054500)","25,395","12,647","          2.01","12,975","12,420","          1.04"
"서울특별시 동대문구 전농제1동(1123056000)","29,381","13,920","          2.11","14,873","14,508","          1.03"
"서울특별시 동대문구 전농제2동(1123057000)","20,119","7,600","          2.65","9,728","10,391","          0.94"
"서울특별시 동대문구 답십리제1동(1123060000)","24,759","10,599","          2.34","12,124","12,635","          0.96"
"서울특별시 동대문구 답십리제2동(1123061000)","29,448","11,996","          2.45","14,490","14,958","          0.97"
"서울특별시 동대문구 장안제1동(1123065000)","38,960","16,969","          2.30","19,504","19,456","          1.00"
"서울특별시 동대문구 장안제2동(1123066000)","31,182","12,507","          2.49","15,736","15,446","          1.02"
"서울특별시 동대문구 청량리동(1123070500)","22,317","10,518","          2.12","11,194","11,123","          1.01"
"서울특별시 동대문구 회기동(1123071000)","10,271","5,714","          1.80","4,985","5,286","          0.94"
"서울특별시 동대문구 휘경제1동(1123072000)","13,106","6,852","          1.91","6,599","6,507","          1.01"
"서울특별시 동대문구 휘경제2동(1123073000)","24,751","10,986","          2.25","12,202","12,549","          0.97"
"서울특별시 동대문구 이문제1동(1123074000)","27,666","14,425","          1.92","13,909","13,757","          1.01"
"서울특별시 동대문구 이문제2동(1123075000)","21,901","8,717","          2.51","10,762","11,139","          0.97"
"서울특별시 중랑구 (1126000000)","408,226","179,132","          2.28","203,325","204,901","          0.99"
"서울특별시 중랑구 면목제2동(1126052000)","26,702","12,243","          2.18","13,443","13,259","          1.01"
"서울특별시 중랑구 면목제4동(1126054000)","20,823","9,446","          2.20","10,358","10,465","          0.99"
"서울특별시 중랑구 면목제5동(1126055000)","10,368","4,708","          2.20","5,306","5,062","          1.05"
"서울특별시 중랑구 면목본동(1126056500)","36,031","17,314","          2.08","17,991","18,040","          1.00"
"서울특별시 중랑구 면목제7동(1126057000)","22,439","10,126","          2.22","11,185","11,254","          0.99"
"서울특별시 중랑구 면목제3.8동(1126057500)","27,271","12,590","          2.17","13,711","13,560","          1.01"
"서울특별시 중랑구 상봉제1동(1126058000)","25,811","10,069","          2.56","12,610","13,201","          0.96"
"서울특별시 중랑구 상봉제2동(1126059000)","18,331","9,656","          1.90","9,100","9,231","          0.99"
