"행정구역","2014년12월_총인구수","2014년12월_세대수","2014년12월_세대당 인구","2014년12월_남자 인구수","2014년12월_여자 인구수","2014년12월_남여 비율"
"서울특별시  (1100000000)","10,103,233","4,194,176","          2.41","4,979,768","5,123,465","          0.97"
"서울특별시 종로구 (1111000000)","156,993","73,101","          2.15","77,621","79,372","          0.98"
"서울특별시 종로구 청운효자동(1111051500)","14,308","5,830","          2.45","6,807","7,501","          0.91"
"서울특별시 종로구 사직동(1111053000)","9,774","4,400","          2.22","4,571","5,203","          0.88"
"서울특별시 종로구 삼청동(1111054000)","3,058","1,461","          2.09","1,465","1,593","          0.92"
"서울특별시 종로구 부암동(1111055000)","10,933","4,494","          2.43","5,356","5,577","          0.96"
"서울특별시 종로구 평창동(1111056000)","19,393","7,416","          2.62","9,207","10,186","          0.90"
"서울특별시 종로구 무악동(1111057000)","8,376","3,174","          2.64","3,951","4,425","          0.89"
"서울특별시 종로구 교남동(1111058000)","4,921","2,426","          2.03","2,382","2,539","          0.94"
"서울특별시 종로구 가회동(1111060000)","5,070","2,286","          2.22","2,377","2,693","          0.88"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,894","5,416","          1.46","4,516","3,378","          1.34"
"서울특별시 종로구 종로5.6가동(1111063000)","5,744","3,119","          1.84","3,136","2,608","          1.20"
"서울특별시 종로구 이화동(1111064000)","8,814","4,481","          1.97","4,170","4,644","          0.90"
"서울특별시 종로구 혜화동(1111065000)","17,761","9,169","          1.94","8,772","8,989","          0.98"
"서울특별시 종로구 창신제1동(1111067000)","6,209","3,321","          1.87","3,321","2,888","          1.15"
"서울특별시 종로구 창신제2동(1111068000)","10,201","4,567","          2.23","5,175","5,026","          1.03"
"서울특별시 종로구 창신제3동(1111069000)","7,939","3,006","          2.64","3,991","3,948","          1.01"
"서울특별시 종로구 숭인제1동(1111070000)","6,973","3,161","          2.21","3,470","3,503","          0.99"
"서울특별시 종로구 숭인제2동(1111071000)","9,625","5,374","          1.79","4,954","4,671","          1.06"
"서울특별시 중구 (1114000000)","128,065","59,960","          2.14","64,033","64,032","          1.00"
"서울특별시 중구 소공동(1114052000)","1,278","655","          1.95","681","597","          1.14"
"서울특별시 중구 회현동(1114054000)","5,795","3,531","          1.64","3,139","2,656","          1.18"
"서울특별시 중구 명동(1114055000)","3,088","1,478","          2.09","1,336","1,752","          0.76"
"서울특별시 중구 필동(1114057000)","4,418","2,414","          1.83","2,334","2,084","          1.12"
"서울특별시 중구 장충동(1114058000)","5,314","2,869","          1.85","2,742","2,572","          1.07"
"서울특별시 중구 광희동(1114059000)","5,167","2,873","          1.80","2,758","2,409","          1.14"
"서울특별시 중구 을지로동(1114060500)","1,794","1,256","          1.43","1,128","666","          1.69"
"서울특별시 중구 신당동(1114061500)","7,353","3,889","          1.89","3,785","3,568","          1.06"
"서울특별시 중구 다산동(1114062500)","15,814","7,004","          2.26","7,748","8,066","          0.96"
"서울특별시 중구 약수동(1114063500)","18,893","7,908","          2.39","9,091","9,802","          0.93"
"서울특별시 중구 청구동(1114064500)","15,394","6,485","          2.37","7,425","7,969","          0.93"
"서울특별시 중구 신당제5동(1114065000)","10,433","4,751","          2.20","5,263","5,170","          1.02"
"서울특별시 중구 동화동(1114066500)","11,734","4,310","          2.72","5,707","6,027","          0.95"
"서울특별시 중구 황학동(1114067000)","12,316","6,045","          2.04","6,192","6,124","          1.01"
"서울특별시 중구 중림동(1114068000)","9,274","4,492","          2.06","4,704","4,570","          1.03"
"서울특별시 용산구 (1117000000)","235,951","108,429","          2.18","114,578","121,373","          0.94"
"서울특별시 용산구 후암동(1117051000)","19,162","8,719","          2.20","9,496","9,666","          0.98"
"서울특별시 용산구 용산2가동(1117052000)","12,072","5,820","          2.07","5,879","6,193","          0.95"
"서울특별시 용산구 남영동(1117053000)","8,093","5,358","          1.51","4,949","3,144","          1.57"
"서울특별시 용산구 청파동(1117055500)","22,018","11,034","          2.00","10,584","11,434","          0.93"
"서울특별시 용산구 원효로제1동(1117056000)","13,113","5,937","          2.21","6,445","6,668","          0.97"
"서울특별시 용산구 원효로제2동(1117057000)","15,504","6,007","          2.58","7,301","8,203","          0.89"
"서울특별시 용산구 효창동(1117058000)","11,110","4,437","          2.50","5,425","5,685","          0.95"
"서울특별시 용산구 용문동(1117059000)","12,842","5,149","          2.49","6,204","6,638","          0.93"
"서울특별시 용산구 한강로동(1117062500)","15,034","7,710","          1.95","7,492","7,542","          0.99"
"서울특별시 용산구 이촌제1동(1117063000)","26,652","9,642","          2.76","12,413","14,239","          0.87"
"서울특별시 용산구 이촌제2동(1117064000)","9,706","4,145","          2.34","4,647","5,059","          0.92"
"서울특별시 용산구 이태원제1동(1117065000)","7,827","4,190","          1.87","3,672","4,155","          0.88"
"서울특별시 용산구 이태원제2동(1117066000)","10,392","5,189","          2.00","4,783","5,609","          0.85"
"서울특별시 용산구 한남동(1117068500)","22,036","11,372","          1.94","10,540","11,496","          0.92"
"서울특별시 용산구 서빙고동(1117069000)","13,699","5,333","          2.57","6,602","7,097","          0.93"
"서울특별시 용산구 보광동(1117070000)","16,691","8,387","          1.99","8,146","8,545","          0.95"
"서울특별시 성동구 (1120000000)","296,086","125,814","          2.35","147,363","148,723","          0.99"
"서울특별시 성동구 왕십리제2동(1120052000)","16,452","6,793","          2.42","8,140","8,312","          0.98"
"서울특별시 성동구 왕십리도선동(1120053500)","15,697","6,853","          2.29","7,693","8,004","          0.96"
"서울특별시 성동구 마장동(1120054000)","24,509","10,323","          2.37","12,164","12,345","          0.99"
"서울특별시 성동구 사근동(1120055000)","11,206","6,294","          1.78","5,863","5,343","          1.10"
"서울특별시 성동구 행당제1동(1120056000)","15,103","6,583","          2.29","7,431","7,672","          0.97"
"서울특별시 성동구 행당제2동(1120057000)","26,307","9,476","          2.78","12,524","13,783","          0.91"
"서울특별시 성동구 응봉동(1120058000)","17,103","6,325","          2.70","8,169","8,934","          0.91"
"서울특별시 성동구 금호1가동(1120059000)","14,014","5,526","          2.54","6,815","7,199","          0.95"
"서울특별시 성동구 금호2.3가동(1120061500)","22,847","9,269","          2.46","11,070","11,777","          0.94"
"서울특별시 성동구 금호4가동(1120062000)","14,825","6,164","          2.41","7,185","7,640","          0.94"
"서울특별시 성동구 옥수동(1120064500)","23,261","9,352","          2.49","11,146","12,115","          0.92"
"서울특별시 성동구 성수1가제1동(1120065000)","17,356","7,134","          2.43","8,781","8,575","          1.02"
