"행정구역","2013년12월_총인구수","2013년12월_세대수","2013년12월_세대당 인구","2013년12월_남자 인구수","2013년12월_여자 인구수","2013년12월_남여 비율"
"서울특별시  (1100000000)","10,143,645","4,182,351","          2.43","5,007,869","5,135,776","          0.98"
"서울특별시 종로구 (1111000000)","160,070","73,693","          2.17","79,519","80,551","          0.99"
"서울특별시 종로구 청운효자동(1111051500)","14,570","5,895","          2.47","6,971","7,599","          0.92"
"서울특별시 종로구 사직동(1111053000)","9,875","4,465","          2.21","4,609","5,266","          0.88"
"서울특별시 종로구 삼청동(1111054000)","3,218","1,537","          2.09","1,557","1,661","          0.94"
"서울특별시 종로구 부암동(1111055000)","11,109","4,563","          2.43","5,464","5,645","          0.97"
"서울특별시 종로구 평창동(1111056000)","19,544","7,384","          2.65","9,315","10,229","          0.91"
"서울특별시 종로구 무악동(1111057000)","8,581","3,219","          2.67","4,091","4,490","          0.91"
"서울특별시 종로구 교남동(1111058000)","5,347","2,688","          1.99","2,640","2,707","          0.98"
"서울특별시 종로구 가회동(1111060000)","5,219","2,336","          2.23","2,444","2,775","          0.88"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,856","5,267","          1.49","4,581","3,275","          1.40"
"서울특별시 종로구 종로5.6가동(1111063000)","5,926","3,117","          1.90","3,225","2,701","          1.19"
"서울특별시 종로구 이화동(1111064000)","8,995","4,497","          2.00","4,275","4,720","          0.91"
"서울특별시 종로구 혜화동(1111065000)","17,889","9,129","          1.96","8,858","9,031","          0.98"
"서울특별시 종로구 창신제1동(1111067000)","6,334","3,345","          1.89","3,366","2,968","          1.13"
"서울특별시 종로구 창신제2동(1111068000)","10,679","4,768","          2.24","5,431","5,248","          1.03"
"서울특별시 종로구 창신제3동(1111069000)","8,189","3,044","          2.69","4,114","4,075","          1.01"
"서울특별시 종로구 숭인제1동(1111070000)","7,202","3,243","          2.22","3,630","3,572","          1.02"
"서울특별시 종로구 숭인제2동(1111071000)","9,537","5,196","          1.84","4,948","4,589","          1.08"
"서울특별시 중구 (1114000000)","130,465","60,600","          2.15","65,371","65,094","          1.00"
"서울특별시 중구 소공동(1114052000)","1,339","682","          1.96","698","641","          1.09"
"서울특별시 중구 회현동(1114054000)","5,892","3,591","          1.64","3,200","2,692","          1.19"
"서울특별시 중구 명동(1114055000)","3,279","1,583","          2.07","1,440","1,839","          0.78"
"서울특별시 중구 필동(1114057000)","4,484","2,437","          1.84","2,366","2,118","          1.12"
"서울특별시 중구 장충동(1114058000)","5,551","2,989","          1.86","2,853","2,698","          1.06"
"서울특별시 중구 광희동(1114059000)","5,364","2,937","          1.83","2,882","2,482","          1.16"
"서울특별시 중구 을지로동(1114060500)","1,901","1,322","          1.44","1,171","730","          1.60"
"서울특별시 중구 신당동(1114061500)","7,640","3,927","          1.95","3,952","3,688","          1.07"
"서울특별시 중구 다산동(1114062500)","16,163","7,160","          2.26","7,954","8,209","          0.97"
"서울특별시 중구 약수동(1114063500)","19,030","7,947","          2.39","9,167","9,863","          0.93"
"서울특별시 중구 청구동(1114064500)","15,598","6,485","          2.41","7,534","8,064","          0.93"
"서울특별시 중구 신당제5동(1114065000)","10,397","4,654","          2.23","5,252","5,145","          1.02"
"서울특별시 중구 동화동(1114066500)","11,913","4,386","          2.72","5,763","6,150","          0.94"
"서울특별시 중구 황학동(1114067000)","12,259","5,848","          2.10","6,234","6,025","          1.03"
"서울특별시 중구 중림동(1114068000)","9,655","4,652","          2.08","4,905","4,750","          1.03"
"서울특별시 용산구 (1117000000)","239,740","109,361","          2.19","116,491","123,249","          0.95"
"서울특별시 용산구 후암동(1117051000)","19,561","8,820","          2.22","9,705","9,856","          0.98"
"서울특별시 용산구 용산2가동(1117052000)","12,477","5,895","          2.12","6,051","6,426","          0.94"
"서울특별시 용산구 남영동(1117053000)","7,987","5,254","          1.52","4,865","3,122","          1.56"
"서울특별시 용산구 청파동(1117055500)","22,494","11,225","          2.00","10,835","11,659","          0.93"
"서울특별시 용산구 원효로제1동(1117056000)","12,709","5,694","          2.23","6,304","6,405","          0.98"
"서울특별시 용산구 원효로제2동(1117057000)","15,646","5,984","          2.61","7,419","8,227","          0.90"
"서울특별시 용산구 효창동(1117058000)","11,244","4,426","          2.54","5,466","5,778","          0.95"
"서울특별시 용산구 용문동(1117059000)","12,894","5,123","          2.52","6,256","6,638","          0.94"
"서울특별시 용산구 한강로동(1117062500)","15,087","7,702","          1.96","7,526","7,561","          1.00"
"서울특별시 용산구 이촌제1동(1117063000)","26,919","9,775","          2.75","12,551","14,368","          0.87"
"서울특별시 용산구 이촌제2동(1117064000)","9,986","4,235","          2.36","4,775","5,211","          0.92"
"서울특별시 용산구 이태원제1동(1117065000)","8,175","4,368","          1.87","3,788","4,387","          0.86"
"서울특별시 용산구 이태원제2동(1117066000)","10,891","5,359","          2.03","5,085","5,806","          0.88"
"서울특별시 용산구 한남동(1117068500)","22,739","11,703","          1.94","10,886","11,853","          0.92"
"서울특별시 용산구 서빙고동(1117069000)","13,834","5,363","          2.58","6,692","7,142","          0.94"
"서울특별시 용산구 보광동(1117070000)","17,097","8,435","          2.03","8,287","8,810","          0.94"
"서울특별시 성동구 (1120000000)","299,337","126,447","          2.37","149,304","150,033","          1.00"
"서울특별시 성동구 왕십리제2동(1120052000)","16,838","6,931","          2.43","8,331","8,507","          0.98"
"서울특별시 성동구 왕십리도선동(1120053500)","12,673","5,755","          2.20","6,261","6,412","          0.98"
"서울특별시 성동구 마장동(1120054000)","24,903","10,380","          2.40","12,442","12,461","          1.00"
"서울특별시 성동구 사근동(1120055000)","10,481","5,930","          1.77","5,521","4,960","          1.11"
