"행정구역","2012년12월_총인구수","2012년12월_세대수","2012년12월_세대당 인구","2012년12월_남자 인구수","2012년12월_여자 인구수","2012년12월_남여 비율"
"서울특별시  (1100000000)","10,195,318","4,177,970","          2.44","5,041,336","5,153,982","          0.98"
"서울특별시 종로구 (1111000000)","165,207","75,659","          2.18","82,274","82,933","          0.99"
"서울특별시 종로구 청운효자동(1111051500)","15,089","6,023","          2.51","7,263","7,826","          0.93"
"서울특별시 종로구 사직동(1111053000)","10,033","4,574","          2.19","4,661","5,372","          0.87"
"서울특별시 종로구 삼청동(1111054000)","3,322","1,558","          2.13","1,584","1,738","          0.91"
"서울특별시 종로구 부암동(1111055000)","11,236","4,566","          2.46","5,552","5,684","          0.98"
"서울특별시 종로구 평창동(1111056000)","19,543","7,395","          2.64","9,359","10,184","          0.92"
"서울특별시 종로구 무악동(1111057000)","8,548","3,220","          2.65","4,057","4,491","          0.90"
"서울특별시 종로구 교남동(1111058000)","8,185","4,091","          2.00","4,066","4,119","          0.99"
"서울특별시 종로구 가회동(1111060000)","5,397","2,408","          2.24","2,578","2,819","          0.91"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,953","5,276","          1.51","4,602","3,351","          1.37"
"서울특별시 종로구 종로5.6가동(1111063000)","6,120","3,185","          1.92","3,327","2,793","          1.19"
"서울특별시 종로구 이화동(1111064000)","9,029","4,520","          2.00","4,329","4,700","          0.92"
"서울특별시 종로구 혜화동(1111065000)","18,173","9,246","          1.97","9,031","9,142","          0.99"
"서울특별시 종로구 창신제1동(1111067000)","6,617","3,500","          1.89","3,511","3,106","          1.13"
"서울특별시 종로구 창신제2동(1111068000)","11,068","4,937","          2.24","5,632","5,436","          1.04"
"서울특별시 종로구 창신제3동(1111069000)","8,395","3,087","          2.72","4,194","4,201","          1.00"
"서울특별시 종로구 숭인제1동(1111070000)","7,299","3,256","          2.24","3,688","3,611","          1.02"
"서울특별시 종로구 숭인제2동(1111071000)","9,200","4,817","          1.91","4,840","4,360","          1.11"
"서울특별시 중구 (1114000000)","133,360","61,546","          2.17","67,043","66,317","          1.01"
"서울특별시 중구 소공동(1114052000)","1,357","700","          1.94","707","650","          1.09"
"서울특별시 중구 회현동(1114054000)","5,892","3,587","          1.64","3,228","2,664","          1.21"
"서울특별시 중구 명동(1114055000)","3,392","1,657","          2.05","1,515","1,877","          0.81"
"서울특별시 중구 필동(1114057000)","4,573","2,431","          1.88","2,474","2,099","          1.18"
"서울특별시 중구 장충동(1114058000)","5,583","2,975","          1.88","2,858","2,725","          1.05"
"서울특별시 중구 광희동(1114059000)","5,603","3,073","          1.82","2,996","2,607","          1.15"
"서울특별시 중구 을지로동(1114060500)","1,978","1,374","          1.44","1,250","728","          1.72"
"서울특별시 중구 신당제1동(1114061000)","7,857","3,996","          1.97","4,045","3,812","          1.06"
"서울특별시 중구 신당제2동(1114062000)","16,403","7,221","          2.27","8,102","8,301","          0.98"
"서울특별시 중구 신당제3동(1114063000)","19,421","8,033","          2.42","9,336","10,085","          0.93"
"서울특별시 중구 신당제4동(1114064000)","15,853","6,501","          2.44","7,664","8,189","          0.94"
"서울특별시 중구 신당제5동(1114065000)","10,435","4,650","          2.24","5,258","5,177","          1.02"
"서울특별시 중구 신당제6동(1114066000)","11,913","4,410","          2.70","5,822","6,091","          0.96"
"서울특별시 중구 황학동(1114067000)","12,323","5,775","          2.13","6,281","6,042","          1.04"
"서울특별시 중구 중림동(1114068000)","10,777","5,163","          2.09","5,507","5,270","          1.04"
"서울특별시 용산구 (1117000000)","243,232","110,706","          2.20","118,461","124,771","          0.95"
"서울특별시 용산구 후암동(1117051000)","19,923","8,991","          2.22","9,960","9,963","          1.00"
"서울특별시 용산구 용산2가동(1117052000)","12,783","5,986","          2.14","6,192","6,591","          0.94"
"서울특별시 용산구 남영동(1117053000)","7,801","5,184","          1.50","4,731","3,070","          1.54"
"서울특별시 용산구 청파동(1117055500)","23,031","11,443","          2.01","11,094","11,937","          0.93"
"서울특별시 용산구 원효로제1동(1117056000)","12,569","5,601","          2.24","6,259","6,310","          0.99"
"서울특별시 용산구 원효로제2동(1117057000)","15,737","6,005","          2.62","7,514","8,223","          0.91"
"서울특별시 용산구 효창동(1117058000)","11,297","4,415","          2.56","5,519","5,778","          0.96"
"서울특별시 용산구 용문동(1117059000)","12,982","5,101","          2.54","6,389","6,593","          0.97"
"서울특별시 용산구 한강로동(1117062500)","15,436","7,852","          1.97","7,719","7,717","          1.00"
"서울특별시 용산구 이촌제1동(1117063000)","26,984","9,852","          2.74","12,595","14,389","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","10,316","4,319","          2.39","4,972","5,344","          0.93"
"서울특별시 용산구 이태원제1동(1117065000)","8,417","4,434","          1.90","3,863","4,554","          0.85"
"서울특별시 용산구 이태원제2동(1117066000)","11,014","5,391","          2.04","5,112","5,902","          0.87"
"서울특별시 용산구 한남동(1117068500)","23,389","12,035","          1.94","11,220","12,169","          0.92"
"서울특별시 용산구 서빙고동(1117069000)","14,080","5,532","          2.55","6,835","7,245","          0.94"
"서울특별시 용산구 보광동(1117070000)","17,473","8,565","          2.04","8,487","8,986","          0.94"
"서울특별시 성동구 (1120000000)","299,604","125,848","          2.38","149,832","149,772","          1.00"
"서울특별시 성동구 왕십리제2동(1120052000)","17,153","6,974","          2.46","8,480","8,673","          0.98"
"서울특별시 성동구 왕십리도선동(1120053500)","12,848","5,815","          2.21","6,391","6,457","          0.99"
"서울특별시 성동구 마장동(1120054000)","25,235","10,306","          2.45","12,620","12,615","          1.00"
"서울특별시 성동구 사근동(1120055000)","10,535","5,877","          1.79","5,595","4,940","          1.13"
"서울특별시 성동구 행당제1동(1120056000)","17,667","7,593","          2.33","8,724","8,943","          0.98"
"서울특별시 성동구 행당제2동(1120057000)","26,943","9,629","          2.80","12,895","14,048","          0.92"
"서울특별시 성동구 응봉동(1120058000)","17,520","6,477","          2.70","8,475","9,045","          0.94"
"서울특별시 성동구 금호1가동(1120059000)","15,973","6,259","          2.55","7,803","8,170","          0.96"
"서울특별시 성동구 금호2.3가동(1120061500)","23,026","9,360","          2.46","11,153","11,873","          0.94"
"서울특별시 성동구 금호4가동(1120062000)","14,844","6,174","          2.40","7,278","7,566","          0.96"
"서울특별시 성동구 옥수동(1120064500)","19,819","8,104","          2.45","9,561","10,258","          0.93"
"서울특별시 성동구 성수1가제1동(1120065000)","18,108","7,359","          2.46","9,268","8,840","          1.05"
"서울특별시 성동구 성수1가제2동(1120066000)","18,523","8,157","          2.27","9,352","9,171","          1.02"
"서울특별시 성동구 성수2가제1동(1120067000)","20,588","9,094","          2.26","10,782","9,806","          1.10"
"서울특별시 성동구 성수2가제3동(1120069000)","12,054","5,407","          2.23","6,262","5,792","          1.08"
"서울특별시 성동구 송정동(1120072000)","12,150","5,593","          2.17","6,409","5,741","          1.12"
"서울특별시 성동구 용답동(1120079000)","16,618","7,670","          2.17","8,784","7,834","          1.12"
"서울특별시 광진구 (1121500000)","371,313","158,534","          2.34","183,528","187,785","          0.98"
"서울특별시 광진구 화양동(1121571000)","21,127","13,032","          1.62","10,440","10,687","          0.98"
"서울특별시 광진구 군자동(1121573000)","21,347","10,203","          2.09","10,733","10,614","          1.01"
"서울특별시 광진구 중곡제1동(1121574000)","16,698","7,644","          2.18","8,319","8,379","          0.99"
"서울특별시 광진구 중곡제2동(1121575000)","23,029","9,704","          2.37","11,299","11,730","          0.96"
"서울특별시 광진구 중곡제3동(1121576000)","18,918","8,213","          2.30","9,539","9,379","          1.02"
"서울특별시 광진구 중곡제4동(1121577000)","32,113","12,691","          2.53","15,991","16,122","          0.99"
"서울특별시 광진구 능동(1121578000)","11,069","5,556","          1.99","5,273","5,796","          0.91"
"서울특별시 광진구 광장동(1121581000)","36,884","11,946","          3.09","18,010","18,874","          0.95"
"서울특별시 광진구 자양제1동(1121582000)","24,123","11,099","          2.17","11,925","12,198","          0.98"
"서울특별시 광진구 자양제2동(1121583000)","28,817","11,380","          2.53","14,391","14,426","          1.00"
"서울특별시 광진구 자양제3동(1121584000)","31,914","11,594","          2.75","15,583","16,331","          0.95"
