"행정구역","2017년12월_전체세대","2017년12월_1인세대","2017년12월_2인세대","2017년12월_3인세대","2017년12월_4인세대","2017년12월_5인세대","2017년12월_6인세대","2017년12월_7인세대","2017년12월_8인세대","2017년12월_9인세대","2017년12월_10인세대"
"전국  (1000000000)","21,632,851","7,725,203","4,734,928","3,959,421","3,855,145","1,043,118","234,136","57,025","15,225","4,633","4,017"
"서울특별시  (1100000000)","4,220,082","1,608,998","867,814","776,452","735,420","176,927","40,051","10,106","2,772","897","645"
"서울특별시 종로구 (1111000000)","73,594","35,539","13,600","10,925","9,844","2,717","668","209","58","21","13"
"서울특별시 중구 (1114000000)","60,412","28,845","12,224","9,206","7,517","1,936","501","120","34","12","17"
"서울특별시 용산구 (1117000000)","107,666","49,518","21,720","16,934","14,452","3,753","923","234","79","27","26"
"서울특별시 성동구 (1120000000)","132,902","51,798","27,999","24,603","21,768","5,002","1,260","331","93","28","20"
"서울특별시 광진구 (1121500000)","160,798","68,171","31,806","27,507","25,725","5,745","1,359","340","97","28","20"
"서울특별시 동대문구 (1123000000)","159,938","70,090","31,663","26,511","23,485","6,127","1,546","363","103","32","18"
"서울특별시 중랑구 (1126000000)","179,132","69,385","39,419","33,027","28,498","6,869","1,455","352","96","18","13"
"서울특별시 성북구 (1129000000)","187,112","69,365","38,281","35,319","33,216","8,184","1,987","557","125","33","45"
"서울특별시 강북구 (1130500000)","142,533","54,745","32,534","26,345","21,711","5,526","1,262","270","85","30","25"
"서울특별시 도봉구 (1132000000)","137,378","41,294","31,810","29,112","26,717","6,470","1,449","359","113","37","17"
"서울특별시 노원구 (1135000000)","217,619","64,810","46,592","45,562","47,593","10,354","2,075","436","128","40","29"
"서울특별시 은평구 (1138000000)","202,839","70,698","45,192","39,648","35,350","9,107","2,106","538","134","37","29"
"서울특별시 서대문구 (1141000000)","137,266","55,117","28,458","24,332","22,047","5,515","1,312","349","86","26","24"
"서울특별시 마포구 (1144000000)","169,408","71,949","34,690","28,724","26,036","6,163","1,343","347","90","38","28"
"서울특별시 양천구 (1147000000)","176,649","47,379","35,589","38,567","42,582","9,777","2,059","466","153","45","32"
"서울특별시 강서구 (1150000000)","254,257","91,595","54,914","49,020","44,792","10,925","2,226","562","143","51","29"
"서울특별시 구로구 (1153000000)","171,570","60,669","37,054","32,991","30,792","7,686","1,788","408","128","33","21"
"서울특별시 금천구 (1154500000)","106,066","44,496","22,240","18,232","15,903","3,926","953","222","55","23","16"
"서울특별시 영등포구 (1156000000)","167,355","72,378","33,120","28,372","25,600","6,022","1,348","368","80","35","32"
"서울특별시 동작구 (1159000000)","172,995","68,697","35,530","30,962","28,615","7,017","1,591","428","99","35","21"
"서울특별시 관악구 (1162000000)","255,352","133,850","47,431","34,845","29,543","7,319","1,718","462","126","30","28"
"서울특별시 서초구 (1165000000)","173,594","55,973","33,829","34,428","37,230","9,097","2,136","612","185","59","45"
"서울특별시 강남구 (1168000000)","231,612","87,820","42,114","42,031","45,784","10,507","2,381","659","189","88","39"
"서울특별시 송파구 (1171000000)","264,628","85,227","52,978","54,090","55,878","12,730","2,776","677","186","54","32"
"서울특별시 강동구 (1174000000)","177,407","59,590","37,027","35,159","34,742","8,453","1,829","437","107","37","26"
"부산광역시  (2600000000)","1,467,555","513,523","344,340","280,666","247,514","62,899","14,087","3,246","813","250","217"
"부산광역시 중구 (2611000000)","23,284","12,208","5,173","3,083","2,009","578","171","48","7","5","2"
"부산광역시 서구 (2614000000)","51,953","23,106","12,165","8,207","6,076","1,753","483","116","22","8","17"
"부산광역시 동구 (2617000000)","43,413","19,946","10,405","6,559","4,735","1,309","355","71","21","4","8"
"부산광역시 영도구 (2620000000)","55,713","21,451","14,454","9,841","7,297","1,972","512","127","37","13","9"
"부산광역시 부산진구 (2623000000)","166,491","66,369","38,300","29,181","24,485","6,343","1,388","316","76","21","12"
"부산광역시 동래구 (2626000000)","108,609","33,592","25,227","21,850","20,958","5,378","1,223","269","70","24","18"
"부산광역시 남구 (2629000000)","113,898","37,980","27,364","22,083","19,738","5,134","1,181","312","74","18","14"
"부산광역시 북구 (2632000000)","120,249","35,294","28,224","25,083","24,310","5,906","1,135","215","56","17","9"
"부산광역시 해운대구 (2635000000)","165,002","50,473","37,587","34,515","32,448","7,734","1,704","384","107","29","21"
"부산광역시 사하구 (2638000000)","137,679","44,745","32,955","27,704","24,549","6,011","1,328","268","74","24","21"
"부산광역시 금정구 (2641000000)","104,827","38,091","24,559","19,681","16,848","4,276","1,010","251","59","21","31"
"부산광역시 강서구 (2644000000)","47,850","16,180","10,157","9,411","8,992","2,384","535","133","42","9","7"
"부산광역시 연제구 (2647000000)","85,892","28,424","20,470","17,077","15,053","3,757","864","172","52","12","11"
"부산광역시 수영구 (2650000000)","79,788","30,254","19,585","14,812","11,268","2,932","693","181","37","16","10"
"부산광역시 사상구 (2653000000)","97,169","34,099","22,570","18,762","16,535","4,103","824","213","39","14","10"
"부산광역시 기장군 (2671000000)","65,738","21,311","15,145","12,817","12,213","3,329","681","170","40","15","17"
"대구광역시  (2700000000)","1,006,753","327,800","225,525","199,211","193,180","48,091","10,006","2,173","498","136","133"
"대구광역시 중구 (2711000000)","37,856","17,692","8,002","5,899","4,623","1,238","300","77","13","5","7"
"대구광역시 동구 (2714000000)","148,719","52,500","35,729","27,996","24,236","6,359","1,463","312","87","15","22"
"대구광역시 서구 (2717000000)","86,738","34,392","20,710","15,585","12,080","3,099","661","166","30","10","5"
"대구광역시 남구 (2720000000)","73,442","33,039","17,373","11,573","8,347","2,390","509","163","20","12","16"
"대구광역시 북구 (2723000000)","174,617","53,462","37,889","35,468","36,710","8,893","1,730","334","84","17","30"
"대구광역시 수성구 (2726000000)","164,900","43,604","35,420","35,255","38,072","9,862","2,099","442","90","30","26"
"대구광역시 달서구 (2729000000)","224,583","64,452","48,974","47,230","49,558","11,467","2,255","482","124","30","11"
"대구광역시 달성군 (2771000000)","95,898","28,659","21,428","20,205","19,554","4,783","989","197","50","17","16"
"인천광역시  (2800000000)","1,188,917","386,809","254,920","236,649","234,759","59,283","12,433","2,907","759","227","171"
"인천광역시 중구 (2811000000)","54,525","24,688","10,836","8,270","7,812","2,228","525","108","32","14","12"
"인천광역시 동구 (2814000000)","29,870","10,780","7,078","5,699","4,683","1,210","328","71","17","0","4"
"인천광역시 남구 (2817000000)","182,292","68,615","41,535","33,916","28,560","7,467","1,681","373","101","25","19"
"인천광역시 연수구 (2818500000)","123,913","33,375","22,905","26,955","31,163","7,488","1,548","339","89","31","20"
"인천광역시 남동구 (2820000000)","214,280","67,228","46,790","43,047","43,359","10,949","2,221","499","123","43","21"
"인천광역시 부평구 (2823700000)","215,192","66,466","47,479","44,497","43,235","10,522","2,231","523","164","45","30"
"인천광역시 계양구 (2824500000)","125,936","36,854","26,562","26,897","27,492","6,549","1,165","310","67","21","19"
"인천광역시 서구 (2826000000)","199,152","59,115","39,839","41,613","44,444","11,264","2,174","528","123","33","19"
"인천광역시 강화군 (2871000000)","31,869","12,873","9,313","4,602","3,152","1,279","454","135","30","10","21"
"인천광역시 옹진군 (2872000000)","11,888","6,815","2,583","1,153","859","327","106","21","13","5","6"
"광주광역시  (2900000000)","592,818","201,069","125,870","110,890","110,524","35,261","7,066","1,527","387","123","101"
"광주광역시 동구 (2911000000)","45,341","20,982","10,131","6,669","5,073","1,807","489","122","34","12","22"
"광주광역시 서구 (2914000000)","124,663","42,579","26,105","23,399","23,490","7,219","1,447","314","70","23","17"
"광주광역시 남구 (2915500000)","88,605","28,720","20,903","17,161","15,212","5,164","1,088","244","68","21","24"
"광주광역시 북구 (2917000000)","180,682","62,149","39,787","34,366","31,689","10,017","2,062","443","111","40","18"
"광주광역시 광산구 (2920000000)","153,527","46,639","28,944","29,295","35,060","11,054","1,980","404","104","27","20"
"대전광역시  (3000000000)","614,639","212,004","130,377","115,300","115,524","32,234","6,949","1,578","449","110","114"
"대전광역시 동구 (3011000000)","100,677","39,246","22,903","17,128","15,177","4,742","1,133","253","68","13","14"
"대전광역시 중구 (3014000000)","104,509","37,289","23,990","18,885","17,302","5,315","1,281","313","97","16","21"
"대전광역시 서구 (3017000000)","196,016","64,877","40,772","38,092","39,029","10,413","2,130","497","130","41","35"
"대전광역시 유성구 (3020000000)","137,514","45,435","25,695","26,675","29,967","7,748","1,536","318","94","25","21"
"대전광역시 대덕구 (3023000000)","75,923","25,157","17,017","14,520","14,049","4,016","869","197","60","15","23"
"울산광역시  (3100000000)","458,547","139,775","96,840","93,303","99,643","23,316","4,335","952","260","68","55"
"울산광역시 중구 (3111000000)","95,386","29,423","21,248","19,521","19,334","4,711","881","201","47","12","8"
"울산광역시 남구 (3114000000)","134,372","43,169","27,392","27,399","28,758","6,174","1,130","246","75","17","12"
"울산광역시 동구 (3117000000)","66,888","20,288","14,545","13,588","14,155","3,409","699","148","35","11","10"
"울산광역시 북구 (3120000000)","72,416","16,992","14,311","16,194","19,516","4,463","739","138","40","13","10"
"울산광역시 울주군 (3171000000)","89,485","29,903","19,344","16,601","17,880","4,559","886","219","63","15","15"
"세종특별자치시  (3600000000)","109,490","35,209","21,587","20,821","22,946","6,864","1,524","397","95","30","17"
"세종특별자치시  (3611000000)","109,490","35,209","21,587","20,821","22,946","6,864","1,524","397","95","30","17"
"경기도  (4100000000)","5,131,379","1,673,349","1,049,823","995,063","1,065,293","270,394","58,080","13,714","3,802","1,070","791"
"경기도 수원시 (4111000000)","483,558","166,583","89,837","91,504","105,021","24,592","4,601","1,013","273","67","67"
"경기도 성남시 (4113000000)","396,403","137,214","80,721","76,161","78,491","18,495","3,942","938","312","90","39"
"경기도 의정부시 (4115000000)","179,505","59,101","39,208","35,528","34,365","8,749","1,982","421","100","40","11"
"경기도 안양시 (4117000000)","223,172","61,595","46,078","47,910","52,334","12,002","2,435","592","151","50","25"
"경기도 부천시 (4119000000)","335,384","103,176","70,281","69,946","70,018","17,103","3,661","845","243","78","33"
"경기도 광명시 (4121000000)","127,168","35,413","27,079","26,752","29,096","6,991","1,421","281","99","24","12"
"경기도 평택시 (4122000000)","204,252","78,698","41,257","34,726","36,166","10,294","2,323","578","136","39","35"
"경기도 동두천시 (4125000000)","42,420","16,488","9,959","7,238","6,040","1,968","536","137","32","11","11"
"경기도 안산시 (4127000000)","278,240","100,418","52,735","51,191","56,071","14,260","2,741","593","158","44","29"
"경기도 고양시 (4128000000)","408,816","126,344","82,650","83,706","89,550","20,960","4,236","969","279","67","55"
"경기도 과천시 (4129000000)","20,903","5,603","3,838","4,279","5,281","1,446","313","104","23","8","8"
"경기도 구리시 (4131000000)","77,306","22,967","15,538","16,136","17,326","4,179","880","198","58","12","12"
"경기도 남양주시 (4136000000)","255,594","73,331","55,294","51,811","55,797","14,904","3,426","773","190","40","28"
"경기도 오산시 (4137000000)","85,445","29,666","16,053","15,242","18,363","4,793","995","251","56","19","7"
"경기도 시흥시 (4139000000)","167,802","57,833","30,877","31,210","36,298","9,175","1,813","428","108","41","19"
"경기도 군포시 (4141000000)","106,645","29,246","22,159","22,670","25,285","5,786","1,131","254","74","22","18"
"경기도 의왕시 (4143000000)","59,201","16,422","12,408","12,495","13,609","3,353","684","169","43","10","8"
"경기도 하남시 (4145000000)","93,741","30,191","20,211","18,855","18,689","4,595","929","202","49","12","8"
"경기도 용인시 (4146000000)","371,685","98,407","74,341","78,350","91,488","22,313","5,047","1,202","346","119","72"
"경기도 파주시 (4148000000)","180,250","64,190","37,223","32,625","33,857","9,531","2,164","458","142","29","31"
