"행정구역","2009년12월_전체세대","2009년12월_1인세대","2009년12월_2인세대","2009년12월_3인세대","2009년12월_4인세대","2009년12월_5인세대","2009년12월_6인세대","2009년12월_7인세대","2009년12월_8인세대","2009년12월_9인세대","2009년12월_10인세대"
"전국  (1000000000)","19,261,292","6,161,000","3,677,291","3,605,747","4,231,332","1,206,417","285,387","68,306","17,194","4,905","3,713"
"서울특별시  (1100000000)","4,116,660","1,441,632","761,053","771,136","871,082","213,259","44,883","9,974","2,463","711","467"
"서울특별시 종로구 (1111000000)","74,315","32,087","13,380","11,901","12,334","3,491","839","202","49","20","12"
"서울특별시 중구 (1114000000)","58,249","25,798","10,956","9,239","8,951","2,506","612","130","37","5","15"
"서울특별시 용산구 (1117000000)","107,456","46,645","20,583","17,829","16,866","4,248","962","225","62","16","20"
"서울특별시 성동구 (1120000000)","126,670","45,928","24,121","23,334","25,075","6,354","1,410","328","85","21","14"
"서울특별시 광진구 (1121500000)","156,140","59,861","27,929","27,395","31,336","7,579","1,576","349","93","14","8"
"서울특별시 동대문구 (1123000000)","153,437","60,602","28,002","26,653","28,353","7,539","1,729","431","88","31","9"
"서울특별시 중랑구 (1126000000)","171,448","59,508","32,198","33,169","35,145","8,906","1,984","399","107","24","8"
"서울특별시 성북구 (1129000000)","192,990","67,986","36,381","36,628","39,375","9,763","2,174","508","107","36","32"
"서울특별시 강북구 (1130500000)","136,779","45,664","27,659","27,187","27,005","7,044","1,669","404","100","23","24"
"서울특별시 도봉구 (1132000000)","139,010","39,235","26,284","29,374","33,776","8,130","1,722","351","90","33","15"
"서울특별시 노원구 (1135000000)","225,000","60,014","41,998","46,879","59,405","13,455","2,573","502","116","38","20"
"서울특별시 은평구 (1138000000)","185,701","62,167","36,498","36,427","38,045","9,830","2,102","480","100","28","24"
"서울특별시 서대문구 (1141000000)","137,062","51,681","26,444","24,532","25,817","6,618","1,483","368","82","23","14"
"서울특별시 마포구 (1144000000)","165,750","66,267","32,036","28,801","29,372","7,170","1,593","374","94","17","26"
"서울특별시 양천구 (1147000000)","182,363","49,700","30,356","36,864","50,802","11,766","2,204","469","139","35","28"
"서울특별시 강서구 (1150000000)","221,975","68,388","42,293","45,293","50,496","12,350","2,431","536","124","38","26"
"서울특별시 구로구 (1153000000)","167,404","55,581","31,539","32,600","36,346","8,857","1,950","402","94","24","11"
"서울특별시 금천구 (1154500000)","100,285","36,665","18,407","18,250","20,272","5,233","1,123","253","52","20","10"
"서울특별시 영등포구 (1156000000)","168,099","62,244","31,630","30,544","33,259","8,096","1,771","397","102","31","25"
"서울특별시 동작구 (1159000000)","163,344","58,519","32,090","29,879","32,241","8,136","1,872","430","124","31","22"
"서울특별시 관악구 (1162000000)","241,873","110,319","42,626","37,856","38,488","9,809","2,106","500","115","36","18"
"서울특별시 서초구 (1165000000)","166,405","54,335","29,899","32,179","38,599","9,003","1,782","433","114","37","24"
"서울특별시 강남구 (1168000000)","229,431","84,675","39,690","40,405","50,490","11,366","2,135","476","134","38","22"
"서울특별시 송파구 (1171000000)","260,681","81,279","45,276","50,996","64,146","15,257","2,901","610","146","48","22"
"서울특별시 강동구 (1174000000)","184,793","56,484","32,778","36,922","45,088","10,753","2,180","417","109","44","18"
"부산광역시  (2600000000)","1,323,771","364,943","263,939","276,541","310,086","83,178","19,185","4,303","1,047","340","209"
"부산광역시 중구 (2611000000)","22,064","9,310","4,667","3,797","3,079","871","247","59","18","9","7"
"부산광역시 서구 (2614000000)","51,490","18,309","10,935","9,736","8,876","2,701","695","174","47","4","13"
"부산광역시 동구 (2617000000)","42,297","15,003","9,392","8,069","7,089","2,010","550","137","25","14","8"
"부산광역시 영도구 (2620000000)","57,651","17,168","12,835","11,679","11,488","3,282","876","237","50","25","11"
"부산광역시 부산진구 (2623000000)","153,413","46,794","31,066","30,886","32,901","9,058","2,094","455","113","36","10"
"부산광역시 동래구 (2626000000)","101,419","24,994","19,570","21,872","26,065","6,832","1,600","352","91","26","17"
"부산광역시 남구 (2629000000)","110,473","28,834","22,846","23,799","25,987","6,879","1,610","367","99","37","15"
"부산광역시 북구 (2632000000)","110,502","25,215","20,358","24,101","30,942","7,855","1,615","293","80","29","14"
"부산광역시 해운대구 (2635000000)","153,019","37,726","28,836","33,297","40,063","10,229","2,227","474","112","32","23"
"부산광역시 사하구 (2638000000)","130,410","32,734","24,980","28,349","33,338","8,575","1,888","406","91","29","20"
"부산광역시 금정구 (2641000000)","93,103","25,063","18,598","19,434","22,083","6,096","1,392","303","82","25","27"
"부산광역시 강서구 (2644000000)","25,009","9,353","5,133","4,309","4,196","1,442","402","133","30","8","3"
"부산광역시 연제구 (2647000000)","77,490","20,141","15,600","16,613","18,679","4,944","1,167","261","56","20","9"
