"행정구역","2021년12월_전체세대","2021년12월_1인세대","2021년12월_2인세대","2021년12월_3인세대","2021년12월_4인세대","2021년12월_5인세대","2021년12월_6인세대","2021년12월_7인세대","2021년12월_8인세대","2021년12월_9인세대","2021년12월_10인세대"
"전국  (1000000000)","23,472,895","9,461,695","5,613,943","3,998,644","3,369,721","817,794","160,409","36,020","9,249","2,748","2,672"
"서울특별시  (1100000000)","4,426,007","1,906,690","978,393","750,762","616,312","135,649","28,628","6,705","1,848","581","439"
"서울특별시 종로구 (1111000000)","73,494","37,857","14,520","10,424","7,973","2,050","475","133","40","10","12"
"서울특별시 중구 (1114000000)","63,519","32,752","13,879","8,846","6,080","1,453","371","91","24","6","17"
"서울특별시 용산구 (1117000000)","111,036","54,174","23,871","16,680","12,390","2,952","708","174","53","16","18"
"서울특별시 성동구 (1120000000)","134,233","57,653","30,288","23,757","17,768","3,646","824","214","55","18","10"
"서울특별시 광진구 (1121500000)","167,949","81,256","34,893","25,510","20,777","4,248","935","241","56","17","16"
"서울특별시 동대문구 (1123000000)","168,219","82,531","34,995","25,490","19,363","4,536","984","232","59","19","10"
"서울특별시 중랑구 (1126000000)","185,712","81,201","44,753","30,834","22,529","5,083","1,003","235","48","17","9"
"서울특별시 성북구 (1129000000)","195,017","79,845","43,602","34,419","28,831","6,491","1,371","299","100","27","32"
"서울특별시 강북구 (1130500000)","144,536","63,836","35,360","23,598","16,764","3,912","829","162","42","15","18"
"서울특별시 도봉구 (1132000000)","138,656","48,682","35,854","27,255","20,851","4,744","937","241","60","26","6"
"서울특별시 노원구 (1135000000)","217,378","74,565","51,876","43,193","38,376","7,560","1,380","307","77","26","18"
"서울특별시 은평구 (1138000000)","214,711","85,088","52,293","38,679","29,537","7,106","1,550","322","85","27","24"
"서울특별시 서대문구 (1141000000)","143,647","63,380","31,486","24,215","19,006","4,325","915","232","53","24","11"
"서울특별시 마포구 (1144000000)","179,861","85,055","37,746","28,257","22,585","4,867","975","261","72","31","12"
"서울특별시 양천구 (1147000000)","181,404","56,418","41,461","37,921","36,409","7,360","1,380","312","97","25","21"
"서울특별시 강서구 (1150000000)","271,175","118,270","61,743","45,135","35,921","8,003","1,601","369","86","29","18"
"서울특별시 구로구 (1153000000)","180,929","72,576","43,375","32,221","25,417","5,726","1,245","260","70","27","12"
"서울특별시 금천구 (1154500000)","117,595","58,395","26,113","17,059","12,328","2,910","591","136","43","14","6"
"서울특별시 영등포구 (1156000000)","187,020","90,876","39,221","28,522","22,268","4,773","1,003","238","78","16","25"
"서울특별시 동작구 (1159000000)","184,812","84,446","39,567","30,137","23,960","5,241","1,092","264","63","23","19"
"서울특별시 관악구 (1162000000)","276,597","165,811","50,714","30,763","22,546","5,250","1,142","262","72","15","22"
"서울특별시 서초구 (1165000000)","170,244","59,336","35,350","33,403","32,357","7,349","1,789","440","146","48","26"
"서울특별시 강남구 (1168000000)","234,233","95,099","46,336","41,245","40,328","8,600","1,930","482","141","49","23"
"서울특별시 송파구 (1171000000)","282,417","103,275","62,221","54,562","48,919","10,504","2,257","483","135","29","32"
"서울특별시 강동구 (1174000000)","201,613","74,313","46,876","38,637","33,029","6,960","1,341","315","93","27","22"
"부산광역시  (2600000000)","1,544,663","615,618","394,176","270,214","206,023","46,762","9,122","1,958","478","169","143"
"부산광역시 중구 (2611000000)","23,925","14,166","5,349","2,615","1,324","359","83","20","5","2","2"
"부산광역시 서구 (2614000000)","52,960","25,123","13,140","7,861","5,125","1,328","294","59","15","4","11"
"부산광역시 동구 (2617000000)","46,362","23,211","11,698","6,358","3,872","946","218","43","9","3","4"
"부산광역시 영도구 (2620000000)","54,659","23,803","15,258","8,441","5,434","1,326","307","66","13","6","5"
"부산광역시 부산진구 (2623000000)","173,353","78,075","42,934","27,276","19,460","4,493","864","189","42","14","6"
"부산광역시 동래구 (2626000000)","115,718","40,390","29,737","21,910","18,656","4,060","724","167","41","16","17"
"부산광역시 남구 (2629000000)","117,821","44,777","30,031","21,235","16,869","3,861","795","189","41","13","10"
"부산광역시 북구 (2632000000)","123,316","41,799","33,441","23,978","19,086","4,113","729","120","35","11","4"
"부산광역시 해운대구 (2635000000)","172,397","60,095","44,250","33,755","27,094","5,668","1,151","268","79","24","13"
"부산광역시 사하구 (2638000000)","139,604","53,404","36,989","25,065","18,848","4,281","811","136","38","17","15"
