"행정구역","2011년12월_전체세대","2011년12월_1인세대","2011년12월_2인세대","2011년12월_3인세대","2011년12월_4인세대","2011년12월_5인세대","2011년12월_6인세대","2011년12월_7인세대","2011년12월_8인세대","2011년12월_9인세대","2011년12월_10인세대"
"인천광역시 남구 (2817000000)","171,868","60,610","34,718","33,083","32,389","8,414","2,057","448","109","21","19"
"인천광역시 연수구 (2818500000)","102,953","27,267","16,324","21,059","29,325","7,203","1,406","268","65","24","12"
"인천광역시 남동구 (2820000000)","188,124","54,700","35,828","38,736","45,083","10,958","2,206","476","101","26","10"
"인천광역시 부평구 (2823700000)","212,946","63,094","39,376","43,589","51,002","12,513","2,616","549","147","36","24"
"인천광역시 계양구 (2824500000)","127,929","36,390","22,135","26,228","33,510","7,876","1,383","309","66","19","13"
"인천광역시 서구 (2826000000)","160,340","44,311","27,825","33,177","42,070","10,305","2,103","400","96","29","24"
"인천광역시 강화군 (2871000000)","29,071","10,799","8,010","4,529","3,578","1,443","508","143","30","11","20"
"인천광역시 옹진군 (2872000000)","9,836","5,061","2,195","1,129","947","340","113","24","11","10","6"
"광주광역시  (2900000000)","549,105","166,362","101,897","104,128","121,166","43,096","9,514","2,166","523","131","122"
"광주광역시 동구 (2911000000)","47,472","21,021","9,283","7,261","6,357","2,552","713","192","60","10","23"
"광주광역시 서구 (2914000000)","116,992","33,809","21,160","22,470","27,253","9,528","2,133","455","126","33","25"
"광주광역시 남구 (2915500000)","82,854","24,579","17,022","16,401","16,466","6,384","1,518","351","86","23","24"
"광주광역시 북구 (2917000000)","168,485","51,275","32,326","32,354","36,254","12,631","2,781","659","145","35","25"
"광주광역시 광산구 (2920000000)","133,302","35,678","22,106","25,642","34,836","12,001","2,369","509","106","30","25"
"대전광역시  (3000000000)","566,324","166,725","104,915","110,022","132,521","40,105","9,129","2,128","519","147","113"
"대전광역시 동구 (3011000000)","100,745","34,296","20,677","18,678","18,905","6,150","1,520","380","94","25","20"
"대전광역시 중구 (3014000000)","101,819","31,259","20,444","19,831","20,999","6,858","1,837","428","118","21","24"
"대전광역시 서구 (3017000000)","181,948","50,229","32,486","36,148","45,629","13,605","2,951","664","153","47","36"
"대전광역시 유성구 (3020000000)","106,053","29,637","16,986","20,422","28,878","8,006","1,607","383","87","33","14"
"대전광역시 대덕구 (3023000000)","75,759","21,304","14,322","14,943","18,110","5,486","1,214","273","67","21","19"
"울산광역시  (3100000000)","412,561","110,810","72,122","83,272","111,661","27,522","5,512","1,229","279","87","67"
"울산광역시 중구 (3111000000)","86,822","24,596","16,158","17,468","21,636","5,492","1,140","259","50","15","8"
"울산광역시 남구 (3114000000)","125,766","34,658","21,293","25,453","34,449","8,006","1,476","312","77","24","18"
"울산광역시 동구 (3117000000)","61,946","16,016","10,809","12,901","16,819","4,263","887","190","37","14","10"
"울산광역시 북구 (3120000000)","60,882","12,319","9,533","12,665","20,420","4,799","906","172","45","14","9"
"울산광역시 울주군 (3171000000)","77,145","23,221","14,329","14,785","18,337","4,962","1,103","296","70","20","22"
"경기도  (4100000000)","4,579,405","1,446,281","826,588","867,678","1,080,082","278,672","60,976","13,935","3,419","1,046","728"
"경기도 수원시 (4111000000)","416,036","134,644","68,514","76,357","104,283","25,658","5,119","1,063","259","84","55"
"경기도 성남시 (4113000000)","384,230","125,368","70,703","73,931","87,496","21,297","4,248","874","208","65","40"
"경기도 의정부시 (4115000000)","166,397","51,532","31,899","33,170","37,372","9,577","2,161","528","116","27","15"
"경기도 안양시 (4117000000)","226,420","62,300","39,694","46,043","61,050","13,845","2,701","573","139","45","30"
"경기도 부천시 (4119000000)","328,229","96,774","58,546","66,145","81,185","20,221","4,056","979","215","73","35"
"경기도 광명시 (4121000000)","131,770","35,386","25,375","27,812","33,078","8,056","1,576","348","99","27","13"
"경기도 평택시 (4122000000)","169,071","59,169","31,103","29,148","35,367","10,753","2,632","664","155","41","39"
"경기도 동두천시 (4125000000)","40,202","15,078","8,423","7,079","6,544","2,260","614","137","40","17","10"
"경기도 안산시 (4127000000)","281,655","98,524","45,129","50,701","66,884","16,589","3,029","613","126","39","21"
"경기도 고양시 (4128000000)","362,719","109,252","63,437","70,300","92,461","21,653","4,397","875","234","66","44"
"경기도 과천시 (4129000000)","25,832","6,838","4,448","4,973","7,341","1,729","389","74","29","7","4"
"경기도 구리시 (4131000000)","74,473","23,178","12,944","14,647","18,178","4,362","925","178","38","12","11"
"경기도 남양주시 (4136000000)","216,005","61,891","41,043","43,287","51,598","13,943","3,241","765","166","44","27"
"경기도 오산시 (4137000000)","74,807","24,186","13,178","14,047","17,593","4,540","947","229","59","19","9"
"경기도 시흥시 (4139000000)","157,772","56,426","24,290","27,304","37,731","9,618","1,887","371","104","26","15"
"경기도 군포시 (4141000000)","105,160","27,856","19,022","21,711","28,630","6,413","1,192","237","71","21","7"
"경기도 의왕시 (4143000000)","54,693","14,520","9,926","11,382","14,469","3,517","671","151","35","12","10"
"경기도 하남시 (4145000000)","58,554","19,309","11,164","11,171","12,527","3,405","790","150","27","8","3"
"경기도 용인시 (4146000000)","324,587","85,398","58,566","66,260","86,728","21,432","4,698","1,084","266","92","63"
"경기도 파주시 (4148000000)","155,446","57,871","29,013","26,992","30,241","8,512","2,166","470","114","35","32"
"경기도 이천시 (4150000000)","78,979","26,184","14,762","13,952","16,715","5,289","1,513","405","100","35","24"
"경기도 안성시 (4155000000)","72,728","26,032","14,591","12,370","13,525","4,419","1,303","332","91","28","37"
"경기도 김포시 (4157000000)","99,125","31,428","19,025","18,221","22,339","6,155","1,510","328","78","21","20"
"경기도 화성시 (4159000000)","193,152","58,978","33,237","35,688","48,193","13,038","2,975","726","208","70","39"
"경기도 광주시 (4161000000)","102,687","33,173","19,393","19,523","22,109","6,332","1,592","404","110","24","27"
"경기도 양주시 (4163000000)","77,578","24,912","15,246","14,485","16,194","5,018","1,267","329","78","26","23"
"경기도 포천시 (4165000000)","66,527","26,187","13,328","10,637","11,162","3,683","1,073","334","78","21","24"
"경기도 여주군 (4173000000)","44,575","16,222","9,767","7,280","7,274","2,745","908","273","68","19","19"
"경기도 연천군 (4180000000)","19,826","8,135","4,587","3,029","2,579","1,053","312","93","24","8","6"
"경기도 가평군 (4182000000)","26,109","11,267","5,878","3,714","3,363","1,282","410","144","32","10","9"
"경기도 양평군 (4183000000)","44,061","18,263","10,357","6,319","5,873","2,278","674","204","52","24","17"
"강원도  (4200000000)","648,649","245,464","141,096","108,228","105,318","35,518","9,591","2,512","623","155","144"
"강원도 춘천시 (4211000000)","110,075","37,938","22,870","19,904","20,519","6,653","1,656","413","78","28","16"
"강원도 원주시 (4213000000)","128,436","44,075","25,575","23,534","25,333","7,514","1,817","444","100","22","22"
"강원도 강릉시 (4215000000)","90,090","31,555","20,198","16,302","15,569","4,876","1,217","275","81","7","10"
"강원도 동해시 (4217000000)","39,411","13,936","8,632","6,951","6,883","2,230","544","151","42","23","19"
"강원도 태백시 (4219000000)","22,230","9,062","5,051","3,529","3,092","1,085","294","83","26","4","4"
"강원도 속초시 (4221000000)","36,579","14,475","7,898","6,208","5,803","1,684","400","81","23","3","4"
"강원도 삼척시 (4223000000)","33,388","14,867","7,343","4,842","4,265","1,507","422","95","34","7","6"
"강원도 홍천군 (4272000000)","29,648","11,239","7,098","4,611","4,118","1,760","595","174","30","11","12"
"강원도 횡성군 (4273000000)","19,160","7,523","4,825","2,806","2,454","1,048","325","129","32","7","11"
"강원도 영월군 (4275000000)","18,668","8,175","4,600","2,594","2,015","891","274","85","24","6","4"
"강원도 평창군 (4276000000)","19,569","8,271","4,640","2,786","2,423","978","323","111","18","12","7"
"강원도 정선군 (4277000000)","18,968","8,659","4,486","2,560","2,009","876","266","85","18","5","4"
"강원도 철원군 (4278000000)","19,970","7,679","4,446","2,968","2,991","1,315","401","124","36","5","5"
"강원도 화천군 (4279000000)","11,716","5,706","2,322","1,457","1,406","539","221","46","9","4","6"
"강원도 양구군 (4280000000)","9,775","4,330","2,005","1,282","1,344","552","186","48","18","6","4"
"강원도 인제군 (4281000000)","13,935","5,860","2,877","2,031","2,046","783","242","66","25","1","4"
"강원도 고성군 (4282000000)","14,248","6,660","3,167","1,940","1,549","642","213","63","11","1","2"
"강원도 양양군 (4283000000)","12,783","5,454","3,063","1,923","1,499","585","195","39","18","3","4"
"충청북도  (4300000000)","627,006","216,386","131,578","108,671","117,586","39,252","10,121","2,470","604","173","165"
"충청북도 청주시 (4311000000)","251,174","78,139","44,972","47,288","58,512","17,463","3,776","782","173","46","23"
"충청북도 충주시 (4313000000)","82,946","27,571","18,100","14,664","15,446","5,217","1,440","366","93","24","25"
"충청북도 제천시 (4315000000)","57,393","20,324","13,502","9,841","9,520","3,134","836","171","41","11","13"
"충청북도 청원군 (4371000000)","64,669","23,160","13,727","11,136","11,335","3,858","1,059","276","72","17","29"
"충청북도 보은군 (4372000000)","15,510","6,181","4,259","2,243","1,581","811","314","81","24","9","7"
"충청북도 옥천군 (4373000000)","22,307","8,045","5,754","3,506","3,052","1,350","407","138","31","13","11"
"충청북도 영동군 (4374000000)","22,025","8,608","5,718","3,130","2,617","1,309","451","144","25","8","15"
"충청북도 증평군 (4374500000)","14,091","5,285","2,892","2,365","2,327","894","249","62","14","3","0"
"충청북도 진천군 (4375000000)","26,488","10,092","5,685","4,327","4,199","1,580","432","121","36","9","7"
"충청북도 괴산군 (4376000000)","17,805","7,897","4,773","2,381","1,615","734","277","88","29","5","6"
"충청북도 음성군 (4377000000)","38,518","15,426","8,546","5,729","5,718","2,184","645","177","53","21","19"
"충청북도 단양군 (4380000000)","14,080","5,658","3,650","2,061","1,664","718","235","64","13","7","10"
"충청남도  (4400000000)","868,768","321,647","185,123","141,431","149,666","51,422","13,974","3,978","987","296","244"
"충청남도 천안시 (4413000000)","227,976","82,689","38,169","39,319","50,099","13,896","2,865","701","160","47","31"
"충청남도 공주시 (4415000000)","51,317","18,975","11,652","8,173","7,710","3,287","1,080","298","77","34","31"
"충청남도 보령시 (4418000000)","45,275","16,826","11,138","7,324","6,476","2,476","718","232","50","24","11"
"충청남도 아산시 (4420000000)","112,456","42,479","20,523","19,022","21,611","6,624","1,605","413","117","33","29"
"충청남도 서산시 (4421000000)","64,361","21,319","14,381","11,024","12,108","4,011","1,122","305","65","14","12"
"충청남도 논산시 (4423000000)","54,709","21,579","12,851","8,341","7,404","3,174","973","268","72","16","31"
"충청남도 계룡시 (4425000000)","14,381","3,266","2,267","2,685","4,315","1,433","297","84","22","6","6"
"충청남도 금산군 (4471000000)","24,435","9,545","6,291","3,653","2,968","1,345","432","147","36","7","11"
"충청남도 연기군 (4473000000)","34,944","13,906","7,069","5,442","5,470","2,151","649","182","47","14","14"
"충청남도 부여군 (4476000000)","32,035","12,024","8,893","4,621","3,682","1,877","625","227","64","16","6"
"충청남도 서천군 (4477000000)","26,638","10,517","7,395","3,770","2,972","1,331","451","142","34","8","18"
"충청남도 청양군 (4479000000)","14,253","5,459","4,056","2,041","1,514","753","282","117","22","4","5"
"충청남도 홍성군 (4480000000)","36,967","13,366","9,304","5,760","5,316","2,235","691","216","54","17","8"
"충청남도 예산군 (4481000000)","36,548","13,170","9,588","5,822","4,903","2,047","691","239","58","19","11"
"충청남도 태안군 (4482500000)","28,140","11,112","7,506","4,268","3,317","1,330","439","112","33","17","6"
"충청남도 당진군 (4483000000)","64,333","25,415","14,040","10,166","9,801","3,452","1,054","295","76","20","14"
"전라북도  (4500000000)","754,479","263,655","164,932","126,674","128,169","51,286","14,168","3,872","1,065","338","320"
"전라북도 전주시 (4511000000)","241,199","71,950","46,189","45,335","52,093","19,558","4,594","1,070","280","74","56"
"전라북도 군산시 (4513000000)","109,102","36,215","23,131","19,784","20,285","7,014","1,940","510","135","44","44"
"전라북도 익산시 (4514000000)","122,103","41,472","25,204","21,186","22,553","8,627","2,211","587","159","51","53"
"전라북도 정읍시 (4518000000)","51,859","20,245","12,525","7,802","6,828","3,185","925","231","73","20","25"
"전라북도 남원시 (4519000000)","36,664","13,744","8,923","5,560","4,984","2,343","780","242","51","21","16"
"전라북도 김제시 (4521000000)","41,480","17,061","10,356","5,954","4,816","2,216","757","213","66","15","26"
"전라북도 완주군 (4571000000)","35,003","13,009","8,016","5,613","4,967","2,299","759","231","63","24","22"
"전라북도 진안군 (4572000000)","12,771","5,541","3,173","1,657","1,257","643","289","117","55","20","19"
"전라북도 무주군 (4573000000)","11,473","4,690","3,093","1,474","1,203","608","259","92","29","12","13"
"전라북도 장수군 (4574000000)","10,457","4,354","2,811","1,379","1,003","587","207","79","24","7","6"
"전라북도 임실군 (4575000000)","14,083","6,096","3,670","1,811","1,383","686","271","110","35","11","10"
"전라북도 순창군 (4577000000)","13,065","5,317","3,543","1,717","1,287","727","306","106","37","14","11"
"전라북도 고창군 (4579000000)","27,775","12,085","7,264","3,605","2,727","1,411","463","160","31","13","16"
"전라북도 부안군 (4580000000)","27,445","11,876","7,034","3,797","2,783","1,382","407","124","27","12","3"
"전라남도  (4600000000)","805,051","306,694","184,534","123,045","119,276","50,783","14,570","4,270","1,188","370","321"
"전라남도 목포시 (4611000000)","98,809","35,054","19,795","17,500","17,764","6,659","1,549","351","87","31","19"
"전라남도 여수시 (4613000000)","111,921","34,273","24,099","20,127","21,780","8,509","2,253","639","169","39","33"
"전라남도 순천시 (4615000000)","101,471","30,619","19,620","18,123","21,921","8,525","1,953","512","130","33","35"
"전라남도 나주시 (4617000000)","40,768","18,134","9,805","5,623","4,286","2,074","591","166","59","10","20"
"전라남도 광양시 (4623000000)","56,442","17,817","10,120","9,715","12,815","4,437","1,084","309","81","35","29"
"전라남도 담양군 (4671000000)","21,217","8,990","5,127","2,949","2,268","1,174","458","165","44","19","23"
"전라남도 곡성군 (4672000000)","14,342","6,287","3,666","1,792","1,409","759","297","81","36","7","8"
"전라남도 구례군 (4673000000)","12,047","4,859","3,199","1,643","1,211","735","247","96","39","8","10"
"전라남도 고흥군 (4677000000)","34,855","15,203","10,109","4,303","2,987","1,483","554","159","42","11","4"
"전라남도 보성군 (4678000000)","22,557","10,135","5,923","2,815","1,947","1,105","408","149","43","20","12"
"전라남도 화순군 (4679000000)","29,495","11,730","6,609","4,500","4,048","1,784","574","171","58","12","9"
"전라남도 장흥군 (4680000000)","20,085","9,028","5,282","2,396","1,855","1,025","350","102","29","11","7"
"전라남도 강진군 (4681000000)","18,824","8,236","4,701","2,412","1,834","1,002","397","137","57","26","22"
"전라남도 해남군 (4682000000)","35,366","14,854","9,339","4,699","3,621","1,945","610","206","58","19","15"
"전라남도 영암군 (4683000000)","27,544","12,253","6,446","3,546","3,200","1,481","434","129","30","16","9"
"전라남도 무안군 (4684000000)","32,211","12,698","7,560","4,865","4,217","1,987","643","171","39","14","17"
"전라남도 함평군 (4686000000)","17,556","8,331","4,594","1,984","1,387","808","299","105","29","9","10"
"전라남도 영광군 (4687000000)","25,552","10,696","6,463","3,558","2,821","1,385","444","130","28","14","13"
"전라남도 장성군 (4688000000)","20,882","8,916","5,045","2,934","2,402","1,049","343","129","40","13","11"
"전라남도 완도군 (4689000000)","25,227","10,786","6,994","3,157","2,477","1,252","378","137","36","6","4"
"전라남도 진도군 (4690000000)","15,775","7,008","4,255","1,913","1,383","756","334","91","28","4","3"
"전라남도 신안군 (4691000000)","22,105","10,787","5,783","2,491","1,643","849","370","135","26","13","8"
"경상북도  (4700000000)","1,114,901","400,412","244,978","190,174","195,618","61,270","16,466","4,231","1,117","333","302"
"경상북도 포항시 (4711000000)","199,120","58,772","41,122","40,282","44,291","11,363","2,527","552","131","51","29"
"경상북도 경주시 (4713000000)","108,945","38,970","23,302","18,552","19,613","6,196","1,722","429","106","35","20"
"경상북도 김천시 (4715000000)","55,334","19,640","12,483","9,209","8,896","3,542","1,128","292","81","30","33"
"경상북도 안동시 (4717000000)","68,766","23,748","16,484","11,764","11,117","4,042","1,160","319","84","18","30"
