"행정구역","2012년12월_전체세대","2012년12월_1인세대","2012년12월_2인세대","2012년12월_3인세대","2012년12월_4인세대","2012년12월_5인세대","2012년12월_6인세대","2012년12월_7인세대","2012년12월_8인세대","2012년12월_9인세대","2012년12월_10인세대"
"전국  (1000000000)","20,211,770","6,736,745","4,022,460","3,748,862","4,166,064","1,172,250","273,461","66,083","16,778","5,021","4,046"
"서울특별시  (1100000000)","4,177,970","1,499,877","795,708","778,231","840,592","204,730","44,861","10,115","2,555","762","539"
"서울특별시 종로구 (1111000000)","75,659","34,996","13,454","11,432","11,463","3,244","795","200","42","17","16"
"서울특별시 중구 (1114000000)","61,546","28,214","11,694","9,667","8,829","2,371","572","140","37","7","15"
"서울특별시 용산구 (1117000000)","110,706","49,235","21,019","17,869","16,942","4,272","1,031","231","70","19","18"
"서울특별시 성동구 (1120000000)","125,848","47,307","24,416","23,171","23,310","5,809","1,377","341","85","25","7"
"서울특별시 광진구 (1121500000)","158,534","62,878","29,209","27,404","30,017","7,056","1,510","329","100","20","11"
"서울특별시 동대문구 (1123000000)","157,650","64,789","29,438","26,765","27,193","7,061","1,823","432","107","22","20"
"서울특별시 중랑구 (1126000000)","174,313","63,385","34,447","33,006","32,804","8,343","1,805","391","86","27","19"
"서울특별시 성북구 (1129000000)","197,992","71,420","38,004","37,261","38,644","9,699","2,261","520","112","34","37"
"서울특별시 강북구 (1130500000)","142,150","50,055","29,804","27,821","25,653","6,740","1,542","380","108","28","19"
"서울특별시 도봉구 (1132000000)","138,036","39,515","27,529","29,377","31,620","7,708","1,757","395","86","35","14"
"서울특별시 노원구 (1135000000)","222,959","60,414","43,539","46,620","56,682","12,660","2,360","498","144","27","15"
"서울특별시 은평구 (1138000000)","200,502","66,057","41,372","39,796","39,697","10,461","2,400","512","136","39","32"
"서울특별시 서대문구 (1141000000)","135,104","53,313","26,327","23,617","24,026","5,946","1,426","343","72","16","18"
"서울특별시 마포구 (1144000000)","166,722","67,017","32,722","28,675","29,031","7,101","1,664","364","92","27","29"
"서울특별시 양천구 (1147000000)","181,135","48,400","32,045","37,559","48,927","11,294","2,213","492","146","37","22"
"서울특별시 강서구 (1150000000)","223,708","70,744","44,466","45,554","48,087","11,737","2,387","535","117","48","33"
"서울특별시 구로구 (1153000000)","171,498","57,620","33,800","33,272","35,416","8,720","2,035","462","104","42","27"
"서울특별시 금천구 (1154500000)","104,357","41,461","19,712","18,416","18,703","4,664","1,083","234","55","13","16"
"서울특별시 영등포구 (1156000000)","167,685","66,484","31,702","29,349","30,657","7,297","1,683","362","96","33","22"
"서울특별시 동작구 (1159000000)","169,293","62,614","33,488","30,643","32,177","7,948","1,852","406","105","39","21"
