"행정구역","2009년12월_전월인구수_남자인구수","2009년12월_전월인구수_여자인구수","2009년12월_전월인구수_계","2009년12월_당월인구수_남자인구수","2009년12월_당월인구수_여자인구수","2009년12월_당월인구수_계","2009년12월_인구증감_남자인구수","2009년12월_인구증감_여자인구수","2009년12월_인구증감_계"
"전국  (1000000000)","","","49,759,141","24,929,939","24,843,206","49,773,145","","","14,004"
"서울특별시  (1100000000)","","","10,217,035","5,059,269","5,149,033","10,208,302","","","-8,733"
"서울특별시 종로구 (1111000000)","","","168,799","84,257","84,346","168,603","","","-196"
"서울특별시 종로구 청운효자동(1111051500)","","","15,730","7,739","8,030","15,769","","","39"
"서울특별시 종로구 사직동(1111053000)","","","10,032","4,732","5,297","10,029","","","-3"
"서울특별시 종로구 삼청동(1111054000)","","","3,564","1,715","1,833","3,548","","","-16"
"서울특별시 종로구 부암동(1111055000)","","","11,322","5,627","5,703","11,330","","","8"
"서울특별시 종로구 평창동(1111056000)","","","19,403","9,355","10,029","19,384","","","-19"
"서울특별시 종로구 무악동(1111057000)","","","8,608","4,154","4,461","8,615","","","7"
"서울특별시 종로구 교남동(1111058000)","","","8,952","4,404","4,532","8,936","","","-16"
"서울특별시 종로구 가회동(1111060000)","","","5,797","2,768","2,981","5,749","","","-48"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","","","7,303","4,215","3,091","7,306","","","3"
"서울특별시 종로구 종로5.6가동(1111063000)","","","6,281","3,366","2,921","6,287","","","6"
"서울특별시 종로구 이화동(1111064000)","","","9,319","4,510","4,786","9,296","","","-23"
"서울특별시 종로구 혜화동(1111065000)","","","12,159","5,936","6,200","12,136","","","-23"
"서울특별시 종로구 명륜3가동(1111066000)","","","6,530","3,506","2,961","6,467","","","-63"
"서울특별시 종로구 창신제1동(1111067000)","","","6,931","3,575","3,340","6,915","","","-16"
"서울특별시 종로구 창신제2동(1111068000)","","","11,652","5,926","5,725","11,651","","","-1"
"서울특별시 종로구 창신제3동(1111069000)","","","8,602","4,334","4,267","8,601","","","-1"
"서울특별시 종로구 숭인제1동(1111070000)","","","7,523","3,697","3,785","7,482","","","-41"
"서울특별시 종로구 숭인제2동(1111071000)","","","9,091","4,698","4,404","9,102","","","11"
"서울특별시 중구 (1114000000)","","","129,518","65,025","64,440","129,465","","","-53"
"서울특별시 중구 소공동(1114052000)","","","1,092","561","534","1,095","","","3"
"서울특별시 중구 회현동(1114054000)","","","4,424","2,475","1,954","4,429","","","5"
"서울특별시 중구 명동(1114055000)","","","2,874","1,302","1,590","2,892","","","18"
"서울특별시 중구 필동(1114057000)","","","4,582","2,433","2,118","4,551","","","-31"
"서울특별시 중구 장충동(1114058000)","","","5,766","2,917","2,825","5,742","","","-24"
"서울특별시 중구 광희동(1114059000)","","","5,004","2,795","2,370","5,165","","","161"
"서울특별시 중구 을지로동(1114060500)","","","1,904","1,182","724","1,906","","","2"
"서울특별시 중구 신당제1동(1114061000)","","","8,423","4,317","4,091","8,408","","","-15"
"서울특별시 중구 신당제2동(1114062000)","","","17,008","8,353","8,611","16,964","","","-44"
"서울특별시 중구 신당제3동(1114063000)","","","19,728","9,506","10,149","19,655","","","-73"
"서울특별시 중구 신당제4동(1114064000)","","","16,409","7,955","8,463","16,418","","","9"
"서울특별시 중구 신당제5동(1114065000)","","","8,141","4,114","4,018","8,132","","","-9"
"서울특별시 중구 신당제6동(1114066000)","","","9,700","4,748","4,918","9,666","","","-34"
"서울특별시 중구 황학동(1114067000)","","","11,850","6,068","5,796","11,864","","","14"
"서울특별시 중구 중림동(1114068000)","","","12,613","6,299","6,279","12,578","","","-35"
"서울특별시 용산구 (1117000000)","","","238,916","116,954","121,754","238,708","","","-208"
"서울특별시 용산구 후암동(1117051000)","","","19,948","9,964","9,970","19,934","","","-14"
"서울특별시 용산구 용산2가동(1117052000)","","","13,154","6,464","6,669","13,133","","","-21"
"서울특별시 용산구 남영동(1117053000)","","","7,480","4,393","3,081","7,474","","","-6"
"서울특별시 용산구 청파동(1117055500)","","","23,828","11,627","12,171","23,798","","","-30"
"서울특별시 용산구 원효로제1동(1117056000)","","","10,210","5,111","5,077","10,188","","","-22"
"서울특별시 용산구 원효로제2동(1117057000)","","","16,053","7,730","8,333","16,063","","","10"
"서울특별시 용산구 효창동(1117058000)","","","10,650","5,227","5,439","10,666","","","16"
"서울특별시 용산구 용문동(1117059000)","","","12,880","6,300","6,546","12,846","","","-34"
"서울특별시 용산구 한강로동(1117062500)","","","15,562","7,796","7,740","15,536","","","-26"
"서울특별시 용산구 이촌제1동(1117063000)","","","27,184","12,790","14,419","27,209","","","25"
"서울특별시 용산구 이촌제2동(1117064000)","","","10,434","5,039","5,403","10,442","","","8"
"서울특별시 용산구 이태원제1동(1117065000)","","","8,183","3,846","4,338","8,184","","","1"
"서울특별시 용산구 이태원제2동(1117066000)","","","11,130","5,261","5,819","11,080","","","-50"
"서울특별시 용산구 한남동(1117068500)","","","22,381","10,933","11,465","22,398","","","17"
