"행정구역","2010년12월_전월인구수_남자인구수","2010년12월_전월인구수_여자인구수","2010년12월_전월인구수_계","2010년12월_당월인구수_남자인구수","2010년12월_당월인구수_여자인구수","2010년12월_당월인구수_계","2010년12월_인구증감_남자인구수","2010년12월_인구증감_여자인구수","2010년12월_인구증감_계"
"전국  (1000000000)","","","50,495,462","25,310,385","25,205,281","50,515,666","","","20,204"
"서울특별시  (1100000000)","","","10,319,500","5,111,259","5,201,286","10,312,545","","","-6,955"
"서울특별시 종로구 (1111000000)","","","170,936","85,182","85,396","170,578","","","-358"
"서울특별시 종로구 청운효자동(1111051500)","","","15,730","7,645","8,043","15,688","","","-42"
"서울특별시 종로구 사직동(1111053000)","","","10,246","4,796","5,407","10,203","","","-43"
"서울특별시 종로구 삼청동(1111054000)","","","3,544","1,690","1,827","3,517","","","-27"
"서울특별시 종로구 부암동(1111055000)","","","11,420","5,644","5,762","11,406","","","-14"
"서울특별시 종로구 평창동(1111056000)","","","19,555","9,415","10,151","19,566","","","11"
"서울특별시 종로구 무악동(1111057000)","","","8,676","4,168","4,495","8,663","","","-13"
"서울특별시 종로구 교남동(1111058000)","","","9,128","4,507","4,633","9,140","","","12"
"서울특별시 종로구 가회동(1111060000)","","","5,724","2,747","2,962","5,709","","","-15"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","","","8,041","4,627","3,383","8,010","","","-31"
"서울특별시 종로구 종로5.6가동(1111063000)","","","6,300","3,383","2,919","6,302","","","2"
"서울특별시 종로구 이화동(1111064000)","","","9,386","4,518","4,840","9,358","","","-28"
"서울특별시 종로구 혜화동(1111065000)","","","12,149","5,897","6,215","12,112","","","-37"
"서울특별시 종로구 명륜3가동(1111066000)","","","6,352","3,369","2,967","6,336","","","-16"
"서울특별시 종로구 창신제1동(1111067000)","","","7,134","3,725","3,388","7,113","","","-21"
"서울특별시 종로구 창신제2동(1111068000)","","","11,850","6,009","5,802","11,811","","","-39"
"서울특별시 종로구 창신제3동(1111069000)","","","8,703","4,350","4,350","8,700","","","-3"
"서울특별시 종로구 숭인제1동(1111070000)","","","7,623","3,804","3,790","7,594","","","-29"
"서울특별시 종로구 숭인제2동(1111071000)","","","9,375","4,888","4,462","9,350","","","-25"
"서울특별시 중구 (1114000000)","","","132,894","66,879","65,943","132,822","","","-72"
"서울특별시 중구 소공동(1114052000)","","","1,238","661","596","1,257","","","19"
"서울특별시 중구 회현동(1114054000)","","","5,522","3,077","2,460","5,537","","","15"
"서울특별시 중구 명동(1114055000)","","","3,425","1,537","1,908","3,445","","","20"
"서울특별시 중구 필동(1114057000)","","","4,672","2,481","2,194","4,675","","","3"
"서울특별시 중구 장충동(1114058000)","","","5,687","2,891","2,784","5,675","","","-12"
"서울특별시 중구 광희동(1114059000)","","","5,772","3,125","2,633","5,758","","","-14"
"서울특별시 중구 을지로동(1114060500)","","","2,039","1,251","758","2,009","","","-30"
"서울특별시 중구 신당제1동(1114061000)","","","8,425","4,335","4,068","8,403","","","-22"
"서울특별시 중구 신당제2동(1114062000)","","","16,841","8,284","8,539","16,823","","","-18"
"서울특별시 중구 신당제3동(1114063000)","","","19,723","9,518","10,158","19,676","","","-47"
"서울특별시 중구 신당제4동(1114064000)","","","16,303","7,818","8,393","16,211","","","-92"
"서울특별시 중구 신당제5동(1114065000)","","","8,211","4,177","4,044","8,221","","","10"
"서울특별시 중구 신당제6동(1114066000)","","","9,687","4,779","4,907","9,686","","","-1"
"서울특별시 중구 황학동(1114067000)","","","12,586","6,501","6,204","12,705","","","119"
"서울특별시 중구 중림동(1114068000)","","","12,763","6,444","6,297","12,741","","","-22"
"서울특별시 용산구 (1117000000)","","","245,340","119,482","125,371","244,853","","","-487"
"서울특별시 용산구 후암동(1117051000)","","","20,390","10,174","10,181","20,355","","","-35"
"서울특별시 용산구 용산2가동(1117052000)","","","13,316","6,497","6,858","13,355","","","39"
"서울특별시 용산구 남영동(1117053000)","","","7,951","4,702","3,245","7,947","","","-4"
"서울특별시 용산구 청파동(1117055500)","","","24,074","11,745","12,266","24,011","","","-63"
"서울특별시 용산구 원효로제1동(1117056000)","","","11,003","5,517","5,462","10,979","","","-24"
"서울특별시 용산구 원효로제2동(1117057000)","","","16,216","7,764","8,458","16,222","","","6"
"서울특별시 용산구 효창동(1117058000)","","","11,366","5,532","5,854","11,386","","","20"
"서울특별시 용산구 용문동(1117059000)","","","13,435","6,612","6,821","13,433","","","-2"
"서울특별시 용산구 한강로동(1117062500)","","","16,047","8,040","7,981","16,021","","","-26"
"서울특별시 용산구 이촌제1동(1117063000)","","","27,641","12,774","14,611","27,385","","","-256"
"서울특별시 용산구 이촌제2동(1117064000)","","","10,598","5,098","5,511","10,609","","","11"
"서울특별시 용산구 이태원제1동(1117065000)","","","8,768","4,011","4,728","8,739","","","-29"
"서울특별시 용산구 이태원제2동(1117066000)","","","11,476","5,409","6,032","11,441","","","-35"
"서울특별시 용산구 한남동(1117068500)","","","23,074","11,136","11,894","23,030","","","-44"
"서울특별시 용산구 서빙고동(1117069000)","","","11,524","5,529","5,950","11,479","","","-45"
"서울특별시 용산구 보광동(1117070000)","","","18,461","8,942","9,519","18,461","","","0"
"서울특별시 성동구 (1120000000)","","","309,874","155,067","154,026","309,093","","","-781"
"서울특별시 성동구 왕십리제2동(1120052000)","","","19,114","9,437","9,506","18,943","","","-171"
"서울특별시 성동구 왕십리도선동(1120053500)","","","13,087","6,524","6,521","13,045","","","-42"
"서울특별시 성동구 마장동(1120054000)","","","25,852","12,994","12,832","25,826","","","-26"
