"행정구역","2014년12월_남자 평균연령","2014년12월_여자 평균연령","2014년12월_평균연령"
"서울특별시 동대문구 답십리제1동(1123060000)","39.5","41.1","40.3"
"서울특별시 동대문구 답십리제2동(1123061000)","40.4","42.2","41.3"
"서울특별시 동대문구 장안제1동(1123065000)","40.1","41.3","40.7"
"서울특별시 동대문구 장안제2동(1123066000)","39","40.7","39.8"
"서울특별시 동대문구 청량리동(1123070500)","43.8","46.6","45.2"
"서울특별시 동대문구 회기동(1123071000)","37.8","39.6","38.7"
"서울특별시 동대문구 휘경제1동(1123072000)","40.9","42.6","41.8"
"서울특별시 동대문구 휘경제2동(1123073000)","38.4","40.2","39.3"
"서울특별시 동대문구 이문제1동(1123074000)","39.6","42.3","40.9"
"서울특별시 동대문구 이문제2동(1123075000)","39.4","41.4","40.4"
"서울특별시 중랑구 (1126000000)","40.2","41.8","41"
"서울특별시 중랑구 면목제2동(1126052000)","40.2","41.8","41"
"서울특별시 중랑구 면목제4동(1126054000)","40.5","41.9","41.2"
"서울특별시 중랑구 면목제5동(1126055000)","41.3","42.7","41.9"
"서울특별시 중랑구 면목본동(1126056500)","40.5","42.2","41.4"
"서울특별시 중랑구 면목제7동(1126057000)","40.9","42.8","41.8"
"서울특별시 중랑구 면목제3.8동(1126057500)","41.1","42.6","41.8"
"서울특별시 중랑구 상봉제1동(1126058000)","38.2","40.3","39.3"
"서울특별시 중랑구 상봉제2동(1126059000)","41.5","42.9","42.2"
"서울특별시 중랑구 중화제1동(1126060000)","39.7","41.4","40.5"
"서울특별시 중랑구 중화제2동(1126061000)","42.4","44.1","43.2"
"서울특별시 중랑구 묵제1동(1126062000)","39.3","40.7","40"
"서울특별시 중랑구 묵제2동(1126063000)","40.7","42.3","41.5"
"서울특별시 중랑구 망우본동(1126065500)","41.2","42.8","42"
"서울특별시 중랑구 망우제3동(1126066000)","41.3","42.3","41.8"
"서울특별시 중랑구 신내1동(1126068000)","37.7","39.5","38.6"
"서울특별시 중랑구 신내2동(1126069000)","38.8","41.3","40.1"
"서울특별시 성북구 (1129000000)","39.6","41.5","40.6"
"서울특별시 성북구 성북동(1129052500)","41.3","42.9","42.1"
"서울특별시 성북구 삼선동(1129055500)","39.4","41.4","40.4"
"서울특별시 성북구 동선동(1129057500)","39.5","39.4","39.5"
"서울특별시 성북구 돈암제1동(1129058000)","40.4","42","41.2"
"서울특별시 성북구 돈암제2동(1129059000)","37.6","39.1","38.4"
"서울특별시 성북구 안암동(1129060000)","38.2","40.7","39.5"
"서울특별시 성북구 보문동(1129061000)","40.5","42.2","41.4"
"서울특별시 성북구 정릉제1동(1129062000)","39.1","41","40.1"
"서울특별시 성북구 정릉제2동(1129063000)","40","42.4","41.2"
"서울특별시 성북구 정릉제3동(1129064000)","40.8","44.4","42.6"
"서울특별시 성북구 정릉제4동(1129065000)","39.4","41.3","40.4"
"서울특별시 성북구 길음제1동(1129066000)","36.1","37.8","37"
"서울특별시 성북구 길음제2동(1129068500)","40.6","42.8","41.7"
"서울특별시 성북구 종암동(1129070500)","38.4","41","39.7"
"서울특별시 성북구 월곡제1동(1129071500)","39.1","40.5","39.8"
"서울특별시 성북구 월곡제2동(1129072500)","40.2","41.5","40.8"
"서울특별시 성북구 장위제1동(1129076000)","41","43.2","42.1"
"서울특별시 성북구 장위제2동(1129077000)","41.7","43.9","42.8"
"서울특별시 성북구 장위제3동(1129078000)","41.9","43.4","42.6"
"서울특별시 성북구 석관동(1129081000)","41.1","43","42"
"서울특별시 강북구 (1130500000)","41","43.3","42.2"
"서울특별시 강북구 삼양동(1130553400)","40.4","42.8","41.6"
"서울특별시 강북구 미아동(1130553500)","41.8","43.7","42.8"
"서울특별시 강북구 송중동(1130554500)","41.7","43.7","42.7"
"서울특별시 강북구 송천동(1130555500)","42.4","44.5","43.5"
"서울특별시 강북구 삼각산동(1130557500)","36.1","37.9","37"
"서울특별시 강북구 번제1동(1130559000)","41","42.6","41.8"
"서울특별시 강북구 번제2동(1130560000)","41.3","44.4","42.9"
"서울특별시 강북구 번제3동(1130560600)","41.3","44.4","42.9"
"서울특별시 강북구 수유제1동(1130561000)","41.4","43.7","42.5"
"서울특별시 강북구 수유제2동(1130562000)","41.7","44.2","43"
"서울특별시 강북구 수유제3동(1130563000)","41.9","44","43"
