"행정구역","2011년12월_남자 평균연령","2011년12월_여자 평균연령","2011년12월_평균연령"
"전국  (1000000000)","37.4","39.8","38.6"
"서울특별시  (1100000000)","37.8","39.6","38.7"
"서울특별시 종로구 (1111000000)","39.9","42","40.9"
"서울특별시 종로구 청운효자동(1111051500)","37.4","40.8","39.2"
"서울특별시 종로구 사직동(1111053000)","41","43","42.1"
"서울특별시 종로구 삼청동(1111054000)","42.4","44.8","43.7"
"서울특별시 종로구 부암동(1111055000)","39.5","41.9","40.7"
"서울특별시 종로구 평창동(1111056000)","38.8","42.2","40.6"
"서울특별시 종로구 무악동(1111057000)","39","40.5","39.8"
"서울특별시 종로구 교남동(1111058000)","40.6","42.9","41.7"
"서울특별시 종로구 가회동(1111060000)","40.4","43.2","41.9"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","47","47.7","47.3"
"서울특별시 종로구 종로5.6가동(1111063000)","42.2","43.6","42.9"
"서울특별시 종로구 이화동(1111064000)","38.5","40.6","39.6"
"서울특별시 종로구 혜화동(1111065000)","37.3","39.4","38.4"
"서울특별시 종로구 명륜3가동(1111066000)","37.7","41.5","39.5"
"서울특별시 종로구 창신제1동(1111067000)","42.5","43.6","43"
"서울특별시 종로구 창신제2동(1111068000)","40.1","41.8","40.9"
"서울특별시 종로구 창신제3동(1111069000)","38.4","39.9","39.1"
"서울특별시 종로구 숭인제1동(1111070000)","39.1","40.7","39.9"
"서울특별시 종로구 숭인제2동(1111071000)","41.9","43.3","42.6"
"서울특별시 중구 (1114000000)","40.3","42.3","41.3"
"서울특별시 중구 소공동(1114052000)","40.1","40.7","40.3"
"서울특별시 중구 회현동(1114054000)","47.4","47.6","47.5"
"서울특별시 중구 명동(1114055000)","43.9","47.5","45.9"
"서울특별시 중구 필동(1114057000)","40.9","44.8","42.7"
"서울특별시 중구 장충동(1114058000)","37.9","40.4","39.1"
"서울특별시 중구 광희동(1114059000)","44.3","45.1","44.7"
"서울특별시 중구 을지로동(1114060500)","48.8","48.6","48.7"
"서울특별시 중구 신당제1동(1114061000)","40.5","42.5","41.5"
"서울특별시 중구 신당제2동(1114062000)","38.8","41.3","40.1"
"서울특별시 중구 신당제3동(1114063000)","39.6","41.8","40.7"
"서울특별시 중구 신당제4동(1114064000)","38.2","41","39.6"
"서울특별시 중구 신당제5동(1114065000)","39.5","42.1","40.8"
