"행정구역","2011년12월_남자 평균연령","2011년12월_여자 평균연령","2011년12월_평균연령"
"서울특별시 중구 신당제6동(1114066000)","38.7","40.4","39.5"
"서울특별시 중구 황학동(1114067000)","39.6","41.9","40.7"
"서울특별시 중구 중림동(1114068000)","41.3","42.6","42"
"서울특별시 용산구 (1117000000)","39.3","41.4","40.4"
"서울특별시 용산구 후암동(1117051000)","38.5","41.7","40.1"
"서울특별시 용산구 용산2가동(1117052000)","39.4","42.8","41.1"
"서울특별시 용산구 남영동(1117053000)","45.2","43.9","44.7"
"서울특별시 용산구 청파동(1117055500)","38.3","40.2","39.3"
"서울특별시 용산구 원효로제1동(1117056000)","38.3","39.7","39"
"서울특별시 용산구 원효로제2동(1117057000)","38.3","39.9","39.1"
"서울특별시 용산구 효창동(1117058000)","37.7","40.5","39.1"
"서울특별시 용산구 용문동(1117059000)","38.1","40.2","39.2"
"서울특별시 용산구 한강로동(1117062500)","42","43.5","42.8"
"서울특별시 용산구 이촌제1동(1117063000)","37.3","39.2","38.3"
"서울특별시 용산구 이촌제2동(1117064000)","39.5","42.7","41.2"
"서울특별시 용산구 이태원제1동(1117065000)","41.5","45.1","43.5"
"서울특별시 용산구 이태원제2동(1117066000)","41","43.4","42.3"
"서울특별시 용산구 한남동(1117068500)","40.1","42.3","41.3"
"서울특별시 용산구 서빙고동(1117069000)","38.1","40","39.1"
"서울특별시 용산구 보광동(1117070000)","39.5","42.7","41.2"
"서울특별시 성동구 (1120000000)","38.3","39.9","39.1"
"서울특별시 성동구 왕십리제2동(1120052000)","38.3","39.5","38.9"
"서울특별시 성동구 왕십리도선동(1120053500)","40.2","41.9","41.1"
"서울특별시 성동구 마장동(1120054000)","38","39.9","38.9"
"서울특별시 성동구 사근동(1120055000)","36.7","39.4","38"
"서울특별시 성동구 행당제1동(1120056000)","38.6","40","39.3"
"서울특별시 성동구 행당제2동(1120057000)","36.7","37.8","37.3"
"서울특별시 성동구 응봉동(1120058000)","37.2","38.9","38.1"
"서울특별시 성동구 금호1가동(1120059000)","38.3","41","39.7"
"서울특별시 성동구 금호2.3가동(1120061500)","39.4","41.4","40.4"
"서울특별시 성동구 금호4가동(1120062000)","38.2","40.5","39.4"
"서울특별시 성동구 옥수동(1120064500)","39.4","41.4","40.4"
"서울특별시 성동구 성수1가제1동(1120065000)","37.1","38.1","37.6"
"서울특별시 성동구 성수1가제2동(1120066000)","37.7","38.7","38.2"
"서울특별시 성동구 성수2가제1동(1120067000)","38.7","40.1","39.4"
"서울특별시 성동구 성수2가제3동(1120069000)","39.7","40.5","40.1"
"서울특별시 성동구 송정동(1120072000)","38.9","40.4","39.6"
"서울특별시 성동구 용답동(1120079000)","39.9","40.8","40.3"
"서울특별시 광진구 (1121500000)","37.4","38.7","38.1"
"서울특별시 광진구 화양동(1121571000)","37.2","37.8","37.5"
"서울특별시 광진구 군자동(1121573000)","38","39.5","38.7"
"서울특별시 광진구 중곡제1동(1121574000)","38.8","39.9","39.4"
"서울특별시 광진구 중곡제2동(1121575000)","37.4","38.6","38"
"서울특별시 광진구 중곡제3동(1121576000)","37.9","39.4","38.7"
"서울특별시 광진구 중곡제4동(1121577000)","37.6","39.7","38.7"
"서울특별시 광진구 능동(1121578000)","37.7","39.1","38.5"
"서울특별시 광진구 광장동(1121581000)","34.6","35.9","35.3"
"서울특별시 광진구 자양제1동(1121582000)","37.9","39.4","38.6"
"서울특별시 광진구 자양제2동(1121583000)","37","38.6","37.8"
"서울특별시 광진구 자양제3동(1121584000)","36.4","37.5","37"
"서울특별시 광진구 자양제4동(1121584700)","39.8","40.8","40.3"
"서울특별시 광진구 구의제1동(1121585000)","37.8","39","38.4"
"서울특별시 광진구 구의제2동(1121586000)","37.7","39.7","38.7"
"서울특별시 광진구 구의제3동(1121587000)","36.8","38.1","37.5"
"서울특별시 동대문구 (1123000000)","39.1","40.9","40"
"서울특별시 동대문구 용신동(1123053600)","40.9","42.5","41.7"
"서울특별시 동대문구 제기동(1123054500)","40.4","42.5","41.4"
"서울특별시 동대문구 전농제1동(1123056000)","41","42.7","41.8"
"서울특별시 동대문구 전농제2동(1123057000)","38.5","40","39.3"
"서울특별시 동대문구 답십리제1동(1123060000)","39","41","40"
"서울특별시 동대문구 답십리제2동(1123061000)","38.5","40.1","39.3"
"서울특별시 동대문구 장안제1동(1123065000)","38.9","40","39.4"
"서울특별시 동대문구 장안제2동(1123066000)","37.5","39.4","38.4"
"서울특별시 동대문구 청량리동(1123070500)","42","44.9","43.4"
"서울특별시 동대문구 회기동(1123071000)","37.2","39","38.1"
"서울특별시 동대문구 휘경제1동(1123072000)","39.1","40.7","39.9"
"서울특별시 동대문구 휘경제2동(1123073000)","37.5","38.8","38.1"
"서울특별시 동대문구 이문제1동(1123074000)","38","40.4","39.2"
"서울특별시 동대문구 이문제2동(1123075000)","37.6","39.4","38.5"
"서울특별시 중랑구 (1126000000)","38.5","40.2","39.3"
"서울특별시 중랑구 면목제2동(1126052000)","38.2","39.9","39"
"서울특별시 중랑구 면목제4동(1126054000)","38.5","39.8","39.1"
"서울특별시 중랑구 면목제5동(1126055000)","38.9","40.3","39.6"
"서울특별시 중랑구 면목본동(1126056500)","38.6","40.3","39.5"
"서울특별시 중랑구 면목제7동(1126057000)","38.6","40.5","39.6"
"서울특별시 중랑구 면목제3.8동(1126057500)","39.1","40.7","39.9"
"서울특별시 중랑구 상봉제1동(1126058000)","36.7","38.9","37.8"
"서울특별시 중랑구 상봉제2동(1126059000)","39.9","41.6","40.7"
"서울특별시 중랑구 중화제1동(1126060000)","37.9","39.2","38.6"
"서울특별시 중랑구 중화제2동(1126061000)","40.1","42","41"
"서울특별시 중랑구 묵제1동(1126062000)","38","39.5","38.8"
"서울특별시 중랑구 묵제2동(1126063000)","39","40.7","39.9"
"서울특별시 중랑구 망우본동(1126065500)","39.2","41.2","40.2"
"서울특별시 중랑구 망우제3동(1126066000)","39.5","40","39.8"
"서울특별시 중랑구 신내1동(1126068000)","37.3","39","38.2"
"서울특별시 중랑구 신내2동(1126069000)","36.7","39","37.9"
"서울특별시 성북구 (1129000000)","38.1","40","39.1"
"서울특별시 성북구 성북동(1129052500)","39.9","41.4","40.7"
"서울특별시 성북구 삼선동(1129055500)","38.2","40.5","39.4"
"서울특별시 성북구 동선동(1129057500)","38.7","39","38.8"
"서울특별시 성북구 돈암제1동(1129058000)","38.7","40.6","39.7"
"서울특별시 성북구 돈암제2동(1129059000)","36.2","38","37.1"
"서울특별시 성북구 안암동(1129060000)","37","39.4","38.2"
"서울특별시 성북구 보문동(1129061000)","39.4","41.3","40.4"
"서울특별시 성북구 정릉제1동(1129062000)","37.5","39.2","38.4"
"서울특별시 성북구 정릉제2동(1129063000)","38.3","40.6","39.5"
"서울특별시 성북구 정릉제3동(1129064000)","39.2","42.3","40.8"
"서울특별시 성북구 정릉제4동(1129065000)","37.9","39.7","38.9"
"서울특별시 성북구 길음제1동(1129066000)","35","36.8","35.9"
"서울특별시 성북구 길음제2동(1129068500)","39.2","41.7","40.5"
"서울특별시 성북구 종암동(1129070500)","37","39.4","38.2"
"서울특별시 성북구 월곡제1동(1129071500)","37.7","39.3","38.5"
"서울특별시 성북구 월곡제2동(1129072500)","38.7","39.8","39.3"
"서울특별시 성북구 장위제1동(1129076000)","38.7","40.7","39.7"
"서울특별시 성북구 장위제2동(1129077000)","39.3","41.5","40.4"
"서울특별시 성북구 장위제3동(1129078000)","39.4","41.2","40.3"
"서울특별시 성북구 석관동(1129081000)","39.1","41","40"
"서울특별시 강북구 (1130500000)","39.3","41.4","40.4"
"서울특별시 강북구 삼양동(1130553400)","38.6","40.5","39.5"
"서울특별시 강북구 미아동(1130553500)","39.8","41.9","40.9"
"서울특별시 강북구 송중동(1130554500)","39.9","41.5","40.7"
"서울특별시 강북구 송천동(1130555500)","40.1","42.2","41.1"
"서울특별시 강북구 삼각산동(1130557500)","34.9","36.6","35.8"
"서울특별시 강북구 번제1동(1130559000)","39.4","40.9","40.2"
"서울특별시 강북구 번제2동(1130560000)","39.1","41.7","40.4"
"서울특별시 강북구 번제3동(1130560600)","39.4","42.6","41"
"서울특별시 강북구 수유제1동(1130561000)","39.6","41.7","40.6"
"서울특별시 강북구 수유제2동(1130562000)","40","42.4","41.2"
"서울특별시 강북구 수유제3동(1130563000)","40.4","42.4","41.4"
"서울특별시 강북구 우이동(1130564500)","40.6","43.2","41.9"
"서울특별시 강북구 인수동(1130566000)","40.2","42.4","41.3"
"서울특별시 도봉구 (1132000000)","38.3","40.2","39.3"
"서울특별시 도봉구 창제1동(1132051100)","37.4","39.7","38.6"
"서울특별시 도봉구 창제2동(1132051200)","37.6","39","38.3"
"서울특별시 도봉구 창제3동(1132051300)","38.7","40.6","39.7"
"서울특별시 도봉구 창제4동(1132051400)","36.5","38.3","37.4"
"서울특별시 도봉구 창제5동(1132051500)","37.7","39.3","38.5"
"서울특별시 도봉구 도봉제1동(1132052100)","41.8","43.6","42.7"
"서울특별시 도봉구 도봉제2동(1132052200)","39.8","41.7","40.8"
"서울특별시 도봉구 쌍문제1동(1132066000)","39.4","40.8","40.1"
"서울특별시 도봉구 쌍문제2동(1132067000)","38.4","40.9","39.7"
"서울특별시 도봉구 쌍문제3동(1132068000)","39.1","40.8","40"
"서울특별시 도봉구 쌍문제4동(1132068100)","36.8","39.1","38"
"서울특별시 도봉구 방학제1동(1132069000)","38.8","40.5","39.6"
"서울특별시 도봉구 방학제2동(1132070000)","38.6","40.9","39.7"
"서울특별시 도봉구 방학제3동(1132071000)","36.6","39.1","37.8"
"서울특별시 노원구 (1135000000)","36.7","39.1","37.9"
"서울특별시 노원구 월계1동(1135056000)","38.3","40.6","39.4"
"서울특별시 노원구 월계2동(1135057000)","38.2","41.6","39.9"
"서울특별시 노원구 월계3동(1135058000)","36.9","39.3","38.1"
"서울특별시 노원구 공릉1동(1135059500)","37.7","39.7","38.7"
"서울특별시 노원구 공릉2동(1135060000)","35.5","37.2","36.4"
"서울특별시 노원구 하계1동(1135061100)","36.3","40.6","38.5"
"서울특별시 노원구 하계2동(1135061200)","35.6","37.8","36.8"
"서울특별시 노원구 중계본동(1135061900)","35.4","37","36.2"
"서울특별시 노원구 중계1동(1135062100)","33.6","35.9","34.8"
"서울특별시 노원구 중계4동(1135062400)","37.2","40.3","38.8"
"서울특별시 노원구 중계2.3동(1135062500)","37.1","40.5","38.9"
"서울특별시 노원구 상계1동(1135063000)","37.7","39.6","38.7"
"서울특별시 노원구 상계2동(1135064000)","38.4","39.6","39"
"서울특별시 노원구 상계3.4동(1135066500)","39.7","42.3","41"
"서울특별시 노원구 상계5동(1135067000)","38.2","40.6","39.4"
"서울특별시 노원구 상계6.7동(1135069500)","35.4","37.8","36.7"
"서울특별시 노원구 상계8동(1135070000)","33.5","36","34.8"
"서울특별시 노원구 상계9동(1135071000)","35.3","37.8","36.6"
"서울특별시 노원구 상계10동(1135072000)","35.5","38.1","36.9"
"서울특별시 은평구 (1138000000)","38.3","40.2","39.3"
"서울특별시 은평구 녹번동(1138051000)","39.3","41.5","40.4"
"서울특별시 은평구 불광제1동(1138052000)","38","40.4","39.2"
"서울특별시 은평구 불광제2동(1138053000)","39.6","41.8","40.7"
"서울특별시 은평구 갈현제1동(1138055100)","38.5","40.6","39.6"
"서울특별시 은평구 갈현제2동(1138055200)","37.8","39.3","38.6"
"서울특별시 은평구 구산동(1138056000)","40","39.7","39.8"
"서울특별시 은평구 대조동(1138057000)","39","40.7","39.9"
"서울특별시 은평구 응암제1동(1138058000)","37.4","39.8","38.7"
"서울특별시 은평구 응암제2동(1138059000)","39.7","42.4","41"
"서울특별시 은평구 응암제3동(1138060000)","39.4","41.8","40.6"
"서울특별시 은평구 역촌동(1138062500)","37.8","39.5","38.7"
"서울특별시 은평구 신사제1동(1138063100)","37.8","39.7","38.8"
"서울특별시 은평구 신사제2동(1138063200)","37.8","39.8","38.8"
"서울특별시 은평구 증산동(1138064000)","38.6","40.4","39.5"
"서울특별시 은평구 수색동(1138065000)","39.4","42","40.7"
"서울특별시 은평구 진관동(1138069000)","35.6","37.5","36.6"
"서울특별시 서대문구 (1141000000)","38.8","41","39.9"
"서울특별시 서대문구 천연동(1141052000)","37.9","41.3","39.6"
"서울특별시 서대문구 북아현동(1141055500)","39.1","41.4","40.3"
"서울특별시 서대문구 충현동(1141056500)","39.8","42.1","41"
"서울특별시 서대문구 신촌동(1141058500)","36.7","37.7","37.2"
"서울특별시 서대문구 연희동(1141061500)","38.5","40.5","39.6"
"서울특별시 서대문구 홍제제1동(1141062000)","38.9","41.3","40.1"
"서울특별시 서대문구 홍제제3동(1141064000)","39.7","42.1","40.9"
"서울특별시 서대문구 홍제제2동(1141065500)","38.4","40.7","39.6"
"서울특별시 서대문구 홍은제1동(1141066000)","39.5","41.5","40.5"
"서울특별시 서대문구 홍은제2동(1141068500)","38.6","40.9","39.8"
"서울특별시 서대문구 남가좌제1동(1141069000)","42.7","44.2","43.5"
"서울특별시 서대문구 남가좌제2동(1141070000)","38.9","41.1","40"
"서울특별시 서대문구 북가좌제1동(1141071000)","38.7","41.2","40"
"서울특별시 서대문구 북가좌제2동(1141072000)","38.5","40.4","39.5"
"서울특별시 마포구 (1144000000)","37.7","39.5","38.6"
"서울특별시 마포구 아현동(1144055500)","39.5","41.1","40.3"
"서울특별시 마포구 공덕동(1144056500)","39.1","41","40.1"
"서울특별시 마포구 도화동(1144058500)","38.6","40.6","39.7"
"서울특별시 마포구 용강동(1144059000)","37.3","38.9","38.1"
"서울특별시 마포구 대흥동(1144060000)","39.4","41.2","40.3"
"서울특별시 마포구 염리동(1144061000)","38.9","41.1","40"
"서울특별시 마포구 신수동(1144063000)","37.5","39.5","38.5"
"서울특별시 마포구 서강동(1144065500)","36.7","38.2","37.4"
"서울특별시 마포구 서교동(1144066000)","38.7","38.9","38.8"
"서울특별시 마포구 합정동(1144068000)","37.1","38.9","38.1"
"서울특별시 마포구 망원제1동(1144069000)","37.8","39.6","38.7"
"서울특별시 마포구 망원제2동(1144070000)","37.4","39","38.2"
"서울특별시 마포구 연남동(1144071000)","38.7","40.7","39.7"
"서울특별시 마포구 성산제1동(1144072000)","38","39.9","39"
"서울특별시 마포구 성산제2동(1144073000)","36.3","38.8","37.6"
"서울특별시 마포구 상암동(1144074000)","34.6","36.5","35.6"
"서울특별시 양천구 (1147000000)","36.5","38.3","37.4"
"서울특별시 양천구 목1동(1147051000)","34.9","35.7","35.3"
"서울특별시 양천구 목2동(1147052000)","36.7","38.8","37.8"
"서울특별시 양천구 목3동(1147053000)","37.1","39.6","38.3"
"서울특별시 양천구 목4동(1147054000)","35","37.5","36.2"
"서울특별시 양천구 목5동(1147055000)","34.4","36.7","35.6"
"서울특별시 양천구 신월1동(1147056000)","38.4","40","39.2"
"서울특별시 양천구 신월2동(1147057000)","38","39.7","38.9"
"서울특별시 양천구 신월3동(1147058000)","38.5","40.1","39.2"
"서울특별시 양천구 신월4동(1147059000)","37.3","38.5","37.9"
"서울특별시 양천구 신월5동(1147060000)","37.4","38.8","38.1"
"서울특별시 양천구 신월6동(1147061000)","38.7","40.6","39.7"
"서울특별시 양천구 신월7동(1147061100)","37.6","39.6","38.6"
"서울특별시 양천구 신정1동(1147062000)","36.1","37.4","36.8"
"서울특별시 양천구 신정2동(1147063000)","36.2","37.9","37"
"서울특별시 양천구 신정3동(1147064000)","35.5","37.5","36.5"
"서울특별시 양천구 신정4동(1147065000)","38.2","39.5","38.8"
"서울특별시 양천구 신정6동(1147067000)","34.7","36.4","35.5"
"서울특별시 양천구 신정7동(1147068000)","36.8","39.5","38.1"
"서울특별시 강서구 (1150000000)","37.2","39.1","38.2"
"서울특별시 강서구 염창동(1150051000)","34.9","36","35.4"
"서울특별시 강서구 등촌제1동(1150052000)","36.7","38","37.4"
"서울특별시 강서구 등촌제2동(1150053000)","36.8","39.2","38"
"서울특별시 강서구 등촌제3동(1150053500)","37.4","40.8","39.2"
"서울특별시 강서구 화곡제1동(1150054000)","38.5","39.9","39.2"
"서울특별시 강서구 화곡제2동(1150055000)","36.7","38.2","37.4"
"서울특별시 강서구 화곡제3동(1150056000)","38.5","40.3","39.4"
"서울특별시 강서구 화곡제4동(1150057000)","37.7","39.6","38.7"
"서울특별시 강서구 화곡본동(1150059000)","35.9","37.7","36.8"
"서울특별시 강서구 화곡제6동(1150059100)","37.2","39.2","38.2"
"서울특별시 강서구 화곡제8동(1150059300)","37.4","38.8","38.1"
"서울특별시 강서구 가양제1동(1150060300)","36.3","38.1","37.2"
"서울특별시 강서구 가양제2동(1150060400)","40.6","44.6","42.7"
"서울특별시 강서구 가양제3동(1150060500)","38.4","41.9","40.2"
"서울특별시 강서구 발산제1동(1150061100)","34.7","36.1","35.4"
"서울특별시 강서구 우장산동(1150061500)","36.3","37.4","36.9"
"서울특별시 강서구 공항동(1150062000)","38.6","40.1","39.3"
"서울특별시 강서구 방화제1동(1150063000)","37.5","39.3","38.4"
"서울특별시 강서구 방화제2동(1150064000)","39","41.4","40.2"
"서울특별시 강서구 방화제3동(1150064100)","38.2","40.8","39.6"
"서울특별시 구로구 (1153000000)","37.7","39.2","38.5"
"서울특별시 구로구 신도림동(1153051000)","36.1","36.9","36.5"
"서울특별시 구로구 구로제1동(1153052000)","34.8","36.7","35.7"
"서울특별시 구로구 구로제2동(1153053000)","40","41.9","40.9"
"서울특별시 구로구 구로제3동(1153054000)","35.9","36.9","36.4"
"서울특별시 구로구 구로제4동(1153055000)","38.5","40.6","39.5"
"서울특별시 구로구 구로제5동(1153056000)","37.7","38.6","38.1"
"서울특별시 구로구 가리봉동(1153059500)","42.8","44.2","43.4"
"서울특별시 구로구 고척제1동(1153072000)","38.1","39.9","39"
"서울특별시 구로구 고척제2동(1153073000)","37.5","38.7","38.1"
"서울특별시 구로구 개봉제1동(1153074000)","38.6","39.9","39.3"
"서울특별시 구로구 개봉제2동(1153075000)","38.2","39.5","38.8"
"서울특별시 구로구 개봉제3동(1153076000)","37.9","39.5","38.7"
"서울특별시 구로구 오류제1동(1153077000)","38.9","40.5","39.7"
"서울특별시 구로구 오류제2동(1153078000)","36.6","38.4","37.5"
"서울특별시 구로구 수궁동(1153079000)","36.9","39.2","38"
"서울특별시 금천구 (1154500000)","38.6","40.2","39.4"
"서울특별시 금천구 가산동(1154551000)","39.5","40.1","39.7"
"서울특별시 금천구 독산제1동(1154561000)","37.9","39.7","38.8"
"서울특별시 금천구 독산제2동(1154562000)","38.5","39.6","39"
"서울특별시 금천구 독산제3동(1154563000)","39.5","40.7","40.1"
"서울특별시 금천구 독산제4동(1154564000)","38.5","39.6","39.1"
"서울특별시 금천구 시흥제1동(1154567000)","38.7","40.9","39.8"
"서울특별시 금천구 시흥제2동(1154568000)","37.4","39","38.2"
"서울특별시 금천구 시흥제3동(1154569000)","39.5","41.6","40.5"
"서울특별시 금천구 시흥제4동(1154570000)","38.2","39.8","39"
"서울특별시 금천구 시흥제5동(1154571000)","38.9","41.1","40"
"서울특별시 영등포구 (1156000000)","38.6","40.1","39.4"
"서울특별시 영등포구 영등포본동(1156051500)","38.2","39.9","39.1"
"서울특별시 영등포구 영등포동(1156053500)","42.3","42.7","42.5"
"서울특별시 영등포구 여의동(1156054000)","39.1","40.8","40"
"서울특별시 영등포구 당산제1동(1156055000)","39.4","40.4","39.9"
"서울특별시 영등포구 당산제2동(1156056000)","37.2","38.6","38"
"서울특별시 영등포구 도림동(1156058500)","39.6","40.7","40.1"
"서울특별시 영등포구 문래동(1156060500)","37","38.1","37.5"
"서울특별시 영등포구 양평제1동(1156061000)","37.5","38.9","38.2"
"서울특별시 영등포구 양평제2동(1156062000)","36.2","37","36.6"
"서울특별시 영등포구 신길제1동(1156063000)","39.6","41.7","40.6"
"서울특별시 영등포구 신길제3동(1156065000)","38.9","41.2","40"
"서울특별시 영등포구 신길제4동(1156066000)","39.7","42.1","40.9"
"서울특별시 영등포구 신길제5동(1156067000)","39.7","41.7","40.7"
"서울특별시 영등포구 신길제6동(1156068000)","38.4","40.5","39.5"
"서울특별시 영등포구 신길제7동(1156069000)","36.9","38.9","37.9"
"서울특별시 영등포구 대림제1동(1156070000)","39.1","41.3","40.2"
"서울특별시 영등포구 대림제2동(1156071000)","40.2","41.9","41.1"
"서울특별시 영등포구 대림제3동(1156072000)","38.1","39.5","38.8"
"서울특별시 동작구 (1159000000)","38","40","39"
"서울특별시 동작구 노량진제1동(1159051000)","38.2","40.7","39.4"
"서울특별시 동작구 노량진제2동(1159052000)","40","41.8","40.9"
"서울특별시 동작구 상도제1동(1159053000)","37.6","39.8","38.7"
"서울특별시 동작구 상도제2동(1159054000)","37.9","39.7","38.8"
"서울특별시 동작구 상도제3동(1159055000)","38.4","40.6","39.5"
"서울특별시 동작구 상도제4동(1159056000)","37.9","40.1","39"
"서울특별시 동작구 흑석동(1159060500)","38.9","41.5","40.2"
"서울특별시 동작구 사당제1동(1159062000)","38.4","40","39.2"
"서울특별시 동작구 사당제2동(1159063000)","38.8","40.7","39.7"
"서울특별시 동작구 사당제3동(1159064000)","38.6","40.1","39.4"
"서울특별시 동작구 사당제4동(1159065000)","38.3","40.6","39.5"
"서울특별시 동작구 사당제5동(1159065100)","37.2","39.1","38.1"
"서울특별시 동작구 대방동(1159066000)","36.5","38.5","37.5"
"서울특별시 동작구 신대방제1동(1159067000)","37.4","38.5","37.9"
"서울특별시 동작구 신대방제2동(1159068000)","37.2","38.4","37.8"
"서울특별시 관악구 (1162000000)","37.8","39.5","38.6"
"서울특별시 관악구 보라매동(1162052500)","38","40.2","39.1"
"서울특별시 관악구 청림동(1162054500)","36.6","38.6","37.6"
"서울특별시 관악구 성현동(1162056500)","37.3","39.4","38.4"
"서울특별시 관악구 행운동(1162057500)","37.9","38.9","38.4"
"서울특별시 관악구 낙성대동(1162058500)","36","37.3","36.6"
"서울특별시 관악구 청룡동(1162059500)","38","39","38.5"
"서울특별시 관악구 은천동(1162060500)","37.5","39.3","38.4"
"서울특별시 관악구 중앙동(1162061500)","38.9","40.5","39.7"
"서울특별시 관악구 인헌동(1162062500)","36.9","38.5","37.7"
"서울특별시 관악구 남현동(1162063000)","38","38.8","38.4"
"서울특별시 관악구 서원동(1162064500)","37.4","39","38.2"
"서울특별시 관악구 신원동(1162065500)","38.6","40.9","39.7"
"서울특별시 관악구 서림동(1162066500)","37.1","39.8","38.3"
"서울특별시 관악구 신사동(1162068500)","37.6","39.4","38.5"
"서울특별시 관악구 신림동(1162069500)","36.7","36.5","36.6"
"서울특별시 관악구 난향동(1162071500)","36.7","38.5","37.6"
"서울특별시 관악구 조원동(1162072500)","39.6","40.4","39.9"
"서울특별시 관악구 대학동(1162073500)","37.1","39.3","38"
"서울특별시 관악구 삼성동(1162074500)","40","42.6","41.3"
"서울특별시 관악구 미성동(1162076500)","38.3","40","39.1"
"서울특별시 관악구 난곡동(1162077500)","38.6","40.7","39.6"
"서울특별시 서초구 (1165000000)","37.1","38.5","37.8"
"서울특별시 서초구 서초1동(1165051000)","37.1","38.6","37.9"
"서울특별시 서초구 서초2동(1165052000)","36.7","38.4","37.6"
"서울특별시 서초구 서초3동(1165053000)","38.1","40","39.1"
"서울특별시 서초구 서초4동(1165053100)","36.3","37.5","36.9"
"서울특별시 서초구 잠원동(1165054000)","35.7","37.5","36.6"
"서울특별시 서초구 반포본동(1165055000)","37","38.5","37.8"
"서울특별시 서초구 반포1동(1165056000)","36.2","37","36.6"
"서울특별시 서초구 반포2동(1165057000)","36.3","37.3","36.8"
"서울특별시 서초구 반포3동(1165058000)","35.5","37.4","36.5"
"서울특별시 서초구 반포4동(1165058100)","36.6","37.9","37.3"
"서울특별시 서초구 방배본동(1165059000)","37.4","37.9","37.7"
"서울특별시 서초구 방배1동(1165060000)","37.7","39.8","38.8"
"서울특별시 서초구 방배2동(1165061000)","38.2","39.9","39.1"
"서울특별시 서초구 방배3동(1165062000)","38.4","40","39.2"
"서울특별시 서초구 방배4동(1165062100)","37.7","38","37.9"
"서울특별시 서초구 양재1동(1165065100)","37.9","40.1","39.1"
"서울특별시 서초구 양재2동(1165065200)","36.6","38.2","37.4"
"서울특별시 서초구 내곡동(1165066000)","41.8","44.5","43.1"
"서울특별시 강남구 (1168000000)","36.8","38.5","37.6"
"서울특별시 강남구 신사동(1168051000)","38.1","38.9","38.5"
"서울특별시 강남구 논현1동(1168052100)","37.9","38.2","38.1"
"서울특별시 강남구 논현2동(1168053100)","38.1","38.8","38.5"
"서울특별시 강남구 압구정동(1168054500)","38.3","39.4","38.9"
"서울특별시 강남구 청담동(1168056500)","37","38.9","38"
"서울특별시 강남구 삼성1동(1168058000)","37","39.9","38.4"
"서울특별시 강남구 삼성2동(1168059000)","35.4","37","36.2"
"서울특별시 강남구 대치1동(1168060000)","34.8","36.5","35.7"
"서울특별시 강남구 대치2동(1168061000)","35.8","38.2","37"
"서울특별시 강남구 대치4동(1168063000)","36.2","37.2","36.7"
"서울특별시 강남구 역삼1동(1168064000)","38.1","37.6","37.9"
"서울특별시 강남구 역삼2동(1168065000)","35.1","36.3","35.8"
"서울특별시 강남구 도곡1동(1168065500)","37.2","37.7","37.5"
"서울특별시 강남구 도곡2동(1168065600)","37.1","37.2","37.1"
"서울특별시 강남구 개포1동(1168066000)","37.9","40.1","39"
"서울특별시 강남구 개포2동(1168067000)","35","37.6","36.3"
