"행정구역","2010년12월_총인구수","2010년12월_세대수","2010년12월_세대당 인구","2010년12월_남자 인구수","2010년12월_여자 인구수","2010년12월_남여 비율"
"경상북도 안동시 안기동(4717063000)","8,121","2,944","          2.76","4,040","4,081","          0.99"
"경상북도 안동시 옥동(4717065000)","21,212","7,649","          2.77","10,127","11,085","          0.91"
"경상북도 안동시 송하동(4717066000)","14,157","5,148","          2.75","6,902","7,255","          0.95"
"경상북도 안동시 강남동(4717069000)","10,259","3,384","          3.03","5,074","5,185","          0.98"
"경상북도 구미시 (4719000000)","404,920","157,057","          2.58","206,195","198,725","          1.04"
"경상북도 구미시 선산읍(4719025000)","16,132","6,117","          2.64","8,151","7,981","          1.02"
"경상북도 구미시 고아읍(4719025300)","32,608","10,679","          3.05","16,653","15,955","          1.04"
"경상북도 구미시 무을면(4719031000)","2,325","1,045","          2.22","1,150","1,175","          0.98"
"경상북도 구미시 옥성면(4719032000)","2,126","947","          2.24","1,061","1,065","          1.00"
"경상북도 구미시 도개면(4719033000)","2,690","1,219","          2.21","1,351","1,339","          1.01"
"경상북도 구미시 해평면(4719034000)","5,857","2,538","          2.31","2,980","2,877","          1.04"
"경상북도 구미시 산동면(4719035000)","4,350","2,052","          2.12","2,331","2,019","          1.15"
"경상북도 구미시 장천면(4719036000)","3,825","1,624","          2.36","1,963","1,862","          1.05"
"경상북도 구미시 송정동(4719051000)","20,281","7,651","          2.65","9,979","10,302","          0.97"
"경상북도 구미시 원평1동(4719052000)","4,956","2,851","          1.74","2,508","2,448","          1.02"
"경상북도 구미시 원평2동(4719053000)","5,020","2,502","          2.01","2,607","2,413","          1.08"
"경상북도 구미시 도량동(4719055100)","33,818","11,205","          3.02","16,921","16,897","          1.00"
"경상북도 구미시 지산동(4719055500)","3,291","1,295","          2.54","1,762","1,529","          1.15"
"경상북도 구미시 선주원남동(4719056500)","43,750","15,092","          2.90","22,364","21,386","          1.05"
"경상북도 구미시 형곡1동(4719058200)","16,887","5,604","          3.01","8,415","8,472","          0.99"
"경상북도 구미시 형곡2동(4719058300)","23,159","7,555","          3.07","11,620","11,539","          1.01"
"경상북도 구미시 신평1동(4719059000)","5,398","3,024","          1.79","2,867","2,531","          1.13"
"경상북도 구미시 신평2동(4719060000)","3,628","1,527","          2.38","1,918","1,710","          1.12"
"경상북도 구미시 비산동(4719061000)","4,656","1,724","          2.70","2,479","2,177","          1.14"
"경상북도 구미시 공단1동(4719062100)","4,230","1,773","          2.39","2,246","1,984","          1.13"
"경상북도 구미시 공단2동(4719062200)","2,297","1,342","          1.71","1,385","912","          1.52"
"경상북도 구미시 광평동(4719063000)","3,660","1,506","          2.43","1,972","1,688","          1.17"
"경상북도 구미시 상모사곡동(4719064500)","29,911","11,103","          2.69","15,372","14,539","          1.06"
"경상북도 구미시 임오동(4719066000)","17,625","5,754","          3.06","9,114","8,511","          1.07"
"경상북도 구미시 인동동(4719067000)","54,353","22,361","          2.43","27,539","26,814","          1.03"
"경상북도 구미시 진미동(4719068000)","21,814","13,996","          1.56","10,662","11,152","          0.96"
"경상북도 구미시 양포동(4719069000)","36,273","12,971","          2.80","18,825","17,448","          1.08"
"경상북도 영주시 (4721000000)","113,926","46,744","          2.44","56,713","57,213","          0.99"
"경상북도 영주시 풍기읍(4721025000)","12,613","5,423","          2.33","6,303","6,310","          1.00"
"경상북도 영주시 이산면(4721031000)","3,271","1,337","          2.45","1,689","1,582","          1.07"
"경상북도 영주시 평은면(4721032000)","2,497","1,032","          2.42","1,229","1,268","          0.97"
"경상북도 영주시 문수면(4721033000)","2,113","979","          2.16","1,061","1,052","          1.01"
"경상북도 영주시 장수면(4721034000)","2,529","1,131","          2.24","1,300","1,229","          1.06"
"경상북도 영주시 안정면(4721035000)","3,526","1,585","          2.22","1,768","1,758","          1.01"
"경상북도 영주시 봉현면(4721036000)","3,210","1,406","          2.28","1,626","1,584","          1.03"
"경상북도 영주시 순흥면(4721037000)","2,428","1,068","          2.27","1,222","1,206","          1.01"
"경상북도 영주시 단산면(4721038000)","2,276","1,085","          2.10","1,111","1,165","          0.95"
"경상북도 영주시 부석면(4721039000)","3,603","1,688","          2.13","1,826","1,777","          1.03"
