"행정구역","2015년12월_총인구수","2015년12월_세대수","2015년12월_세대당 인구","2015년12월_남자 인구수","2015년12월_여자 인구수","2015년12월_남여 비율"
"서울특별시  (1100000000)","10,022,181","4,189,948","          2.39","4,930,943","5,091,238","          0.97"
"서울특별시 종로구 (1111000000)","154,986","72,645","          2.13","76,548","78,438","          0.98"
"서울특별시 종로구 청운효자동(1111051500)","14,105","5,744","          2.46","6,673","7,432","          0.90"
"서울특별시 종로구 사직동(1111053000)","9,700","4,372","          2.22","4,506","5,194","          0.87"
"서울특별시 종로구 삼청동(1111054000)","2,960","1,407","          2.10","1,393","1,567","          0.89"
"서울특별시 종로구 부암동(1111055000)","10,780","4,427","          2.44","5,250","5,530","          0.95"
"서울특별시 종로구 평창동(1111056000)","19,212","7,350","          2.61","9,112","10,100","          0.90"
"서울특별시 종로구 무악동(1111057000)","8,541","3,142","          2.72","4,042","4,499","          0.90"
"서울특별시 종로구 교남동(1111058000)","4,797","2,333","          2.06","2,305","2,492","          0.92"
"서울특별시 종로구 가회동(1111060000)","4,837","2,195","          2.20","2,246","2,591","          0.87"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,876","5,487","          1.44","4,553","3,323","          1.37"
"서울특별시 종로구 종로5.6가동(1111063000)","5,719","3,237","          1.77","3,174","2,545","          1.25"
"서울특별시 종로구 이화동(1111064000)","8,690","4,508","          1.93","4,103","4,587","          0.89"
"서울특별시 종로구 혜화동(1111065000)","17,798","9,259","          1.92","8,735","9,063","          0.96"
"서울특별시 종로구 창신제1동(1111067000)","5,983","3,252","          1.84","3,221","2,762","          1.17"
"서울특별시 종로구 창신제2동(1111068000)","9,831","4,483","          2.19","4,996","4,835","          1.03"
"서울특별시 종로구 창신제3동(1111069000)","7,767","2,961","          2.62","3,901","3,866","          1.01"
"서울특별시 종로구 숭인제1동(1111070000)","6,862","3,135","          2.19","3,426","3,436","          1.00"
"서울특별시 종로구 숭인제2동(1111071000)","9,528","5,353","          1.78","4,912","4,616","          1.06"
"서울특별시 중구 (1114000000)","125,733","59,321","          2.12","62,687","63,046","          0.99"
"서울특별시 중구 소공동(1114052000)","1,248","646","          1.93","679","569","          1.19"
"서울특별시 중구 회현동(1114054000)","5,594","3,412","          1.64","3,070","2,524","          1.22"
"서울특별시 중구 명동(1114055000)","3,010","1,447","          2.08","1,303","1,707","          0.76"
"서울특별시 중구 필동(1114057000)","4,300","2,319","          1.85","2,229","2,071","          1.08"
"서울특별시 중구 장충동(1114058000)","5,175","2,811","          1.84","2,668","2,507","          1.06"
"서울특별시 중구 광희동(1114059000)","4,980","2,779","          1.79","2,629","2,351","          1.12"
"서울특별시 중구 을지로동(1114060500)","1,731","1,248","          1.39","1,100","631","          1.74"
"서울특별시 중구 신당동(1114061500)","7,549","4,051","          1.86","3,915","3,634","          1.08"
"서울특별시 중구 다산동(1114062500)","15,492","6,880","          2.25","7,540","7,952","          0.95"
"서울특별시 중구 약수동(1114063500)","18,720","7,897","          2.37","8,971","9,749","          0.92"
"서울특별시 중구 청구동(1114064500)","15,367","6,525","          2.36","7,379","7,988","          0.92"
"서울특별시 중구 신당제5동(1114065000)","10,096","4,688","          2.15","5,066","5,030","          1.01"
"서울특별시 중구 동화동(1114066500)","11,510","4,294","          2.68","5,598","5,912","          0.95"
"서울특별시 중구 황학동(1114067000)","12,305","6,073","          2.03","6,154","6,151","          1.00"
"서울특별시 중구 중림동(1114068000)","8,656","4,251","          2.04","4,386","4,270","          1.03"
"서울특별시 용산구 (1117000000)","233,342","107,512","          2.17","113,177","120,165","          0.94"
"서울특별시 용산구 후암동(1117051000)","19,098","8,750","          2.18","9,423","9,675","          0.97"
"서울특별시 용산구 용산2가동(1117052000)","11,802","5,776","          2.04","5,687","6,115","          0.93"
"서울특별시 용산구 남영동(1117053000)","8,115","5,440","          1.49","4,944","3,171","          1.56"
"서울특별시 용산구 청파동(1117055500)","21,493","10,873","          1.98","10,317","11,176","          0.92"
"서울특별시 용산구 원효로제1동(1117056000)","13,784","6,361","          2.17","6,776","7,008","          0.97"
"서울특별시 용산구 원효로제2동(1117057000)","15,542","6,062","          2.56","7,334","8,208","          0.89"
