"행정구역","2011년12월_총인구수","2011년12월_세대수","2011년12월_세대당 인구","2011년12월_남자 인구수","2011년12월_여자 인구수","2011년12월_남여 비율"
"서울특별시  (1100000000)","10,249,679","4,192,752","          2.44","5,073,899","5,175,780","          0.98"
"서울특별시 종로구 (1111000000)","168,382","76,688","          2.20","83,931","84,451","          0.99"
"서울특별시 종로구 청운효자동(1111051500)","15,260","6,060","          2.52","7,384","7,876","          0.94"
"서울특별시 종로구 사직동(1111053000)","10,150","4,646","          2.18","4,701","5,449","          0.86"
"서울특별시 종로구 삼청동(1111054000)","3,415","1,606","          2.13","1,643","1,772","          0.93"
"서울특별시 종로구 부암동(1111055000)","11,369","4,611","          2.47","5,629","5,740","          0.98"
"서울특별시 종로구 평창동(1111056000)","19,677","7,381","          2.67","9,443","10,234","          0.92"
"서울특별시 종로구 무악동(1111057000)","8,562","3,271","          2.62","4,115","4,447","          0.93"
"서울특별시 종로구 교남동(1111058000)","9,048","4,473","          2.02","4,493","4,555","          0.99"
"서울특별시 종로구 가회동(1111060000)","5,555","2,469","          2.25","2,667","2,888","          0.92"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,923","5,213","          1.52","4,533","3,390","          1.34"
"서울특별시 종로구 종로5.6가동(1111063000)","6,156","3,140","          1.96","3,319","2,837","          1.17"
"서울특별시 종로구 이화동(1111064000)","9,252","4,551","          2.03","4,446","4,806","          0.93"
"서울특별시 종로구 혜화동(1111065000)","12,172","5,827","          2.09","5,926","6,246","          0.95"
"서울특별시 종로구 명륜3가동(1111066000)","6,246","3,496","          1.79","3,283","2,963","          1.11"
"서울특별시 종로구 창신제1동(1111067000)","6,854","3,611","          1.90","3,619","3,235","          1.12"
"서울특별시 종로구 창신제2동(1111068000)","11,486","5,055","          2.27","5,844","5,642","          1.04"
"서울특별시 종로구 창신제3동(1111069000)","8,549","3,147","          2.72","4,258","4,291","          0.99"
"서울특별시 종로구 숭인제1동(1111070000)","7,450","3,297","          2.26","3,748","3,702","          1.01"
"서울특별시 종로구 숭인제2동(1111071000)","9,258","4,834","          1.92","4,880","4,378","          1.11"
"서울특별시 중구 (1114000000)","133,193","61,475","          2.17","67,065","66,128","          1.01"
"서울특별시 중구 소공동(1114052000)","1,301","696","          1.87","689","612","          1.13"
"서울특별시 중구 회현동(1114054000)","5,676","3,476","          1.63","3,111","2,565","          1.21"
"서울특별시 중구 명동(1114055000)","3,411","1,702","          2.00","1,525","1,886","          0.81"
"서울특별시 중구 필동(1114057000)","4,616","2,435","          1.90","2,481","2,135","          1.16"
"서울특별시 중구 장충동(1114058000)","5,596","2,930","          1.91","2,880","2,716","          1.06"
"서울특별시 중구 광희동(1114059000)","5,698","3,125","          1.82","3,066","2,632","          1.16"
"서울특별시 중구 을지로동(1114060500)","2,027","1,405","          1.44","1,261","766","          1.65"
"서울특별시 중구 신당제1동(1114061000)","8,187","4,126","          1.98","4,217","3,970","          1.06"
"서울특별시 중구 신당제2동(1114062000)","16,647","7,302","          2.28","8,253","8,394","          0.98"
"서울특별시 중구 신당제3동(1114063000)","19,523","8,012","          2.44","9,417","10,106","          0.93"
"서울특별시 중구 신당제4동(1114064000)","15,991","6,510","          2.46","7,727","8,264","          0.94"
"서울특별시 중구 신당제5동(1114065000)","9,404","4,286","          2.19","4,746","4,658","          1.02"
"서울특별시 중구 신당제6동(1114066000)","10,144","3,847","          2.64","4,966","5,178","          0.96"
"서울특별시 중구 황학동(1114067000)","12,523","5,887","          2.13","6,418","6,105","          1.05"
"서울특별시 중구 중림동(1114068000)","12,449","5,736","          2.17","6,308","6,141","          1.03"
"서울특별시 용산구 (1117000000)","246,501","112,617","          2.19","120,183","126,318","          0.95"
"서울특별시 용산구 후암동(1117051000)","20,156","9,188","          2.19","10,085","10,071","          1.00"
"서울특별시 용산구 용산2가동(1117052000)","13,142","6,179","          2.13","6,371","6,771","          0.94"
"서울특별시 용산구 남영동(1117053000)","7,852","5,148","          1.53","4,668","3,184","          1.47"
"서울특별시 용산구 청파동(1117055500)","23,634","11,748","          2.01","11,469","12,165","          0.94"
"서울특별시 용산구 원효로제1동(1117056000)","12,523","5,674","          2.21","6,263","6,260","          1.00"
