"행정구역","2020년12월_총인구수","2020년12월_세대수","2020년12월_세대당 인구","2020년12월_남자 인구수","2020년12월_여자 인구수","2020년12월_남여 비율"
"서울특별시  (1100000000)","9,668,465","4,417,954","          2.19","4,701,723","4,966,742","          0.95"
"서울특별시 종로구 (1111000000)","149,384","75,003","          1.99","72,635","76,749","          0.95"
"서울특별시 종로구 청운효자동(1111051500)","12,431","5,357","          2.32","5,779","6,652","          0.87"
"서울특별시 종로구 사직동(1111053000)","9,526","4,758","          2.00","4,264","5,262","          0.81"
"서울특별시 종로구 삼청동(1111054000)","2,640","1,342","          1.97","1,272","1,368","          0.93"
"서울특별시 종로구 부암동(1111055000)","10,022","4,392","          2.28","4,772","5,250","          0.91"
"서울특별시 종로구 평창동(1111056000)","18,391","7,522","          2.44","8,550","9,841","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,546","3,192","          2.68","3,979","4,567","          0.87"
"서울특별시 종로구 교남동(1111058000)","10,477","4,602","          2.28","4,848","5,629","          0.86"
"서울특별시 종로구 가회동(1111060000)","4,325","2,077","          2.08","2,000","2,325","          0.86"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,256","5,283","          1.37","4,352","2,904","          1.50"
"서울특별시 종로구 종로5.6가동(1111063000)","5,242","3,415","          1.53","2,838","2,404","          1.18"
"서울특별시 종로구 이화동(1111064000)","7,588","4,430","          1.71","3,567","4,021","          0.89"
"서울특별시 종로구 혜화동(1111065000)","16,799","9,374","          1.79","8,089","8,710","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","5,129","2,961","          1.73","2,775","2,354","          1.18"
"서울특별시 종로구 창신제2동(1111068000)","8,318","4,185","          1.99","4,283","4,035","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,925","2,913","          2.38","3,398","3,527","          0.96"
"서울특별시 종로구 숭인제1동(1111070000)","6,078","3,035","          2.00","2,960","3,118","          0.95"
"서울특별시 종로구 숭인제2동(1111071000)","9,691","6,165","          1.57","4,909","4,782","          1.03"
"서울특별시 중구 (1114000000)","125,240","63,686","          1.97","61,222","64,018","          0.96"
"서울특별시 중구 소공동(1114052000)","2,069","1,130","          1.83","1,027","1,042","          0.99"
"서울특별시 중구 회현동(1114054000)","5,136","3,025","          1.70","2,720","2,416","          1.13"
"서울특별시 중구 명동(1114055000)","2,914","1,552","          1.88","1,242","1,672","          0.74"
"서울특별시 중구 필동(1114057000)","4,034","2,406","          1.68","2,083","1,951","          1.07"
"서울특별시 중구 장충동(1114058000)","4,664","2,755","          1.69","2,359","2,305","          1.02"
"서울특별시 중구 광희동(1114059000)","5,224","3,295","          1.59","2,704","2,520","          1.07"
"서울특별시 중구 을지로동(1114060500)","1,816","1,373","          1.32","1,096","720","          1.52"
"서울특별시 중구 신당동(1114061500)","7,692","4,629","          1.66","3,849","3,843","          1.00"
"서울특별시 중구 다산동(1114062500)","14,243","6,965","          2.04","6,907","7,336","          0.94"
"서울특별시 중구 약수동(1114063500)","17,128","7,809","          2.19","8,066","9,062","          0.89"
"서울특별시 중구 청구동(1114064500)","14,056","6,413","          2.19","6,668","7,388","          0.90"
"서울특별시 중구 신당제5동(1114065000)","10,527","5,392","          1.95","5,122","5,405","          0.95"
"서울특별시 중구 동화동(1114066500)","10,656","4,172","          2.55","5,143","5,513","          0.93"
"서울특별시 중구 황학동(1114067000)","12,583","6,927","          1.82","6,004","6,579","          0.91"
"서울특별시 중구 중림동(1114068000)","12,498","5,843","          2.14","6,232","6,266","          0.99"
"서울특별시 용산구 (1117000000)","230,040","113,093","          2.03","110,722","119,318","          0.93"
"서울특별시 용산구 후암동(1117051000)","17,696","8,710","          2.03","8,591","9,105","          0.94"
"서울특별시 용산구 용산2가동(1117052000)","9,972","5,407","          1.84","4,798","5,174","          0.93"
"서울특별시 용산구 남영동(1117053000)","7,623","5,385","          1.42","4,641","2,982","          1.56"
"서울특별시 용산구 청파동(1117055500)","19,829","11,110","          1.78","9,325","10,504","          0.89"
"서울특별시 용산구 원효로제1동(1117056000)","16,089","8,039","          2.00","7,748","8,341","          0.93"
"서울특별시 용산구 원효로제2동(1117057000)","14,202","6,042","          2.35","6,677","7,525","          0.89"
"서울특별시 용산구 효창동(1117058000)","10,205","4,381","          2.33","4,834","5,371","          0.90"
"서울특별시 용산구 용문동(1117059000)","12,327","5,448","          2.26","5,879","6,448","          0.91"
"서울특별시 용산구 한강로동(1117062500)","20,444","10,875","          1.88","9,858","10,586","          0.93"
"서울특별시 용산구 이촌제1동(1117063000)","28,139","10,337","          2.72","13,152","14,987","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","8,727","3,851","          2.27","4,101","4,626","          0.89"
"서울특별시 용산구 이태원제1동(1117065000)","6,923","3,934","          1.76","3,290","3,633","          0.91"
"서울특별시 용산구 이태원제2동(1117066000)","9,285","5,035","          1.84","4,276","5,009","          0.85"
"서울특별시 용산구 한남동(1117068500)","21,176","11,428","          1.85","10,185","10,991","          0.93"
"서울특별시 용산구 서빙고동(1117069000)","13,187","5,324","          2.48","6,328","6,859","          0.92"
"서울특별시 용산구 보광동(1117070000)","14,216","7,787","          1.83","7,039","7,177","          0.98"
"서울특별시 성동구 (1120000000)","293,556","135,870","          2.16","143,387","150,169","          0.95"
"서울특별시 성동구 왕십리제2동(1120052000)","17,085","7,634","          2.24","8,309","8,776","          0.95"
"서울특별시 성동구 왕십리도선동(1120053500)","27,081","12,033","          2.25","12,914","14,167","          0.91"
"서울특별시 성동구 마장동(1120054000)","22,785","10,922","          2.09","11,244","11,541","          0.97"
"서울특별시 성동구 사근동(1120055000)","11,932","7,805","          1.53","6,099","5,833","          1.05"
"서울특별시 성동구 행당제1동(1120056000)","14,077","6,459","          2.18","6,794","7,283","          0.93"
"서울특별시 성동구 행당제2동(1120057000)","24,063","9,482","          2.54","11,289","12,774","          0.88"
"서울특별시 성동구 응봉동(1120058000)","15,764","6,135","          2.57","7,479","8,285","          0.90"
"서울특별시 성동구 금호1가동(1120059000)","15,711","6,720","          2.34","7,516","8,195","          0.92"
"서울특별시 성동구 금호2.3가동(1120061500)","23,409","10,324","          2.27","11,157","12,252","          0.91"
"서울특별시 성동구 금호4가동(1120062000)","14,704","6,463","          2.28","7,032","7,672","          0.92"
"서울특별시 성동구 옥수동(1120064500)","26,661","11,093","          2.40","12,417","14,244","          0.87"
