"행정구역","2019년12월_총인구수","2019년12월_세대수","2019년12월_세대당 인구","2019년12월_남자 인구수","2019년12월_여자 인구수","2019년12월_남여 비율"
"서울특별시  (1100000000)","9,729,107","4,327,605","          2.25","4,744,059","4,985,048","          0.95"
"서울특별시 종로구 (1111000000)","151,290","73,947","          2.05","73,746","77,544","          0.95"
"서울특별시 종로구 청운효자동(1111051500)","12,734","5,356","          2.38","5,939","6,795","          0.87"
"서울특별시 종로구 사직동(1111053000)","9,535","4,621","          2.06","4,297","5,238","          0.82"
"서울특별시 종로구 삼청동(1111054000)","2,758","1,396","          1.98","1,326","1,432","          0.93"
"서울특별시 종로구 부암동(1111055000)","10,100","4,298","          2.35","4,826","5,274","          0.92"
"서울특별시 종로구 평창동(1111056000)","18,659","7,520","          2.48","8,739","9,920","          0.88"
"서울특별시 종로구 무악동(1111057000)","8,695","3,187","          2.73","4,060","4,635","          0.88"
"서울특별시 종로구 교남동(1111058000)","10,562","4,583","          2.30","4,915","5,647","          0.87"
"서울특별시 종로구 가회동(1111060000)","4,383","2,068","          2.12","2,026","2,357","          0.86"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,227","5,210","          1.39","4,300","2,927","          1.47"
"서울특별시 종로구 종로5.6가동(1111063000)","5,343","3,368","          1.59","2,910","2,433","          1.20"
"서울특별시 종로구 이화동(1111064000)","7,847","4,441","          1.77","3,698","4,149","          0.89"
"서울특별시 종로구 혜화동(1111065000)","16,925","9,238","          1.83","8,153","8,772","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","5,243","2,936","          1.79","2,820","2,423","          1.16"
"서울특별시 종로구 창신제2동(1111068000)","8,550","4,121","          2.07","4,366","4,184","          1.04"
"서울특별시 종로구 창신제3동(1111069000)","7,106","2,903","          2.45","3,506","3,600","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","6,189","2,962","          2.09","3,044","3,145","          0.97"
"서울특별시 종로구 숭인제2동(1111071000)","9,434","5,739","          1.64","4,821","4,613","          1.05"
"서울특별시 중구 (1114000000)","126,171","62,739","          2.01","61,910","64,261","          0.96"
"서울특별시 중구 소공동(1114052000)","2,050","1,104","          1.86","1,000","1,050","          0.95"
"서울특별시 중구 회현동(1114054000)","5,245","3,142","          1.67","2,837","2,408","          1.18"
"서울특별시 중구 명동(1114055000)","2,936","1,532","          1.92","1,235","1,701","          0.73"
"서울특별시 중구 필동(1114057000)","3,995","2,297","          1.74","2,058","1,937","          1.06"
"서울특별시 중구 장충동(1114058000)","4,708","2,696","          1.75","2,399","2,309","          1.04"
"서울특별시 중구 광희동(1114059000)","4,905","2,960","          1.66","2,600","2,305","          1.13"
"서울특별시 중구 을지로동(1114060500)","1,802","1,339","          1.35","1,103","699","          1.58"
"서울특별시 중구 신당동(1114061500)","7,526","4,419","          1.70","3,761","3,765","          1.00"
"서울특별시 중구 다산동(1114062500)","14,526","6,961","          2.09","7,072","7,454","          0.95"
"서울특별시 중구 약수동(1114063500)","17,525","7,803","          2.25","8,260","9,265","          0.89"
"서울특별시 중구 청구동(1114064500)","14,297","6,377","          2.24","6,791","7,506","          0.90"
"서울특별시 중구 신당제5동(1114065000)","10,554","5,291","          1.99","5,173","5,381","          0.96"
"서울특별시 중구 동화동(1114066500)","10,830","4,153","          2.61","5,210","5,620","          0.93"
"서울특별시 중구 황학동(1114067000)","12,650","6,832","          1.85","6,097","6,553","          0.93"
"서울특별시 중구 중림동(1114068000)","12,622","5,833","          2.16","6,314","6,308","          1.00"
"서울특별시 용산구 (1117000000)","228,670","110,126","          2.08","110,356","118,314","          0.93"
"서울특별시 용산구 후암동(1117051000)","17,896","8,576","          2.09","8,704","9,192","          0.95"
"서울특별시 용산구 용산2가동(1117052000)","10,402","5,421","          1.92","5,036","5,366","          0.94"
"서울특별시 용산구 남영동(1117053000)","7,771","5,411","          1.44","4,746","3,025","          1.57"
"서울특별시 용산구 청파동(1117055500)","19,831","10,730","          1.85","9,399","10,432","          0.90"
"서울특별시 용산구 원효로제1동(1117056000)","15,991","7,848","          2.04","7,728","8,263","          0.94"
"서울특별시 용산구 원효로제2동(1117057000)","14,562","6,006","          2.42","6,857","7,705","          0.89"
"서울특별시 용산구 효창동(1117058000)","10,178","4,270","          2.38","4,859","5,319","          0.91"
"서울특별시 용산구 용문동(1117059000)","12,444","5,364","          2.32","5,960","6,484","          0.92"
"서울특별시 용산구 한강로동(1117062500)","17,990","9,772","          1.84","8,683","9,307","          0.93"
"서울특별시 용산구 이촌제1동(1117063000)","28,342","10,267","          2.76","13,275","15,067","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","8,900","3,855","          2.31","4,205","4,695","          0.90"
"서울특별시 용산구 이태원제1동(1117065000)","6,861","3,761","          1.82","3,233","3,628","          0.89"
"서울특별시 용산구 이태원제2동(1117066000)","9,254","4,875","          1.90","4,287","4,967","          0.86"
"서울특별시 용산구 한남동(1117068500)","20,634","11,102","          1.86","9,960","10,674","          0.93"
"서울특별시 용산구 서빙고동(1117069000)","13,329","5,269","          2.53","6,415","6,914","          0.93"
"서울특별시 용산구 보광동(1117070000)","14,285","7,599","          1.88","7,009","7,276","          0.96"
"서울특별시 성동구 (1120000000)","300,889","135,838","          2.22","147,273","153,616","          0.96"
"서울특별시 성동구 왕십리제2동(1120052000)","17,330","7,587","          2.28","8,435","8,895","          0.95"
"서울특별시 성동구 왕십리도선동(1120053500)","27,270","11,770","          2.32","13,024","14,246","          0.91"
"서울특별시 성동구 마장동(1120054000)","23,304","10,856","          2.15","11,484","11,820","          0.97"
"서울특별시 성동구 사근동(1120055000)","11,702","7,435","          1.57","6,011","5,691","          1.06"
"서울특별시 성동구 행당제1동(1120056000)","15,993","7,270","          2.20","7,764","8,229","          0.94"
"서울특별시 성동구 행당제2동(1120057000)","24,554","9,454","          2.60","11,544","13,010","          0.89"
"서울특별시 성동구 응봉동(1120058000)","16,120","6,171","          2.61","7,649","8,471","          0.90"
"서울특별시 성동구 금호1가동(1120059000)","15,853","6,630","          2.39","7,589","8,264","          0.92"
"서울특별시 성동구 금호2.3가동(1120061500)","23,964","10,334","          2.32","11,408","12,556","          0.91"
"서울특별시 성동구 금호4가동(1120062000)","15,078","6,461","          2.33","7,233","7,845","          0.92"
"서울특별시 성동구 옥수동(1120064500)","26,946","11,015","          2.45","12,595","14,351","          0.88"
"서울특별시 성동구 성수1가제1동(1120065000)","16,831","7,591","          2.22","8,421","8,410","          1.00"
"서울특별시 성동구 성수1가제2동(1120066000)","14,338","6,800","          2.11","7,132","7,206","          0.99"
"서울특별시 성동구 성수2가제1동(1120067000)","17,072","8,493","          2.01","8,906","8,166","          1.09"
"서울특별시 성동구 성수2가제3동(1120069000)","11,342","5,675","          2.00","5,785","5,557","          1.04"
"서울특별시 성동구 송정동(1120072000)","10,960","5,506","          1.99","5,797","5,163","          1.12"
"서울특별시 성동구 용답동(1120079000)","12,232","6,790","          1.80","6,496","5,736","          1.13"
"서울특별시 광진구 (1121500000)","351,350","164,428","          2.14","170,262","181,088","          0.94"
"서울특별시 광진구 화양동(1121571000)","22,057","16,154","          1.37","10,496","11,561","          0.91"
"서울특별시 광진구 군자동(1121573000)","19,866","10,698","          1.86","9,815","10,051","          0.98"
"서울특별시 광진구 중곡제1동(1121574000)","15,832","8,035","          1.97","7,755","8,077","          0.96"
"서울특별시 광진구 중곡제2동(1121575000)","22,225","10,477","          2.12","10,645","11,580","          0.92"
"서울특별시 광진구 중곡제3동(1121576000)","17,062","8,461","          2.02","8,469","8,593","          0.99"
"서울특별시 광진구 중곡제4동(1121577000)","30,115","13,239","          2.27","14,852","15,263","          0.97"
"서울특별시 광진구 능동(1121578000)","11,595","6,335","          1.83","5,348","6,247","          0.86"
"서울특별시 광진구 광장동(1121581000)","35,893","12,008","          2.99","17,351","18,542","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","23,045","11,510","          2.00","11,124","11,921","          0.93"
"서울특별시 광진구 자양제2동(1121583000)","26,460","11,233","          2.36","12,971","13,489","          0.96"
"서울특별시 광진구 자양제3동(1121584000)","29,190","11,049","          2.64","14,048","15,142","          0.93"
"서울특별시 광진구 자양제4동(1121584700)","18,454","9,605","          1.92","9,264","9,190","          1.01"
"서울특별시 광진구 구의제1동(1121585000)","22,319","11,830","          1.89","10,677","11,642","          0.92"
"서울특별시 광진구 구의제2동(1121586000)","27,444","11,649","          2.36","13,239","14,205","          0.93"
"서울특별시 광진구 구의제3동(1121587000)","29,793","12,145","          2.45","14,208","15,585","          0.91"
"서울특별시 동대문구 (1123000000)","346,194","164,191","          2.11","172,113","174,081","          0.99"
"서울특별시 동대문구 용신동(1123053600)","30,608","17,256","          1.77","15,717","14,891","          1.06"
"서울특별시 동대문구 제기동(1123054500)","24,934","12,988","          1.92","12,774","12,160","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","30,538","15,017","          2.03","15,365","15,173","          1.01"
"서울특별시 동대문구 전농제2동(1123057000)","19,500","7,735","          2.52","9,336","10,164","          0.92"
"서울특별시 동대문구 답십리제1동(1123060000)","29,352","12,682","          2.31","14,265","15,087","          0.95"
"서울특별시 동대문구 답십리제2동(1123061000)","30,158","12,948","          2.33","14,733","15,425","          0.96"
"서울특별시 동대문구 장안제1동(1123065000)","38,503","17,569","          2.19","19,226","19,277","          1.00"
"서울특별시 동대문구 장안제2동(1123066000)","32,724","13,573","          2.41","16,382","16,342","          1.00"
"서울특별시 동대문구 청량리동(1123070500)","21,157","10,438","          2.03","10,610","10,547","          1.01"
"서울특별시 동대문구 회기동(1123071000)","10,321","6,038","          1.71","4,919","5,402","          0.91"
"서울특별시 동대문구 휘경제1동(1123072000)","14,542","7,516","          1.93","7,228","7,314","          0.99"
"서울특별시 동대문구 휘경제2동(1123073000)","24,330","11,530","          2.11","12,090","12,240","          0.99"
"서울특별시 동대문구 이문제1동(1123074000)","18,845","10,443","          1.80","9,379","9,466","          0.99"
"서울특별시 동대문구 이문제2동(1123075000)","20,682","8,458","          2.45","10,089","10,593","          0.95"
"서울특별시 중랑구 (1126000000)","397,015","181,579","          2.19","196,959","200,056","          0.98"
"서울특별시 중랑구 면목제2동(1126052000)","25,597","12,239","          2.09","12,821","12,776","          1.00"
"서울특별시 중랑구 면목제4동(1126054000)","19,755","9,254","          2.13","9,843","9,912","          0.99"
"서울특별시 중랑구 면목제5동(1126055000)","9,700","4,553","          2.13","4,963","4,737","          1.05"
"서울특별시 중랑구 면목본동(1126056500)","35,341","17,631","          2.00","17,576","17,765","          0.99"
"서울특별시 중랑구 면목제7동(1126057000)","21,872","10,191","          2.15","10,923","10,949","          1.00"
"서울특별시 중랑구 면목제3.8동(1126057500)","26,141","12,535","          2.09","13,052","13,089","          1.00"
"서울특별시 중랑구 상봉제1동(1126058000)","25,334","10,252","          2.47","12,389","12,945","          0.96"
"서울특별시 중랑구 상봉제2동(1126059000)","19,511","11,061","          1.76","9,539","9,972","          0.96"
"서울특별시 중랑구 중화제1동(1126060000)","20,726","9,011","          2.30","10,207","10,519","          0.97"
"서울특별시 중랑구 중화제2동(1126061000)","26,720","14,069","          1.90","13,784","12,936","          1.07"
"서울특별시 중랑구 묵제1동(1126062000)","35,836","14,594","          2.46","17,449","18,387","          0.95"
"서울특별시 중랑구 묵제2동(1126063000)","19,664","9,176","          2.14","9,684","9,980","          0.97"
"서울특별시 중랑구 망우본동(1126065500)","30,711","14,665","          2.09","15,530","15,181","          1.02"
"서울특별시 중랑구 망우제3동(1126066000)","17,574","8,443","          2.08","8,859","8,715","          1.02"
"서울특별시 중랑구 신내1동(1126068000)","40,717","14,852","          2.74","19,893","20,824","          0.96"
"서울특별시 중랑구 신내2동(1126069000)","21,816","9,053","          2.41","10,447","11,369","          0.92"
"서울특별시 성북구 (1129000000)","442,650","192,592","          2.30","214,437","228,213","          0.94"
"서울특별시 성북구 성북동(1129052500)","17,054","8,076","          2.11","8,023","9,031","          0.89"
"서울특별시 성북구 삼선동(1129055500)","25,337","12,338","          2.05","12,142","13,195","          0.92"
"서울특별시 성북구 동선동(1129057500)","15,425","9,057","          1.70","6,512","8,913","          0.73"
"서울특별시 성북구 돈암제1동(1129058000)","15,818","6,261","          2.53","7,405","8,413","          0.88"
"서울특별시 성북구 돈암제2동(1129059000)","24,928","8,617","          2.89","11,931","12,997","          0.92"
"서울특별시 성북구 안암동(1129060000)","15,406","9,172","          1.68","7,833","7,573","          1.03"
"서울특별시 성북구 보문동(1129061000)","16,281","7,925","          2.05","7,881","8,400","          0.94"
"서울특별시 성북구 정릉제1동(1129062000)","18,941","7,466","          2.54","9,192","9,749","          0.94"
"서울특별시 성북구 정릉제2동(1129063000)","23,549","9,639","          2.44","11,501","12,048","          0.95"
"서울특별시 성북구 정릉제3동(1129064000)","15,635","7,728","          2.02","7,781","7,854","          0.99"
"서울특별시 성북구 정릉제4동(1129065000)","26,391","10,991","          2.40","12,807","13,584","          0.94"
"서울특별시 성북구 길음제1동(1129066000)","36,881","12,809","          2.88","17,577","19,304","          0.91"
"서울특별시 성북구 길음제2동(1129068500)","16,486","6,829","          2.41","8,011","8,475","          0.95"
"서울특별시 성북구 종암동(1129070500)","40,190","17,115","          2.35","19,820","20,370","          0.97"
"서울특별시 성북구 월곡제1동(1129071500)","27,325","10,819","          2.53","13,238","14,087","          0.94"
"서울특별시 성북구 월곡제2동(1129072500)","19,947","9,233","          2.16","9,654","10,293","          0.94"
"서울특별시 성북구 장위제1동(1129076000)","20,388","8,972","          2.27","10,002","10,386","          0.96"
"서울특별시 성북구 장위제2동(1129077000)","13,732","6,262","          2.19","6,834","6,898","          0.99"
"서울특별시 성북구 장위제3동(1129078000)","17,366","7,106","          2.44","8,671","8,695","          1.00"
"서울특별시 성북구 석관동(1129081000)","35,570","16,177","          2.20","17,622","17,948","          0.98"
"서울특별시 강북구 (1130500000)","313,954","144,277","          2.18","153,235","160,719","          0.95"
"서울특별시 강북구 삼양동(1130553400)","25,345","11,489","          2.21","12,614","12,731","          0.99"
"서울특별시 강북구 미아동(1130553500)","22,289","11,348","          1.96","10,720","11,569","          0.93"
"서울특별시 강북구 송중동(1130554500)","30,549","13,850","          2.21","14,765","15,784","          0.94"
"서울특별시 강북구 송천동(1130555500)","28,141","13,721","          2.05","13,998","14,143","          0.99"
