"행정구역","2019년12월_전체세대","2019년12월_1인세대","2019년12월_2인세대","2019년12월_3인세대","2019년12월_4인세대","2019년12월_5인세대","2019년12월_6인세대","2019년12월_7인세대","2019년12월_8인세대","2019년12월_9인세대","2019년12월_10인세대"
"전국  (1000000000)","22,481,466","8,488,621","5,129,120","4,005,553","3,634,837","948,536","205,246","48,850","13,174","3,995","3,534"
"서울특별시  (1100000000)","4,327,605","1,754,933","918,378","765,546","679,419","160,376","35,909","9,072","2,574","802","596"
"서울특별시 종로구 (1111000000)","73,947","36,716","14,129","10,805","8,917","2,512","593","188","51","24","12"
"서울특별시 중구 (1114000000)","62,739","31,069","13,162","9,141","7,015","1,717","460","115","24","15","21"
"서울특별시 용산구 (1117000000)","110,126","52,143","22,716","16,963","13,574","3,511","875","223","70","28","23"
"서울특별시 성동구 (1120000000)","135,838","55,527","29,636","24,719","19,931","4,540","1,087","293","71","19","15"
"서울특별시 광진구 (1121500000)","164,428","74,064","33,355","26,682","23,430","5,251","1,186","318","97","29","16"
"서울특별시 동대문구 (1123000000)","164,191","75,705","33,376","26,168","21,800","5,418","1,286","335","67","24","12"
"서울특별시 중랑구 (1126000000)","181,579","74,943","41,555","31,839","25,378","6,189","1,242","321","79","19","14"
"서울특별시 성북구 (1129000000)","192,592","74,767","40,957","35,417","31,568","7,560","1,703","441","108","31","40"
"서울특별시 강북구 (1130500000)","144,277","59,715","33,804","25,140","19,334","4,858","1,077","223","81","23","22"
"서울특별시 도봉구 (1132000000)","138,508","45,013","33,537","28,509","23,975","5,730","1,282","322","90","38","12"
"서울특별시 노원구 (1135000000)","216,966","69,471","48,665","44,333","42,949","9,156","1,818","396","117","39","22"
"서울특별시 은평구 (1138000000)","207,681","76,987","48,191","39,201","32,476","8,190","1,973","467","124","40","32"
"서울특별시 서대문구 (1141000000)","140,157","58,962","29,725","24,184","20,686","4,979","1,184","308","90","24","15"
"서울특별시 마포구 (1144000000)","175,023","78,637","36,006","28,527","24,456","5,692","1,227","315","107","28","28"
"서울특별시 양천구 (1147000000)","177,256","50,670","37,641","38,222","39,546","8,724","1,827","423","139","35","29"
"서울특별시 강서구 (1150000000)","262,708","103,796","58,314","47,461","40,655","9,708","2,052","534","124","42","22"
"서울특별시 구로구 (1153000000)","176,568","66,167","40,217","32,761","28,414","6,940","1,555","355","110","32","17"
"서울특별시 금천구 (1154500000)","110,622","50,136","24,003","17,565","14,271","3,550","821","192","53","16","15"
"서울특별시 영등포구 (1156000000)","174,806","81,133","34,950","28,053","23,555","5,427","1,231","319","82","25","31"
"서울특별시 동작구 (1159000000)","180,753","77,390","37,542","30,826","26,772","6,300","1,410","365","94","35","19"
"서울특별시 관악구 (1162000000)","268,559","151,175","49,650","32,849","26,395","6,447","1,485","383","110","33","32"
