"행정구역","2013년12월_전체세대","2013년12월_1인세대","2013년12월_2인세대","2013년12월_3인세대","2013년12월_4인세대","2013년12월_5인세대","2013년12월_6인세대","2013년12월_7인세대","2013년12월_8인세대","2013년12월_9인세대","2013년12월_10인세대"
"전국  (1000000000)","20,456,588","6,878,287","4,158,302","3,794,892","4,118,618","1,149,939","266,729","64,289","16,504","5,002","4,026"
"서울특별시  (1100000000)","4,182,351","1,510,202","810,516","780,698","822,832","200,130","44,057","9,977","2,583","805","551"
"서울특별시 종로구 (1111000000)","73,693","34,259","13,213","11,146","10,932","3,123","755","197","40","14","14"
"서울특별시 중구 (1114000000)","60,600","27,959","11,709","9,385","8,515","2,287","548","137","33","10","17"
"서울특별시 용산구 (1117000000)","109,361","48,569","21,093","17,772","16,371","4,208","984","244","82","20","18"
"서울특별시 성동구 (1120000000)","126,447","47,609","25,016","23,452","22,951","5,613","1,370","316","87","27","6"
"서울특별시 광진구 (1121500000)","159,173","63,947","29,791","27,517","29,302","6,697","1,465","321","98","22","13"
"서울특별시 동대문구 (1123000000)","159,256","65,746","30,360","27,139","26,733","6,963","1,771","394","111","24","15"
"서울특별시 중랑구 (1126000000)","174,938","64,099","35,544","33,038","32,022","8,040","1,696","368","83","35","13"
"서울특별시 성북구 (1129000000)","196,693","71,297","38,149","37,123","37,755","9,416","2,252","519","117","33","32"
"서울특별시 강북구 (1130500000)","141,246","49,819","30,550","27,411","24,985","6,528","1,428","376","97","35","17"
"서울특별시 도봉구 (1132000000)","137,714","39,580","28,352","29,518","30,617","7,396","1,727","389","97","25","13"
"서울특별시 노원구 (1135000000)","222,132","60,870","44,202","46,844","54,923","12,318","2,283","509","129","32","22"
"서울특별시 은평구 (1138000000)","202,487","67,044","42,388","40,182","39,495","10,265","2,418","507","114","35","39"
"서울특별시 서대문구 (1141000000)","135,272","53,553","26,679","23,812","23,499","5,868","1,433","310","78","22","18"
"서울특별시 마포구 (1144000000)","166,780","67,846","33,039","28,475","28,278","7,031","1,586","369","91","38","27"
"서울특별시 양천구 (1147000000)","180,443","48,050","32,644","37,716","48,066","11,100","2,206","458","143","36","24"
"서울특별시 강서구 (1150000000)","226,607","72,502","46,384","46,021","47,144","11,456","2,383","526","120","43","28"
"서울특별시 구로구 (1153000000)","171,419","57,763","34,550","33,320","34,573","8,609","1,987","453","103","38","23"
"서울특별시 금천구 (1154500000)","104,179","41,617","20,167","18,306","18,230","4,507","1,039","235","46","17","15"
"서울특별시 영등포구 (1156000000)","167,761","68,081","31,898","29,033","29,591","6,988","1,639","383","96","32","20"
"서울특별시 동작구 (1159000000)","172,700","64,316","34,603","31,494","32,007","7,904","1,798","414","108","32","24"
"서울특별시 관악구 (1162000000)","248,006","120,524","45,306","36,697","34,308","8,601","1,908","486","106","43","27"
"서울특별시 서초구 (1165000000)","170,594","53,595","31,219","33,790","39,712","9,477","2,031","531","162","51","26"
"서울특별시 강남구 (1168000000)","230,645","84,800","41,272","41,374","48,859","11,202","2,337","542","153","63","43"
"서울특별시 송파구 (1171000000)","257,441","79,180","47,191","52,065","61,307","14,131","2,776","569","148","45","29"
"서울특별시 강동구 (1174000000)","186,764","57,577","35,197","38,068","42,657","10,402","2,237","424","141","33","28"
"부산광역시  (2600000000)","1,404,663","442,672","305,507","281,667","279,964","72,620","16,840","3,888","954","309","242"
"부산광역시 중구 (2611000000)","23,374","11,312","5,051","3,486","2,553","691","201","59","11","5","5"
"부산광역시 서구 (2614000000)","53,031","21,961","11,949","8,842","7,356","2,117","604","136","43","8","15"
"부산광역시 동구 (2617000000)","43,528","17,905","10,086","7,365","5,881","1,706","442","97","27","10","9"
"부산광역시 영도구 (2620000000)","57,277","19,896","13,772","10,976","9,122","2,613","655","184","33","17","9"
"부산광역시 부산진구 (2623000000)","162,795","57,652","35,410","30,764","29,059","7,567","1,801","406","90","27","19"
"부산광역시 동래구 (2626000000)","105,836","30,247","22,393","21,831","23,466","6,017","1,408","349","82","25","18"
"부산광역시 남구 (2629000000)","114,945","34,637","25,535","23,702","23,136","6,055","1,417","321","88","33","21"
"부산광역시 북구 (2632000000)","115,308","29,878","24,231","24,654","27,865","6,855","1,437","283","69","19","17"
"부산광역시 해운대구 (2635000000)","161,081","44,212","33,391","34,689","37,076","9,134","1,956","455","112","40","16"
"부산광역시 사하구 (2638000000)","134,841","38,857","28,804","28,541","29,319","7,287","1,530","375","82","30","16"
"부산광역시 금정구 (2641000000)","100,423","31,539","21,884","19,980","20,060","5,276","1,257","292","74","25","36"
"부산광역시 강서구 (2644000000)","29,491","11,240","6,196","5,005","4,970","1,516","407","107","30","12","8"
"부산광역시 연제구 (2647000000)","82,467","24,963","18,201","16,878","16,807","4,279","1,033","218","58","18","12"
"부산광역시 수영구 (2650000000)","71,790","23,457","16,851","14,412","12,562","3,403","849","191","44","13","8"
"부산광역시 사상구 (2653000000)","96,636","29,536","19,954","19,929","20,602","5,124","1,145","262","58","12","14"
"부산광역시 기장군 (2671000000)","51,840","15,380","11,799","10,613","10,130","2,980","698","153","53","15","19"
"대구광역시  (2700000000)","960,265","282,118","196,968","196,374","213,082","55,512","12,482","2,791","632","173","133"
"대구광역시 중구 (2711000000)","35,780","16,420","7,411","5,606","4,575","1,292","346","91","24","7","8"
"대구광역시 동구 (2714000000)","138,851","44,671","31,474","27,617","25,798","7,064","1,693","398","82","33","21"
"대구광역시 서구 (2717000000)","90,793","32,468","19,856","17,657","15,576","3,995","953","217","54","10","7"
