"행정구역","2015년12월_전체세대","2015년12월_1인세대","2015년12월_2인세대","2015년12월_3인세대","2015년12월_4인세대","2015년12월_5인세대","2015년12월_6인세대","2015년12월_7인세대","2015년12월_8인세대","2015년12월_9인세대","2015년12월_10인세대"
"인천광역시 남구 (2817000000)","171,888","62,616","37,849","32,546","28,959","7,558","1,798","414","104","20","24"
"인천광역시 연수구 (2818500000)","115,920","30,274","20,405","24,990","30,927","7,449","1,448","297","86","22","22"
"인천광역시 남동구 (2820000000)","208,231","63,439","43,239","42,644","44,872","11,135","2,235","499","117","35","16"
"인천광역시 부평구 (2823700000)","217,217","65,667","45,289","44,847","46,739","11,468","2,429","561","150","38","29"
"인천광역시 계양구 (2824500000)","127,063","36,008","25,051","27,193","30,020","7,075","1,285","320","78","17","16"
"인천광역시 서구 (2826000000)","190,119","53,992","36,179","39,992","45,486","11,514","2,281","508","117","29","21"
"인천광역시 강화군 (2871000000)","30,703","11,960","8,898","4,635","3,226","1,331","452","139","32","13","17"
"인천광역시 옹진군 (2872000000)","11,252","6,259","2,460","1,171","872","321","120","24","12","8","5"
"광주광역시  (2900000000)","580,427","189,573","117,781","108,959","115,851","37,950","7,940","1,666","459","137","111"
"광주광역시 동구 (2911000000)","45,860","20,968","9,742","6,806","5,468","2,072","583","146","42","14","19"
"광주광역시 서구 (2914000000)","120,107","39,326","23,979","22,377","24,459","7,821","1,666","332","103","26","18"
"광주광역시 남구 (2915500000)","87,473","27,282","19,710","17,280","16,011","5,583","1,218","276","70","19","24"
"광주광역시 북구 (2917000000)","178,735","59,101","37,689","34,048","34,050","10,818","2,340","486","135","39","29"
"광주광역시 광산구 (2920000000)","148,252","42,896","26,661","28,448","35,863","11,656","2,133","426","109","39","21"
"대전광역시  (3000000000)","597,008","190,621","121,740","115,371","123,647","35,343","7,751","1,840","447","134","114"
"대전광역시 동구 (3011000000)","100,635","36,575","22,323","18,055","16,744","5,274","1,264","297","67","21","15"
"대전광역시 중구 (3014000000)","103,285","34,230","22,801","19,488","18,903","5,819","1,527","379","95","26","17"
"대전광역시 서구 (3017000000)","189,068","57,255","37,675","37,795","41,677","11,491","2,419","536","141","38","41"
"대전광역시 유성구 (3020000000)","126,969","38,673","22,528","24,888","30,656","8,165","1,552","367","89","33","18"
