"행정구역","2014년12월_전체세대","2014년12월_1인세대","2014년12월_2인세대","2014년12월_3인세대","2014년12월_4인세대","2014년12월_5인세대","2014년12월_6인세대","2014년12월_7인세대","2014년12월_8인세대","2014년12월_9인세대","2014년12월_10인세대"
"전국  (1000000000)","20,724,094","7,049,504","4,297,546","3,839,603","4,067,398","1,123,695","258,645","62,513","16,286","4,845","4,059"
"서울특별시  (1100000000)","4,194,176","1,526,038","825,915","783,470","806,997","194,491","42,975","10,198","2,656","846","590"
"서울특별시 종로구 (1111000000)","73,101","34,445","13,223","10,992","10,472","2,980","732","181","46","21","9"
"서울특별시 중구 (1114000000)","59,960","27,943","11,665","9,211","8,244","2,180","522","137","35","5","18"
"서울특별시 용산구 (1117000000)","108,429","48,619","21,132","17,520","15,718","4,105","964","245","78","21","27"
"서울특별시 성동구 (1120000000)","125,814","47,627","25,233","23,382","22,458","5,351","1,304","335","87","23","14"
"서울특별시 광진구 (1121500000)","158,524","64,665","30,005","27,457","28,160","6,365","1,432","325","83","17","15"
"서울특별시 동대문구 (1123000000)","159,880","66,419","30,768","27,225","26,365","6,844","1,678","426","103","37","15"
"서울특별시 중랑구 (1126000000)","176,714","64,831","36,694","33,496","31,568","7,928","1,689","379","88","25","16"
"서울특별시 성북구 (1129000000)","193,359","70,169","38,193","36,511","36,542","9,104","2,105","546","124","27","38"
"서울특별시 강북구 (1130500000)","141,246","50,620","31,131","27,147","24,220","6,192","1,420","366","99","35","16"
"서울특별시 도봉구 (1132000000)","136,977","39,638","29,043","29,330","29,680","7,214","1,556","382","98","24","12"
"서울특별시 노원구 (1135000000)","221,107","61,450","44,864","46,835","53,385","11,640","2,247","487","142","39","18"
"서울특별시 은평구 (1138000000)","202,187","67,962","42,731","39,969","38,577","9,927","2,304","520","124","38","35"
"서울특별시 서대문구 (1141000000)","134,780","53,917","26,944","23,595","22,857","5,670","1,363","300","89","23","22"
"서울특별시 마포구 (1144000000)","169,492","69,385","33,888","29,077","28,225","6,826","1,544","380","109","29","29"
"서울특별시 양천구 (1147000000)","179,069","47,685","33,256","38,024","46,501","10,777","2,143","487","131","41","24"
"서울특별시 강서구 (1150000000)","234,378","75,256","49,013","47,595","47,984","11,405","2,362","537","137","56","33"
"서울특별시 구로구 (1153000000)","172,594","58,430","35,323","33,576","34,077","8,610","1,944","460","121","28","25"
"서울특별시 금천구 (1154500000)","103,940","41,836","20,677","18,161","17,531","4,390","1,013","239","54","22","17"
